Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,initial time,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Distribution,Communication
1,96372106,2,10637296,0,60,0.22342491149902344,0.10871005058288574,1964,1964,0,1964,1964,1964,0,1964,0.0,uniform,False
2,96372106,2,10637297,0,60,0.4478020668029785,0.24235177040100098,4294,4294,0,4294,4294,4294,0,4294,0.0,uniform,False
3,96372106,2,10637298,0,60,0.334104061126709,0.11623740196228027,1802,1802,0,1802,1802,1802,0,1802,0.0,uniform,False
4,96372106,2,10637299,0,60,1.2996537685394287,0.3480689525604248,5438,5438,0,5438,5438,5438,0,5438,0.0,uniform,False
5,96372106,2,10637300,0,60,0.42087364196777344,0.1186988353729248,2945,2945,0,2945,2945,2945,0,2945,0.0,uniform,False
6,96372106,2,10637301,0,60,2.2235653400421143,0.3126828670501709,4688,4688,0,4688,4688,4688,0,4688,0.0,uniform,False
7,96372106,2,10637302,0,60,0.7552156448364258,0.22639775276184082,3672,3672,0,3672,3672,3672,0,3672,0.0,uniform,False
8,96372106,2,10637303,0,60,0.2699851989746094,0.07380247116088867,2409,2409,0,2409,2409,2409,0,2409,0.0,uniform,False
9,96372106,2,10637304,0,60,0.46186113357543945,0.13563895225524902,2520,2520,0,2520,2520,2520,0,2520,0.0,uniform,False
10,96372106,2,10637305,0,60,2.023944616317749,0.24634146690368652,3591,3591,0,3591,3591,3591,0,3591,0.0,uniform,False
