Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,initial time,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Distribution,Communication
1,96372106,2,10637296,0,60,0.8053061962127686,0.18854284286499023,3818,3818,0,3818,3818,3818,0,3818,0.0,uniform,False
2,96372106,2,10637297,0,60,0.5072634220123291,0.13022398948669434,2996,2996,0,2996,2996,2996,0,2996,0.0,uniform,False
3,96372106,2,10637298,0,60,1.2404241561889648,0.20961761474609375,4806,4806,0,4806,4806,4806,0,4806,0.0,uniform,False
4,96372106,2,10637299,0,60,0.49699854850769043,0.19099164009094238,5395,5395,0,5395,5395,5395,0,5395,0.0,uniform,False
5,96372106,2,10637300,0,60,0.9485297203063965,0.1625659465789795,3154,3154,0,3154,3154,3154,0,3154,0.0,uniform,False
6,96372106,2,10637301,0,60,2.4496471881866455,0.2742481231689453,5648,5648,0,5648,5648,5648,0,5648,0.0,uniform,False
7,96372106,2,10637302,0,60,0.16625046730041504,0.07382750511169434,1810,1810,0,1810,1810,1810,0,1810,0.0,uniform,False
8,96372106,2,10637303,0,60,0.1770639419555664,0.13086843490600586,2412,2412,0,2412,2412,2412,0,2412,0.0,uniform,False
9,96372106,2,10637304,0,60,0.3039071559906006,0.09587645530700684,2240,2240,0,2240,2240,2240,0,2240,0.0,uniform,False
10,96372106,2,10637305,0,60,0.1516413688659668,0.056627750396728516,1251,1251,0,1251,1251,1251,0,1251,0.0,uniform,False
