Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,initial time,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Distribution,Communication
1,96372106,3,10637296,0,60,1.547379493713379,1.9353420734405518,3030,3030,0,5817,5817,5817,0,5817,1.0,max,False
2,96372106,3,10637297,0,60,0.6183478832244873,0.8607392311096191,2182,2182,0,4953,4953,4953,0,4953,1.0,max,False
3,96372106,3,10637298,0,60,1.6506538391113281,2.0673513412475586,3556,3556,0,6546,6546,6546,0,6546,1.0,max,False
4,96372106,3,10637299,0,60,1.234422206878662,1.5499417781829834,3172,3172,0,6327,6327,6327,0,6327,1.0,max,False
5,96372106,3,10637300,0,60,1.3407995700836182,1.6141130924224854,2798,2798,0,4840,4840,4840,0,4840,1.0,max,False
6,96372106,3,10637301,0,60,3.033280611038208,3.561072826385498,4583,4583,0,7657,7657,7657,0,7657,1.0,max,False
7,96372106,3,10637302,0,60,1.1235439777374268,1.3796558380126953,2600,2600,0,4410,4410,4410,0,4410,1.0,max,False
8,96372106,3,10637303,0,60,1.394841194152832,1.6697988510131836,2658,2658,0,5070,5070,5070,0,5070,1.0,max,False
9,96372106,3,10637304,0,60,0.3497045040130615,0.5212461948394775,1657,1657,0,3867,3867,3867,0,3867,1.0,max,False
10,96372106,3,10637305,0,60,0.814246654510498,1.0302879810333252,2157,2157,0,3408,3408,3408,0,3408,1.0,max,False
