Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,initial time,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Distribution,Communication
1,96372106,4,10637296,0,60,0.6671521663665771,0.21343016624450684,3098,3098,0,3098,3098,3098,0,3098,0.5,max,True
2,96372106,4,10637297,0,60,1.917870044708252,0.5076406002044678,8907,8907,0,8907,8907,8907,0,8907,0.5,max,True
3,96372106,4,10637298,0,60,5.3975584506988525,0.5914156436920166,6342,6342,0,6342,6342,6342,0,6342,0.5,max,True
4,96372106,4,10637299,0,60,9.455700874328613,0.6133229732513428,8484,8484,0,8484,8484,8484,0,8484,0.5,max,True
5,96372106,4,10637300,0,60,0.7460041046142578,0.2533228397369385,4764,4764,0,4764,4764,4764,0,4764,0.5,max,True
6,96372106,4,10637301,0,60,5.982000350952148,0.7629587650299072,5874,5874,0,5874,5874,5874,0,5874,0.5,max,True
7,96372106,4,10637302,0,60,2.42950439453125,0.4198758602142334,7571,7571,0,7571,7571,7571,0,7571,0.5,max,True
8,96372106,4,10637303,0,60,7.642552614212036,0.491685152053833,6448,6448,0,6448,6448,6448,0,6448,0.5,max,True
9,96372106,4,10637304,0,60,1.7014493942260742,0.35704731941223145,5286,5286,0,5286,5286,5286,0,5286,0.5,max,True
10,96372106,4,10637305,0,60,3.522576093673706,0.6482689380645752,9624,9624,0,9624,9624,9624,0,9624,0.5,max,True
11,96372106,4,10637306,0,60,3.7998342514038086,0.6472690105438232,10462,10462,0,10462,10462,10462,0,10462,0.5,max,True
12,96372106,4,10637307,0,60,4.028249502182007,0.6173484325408936,7880,7880,0,7880,7880,7880,0,7880,0.5,max,True
13,96372106,4,10637308,0,60,2.5202929973602295,0.5116300582885742,8029,8029,0,8029,8029,8029,0,8029,0.5,max,True
14,96372106,4,10637309,0,60,5.1821370124816895,0.5295834541320801,5744,5744,0,5744,5744,5744,0,5744,0.5,max,True
15,96372106,4,10637310,0,60,23.169013023376465,0.6891539096832275,10147,10147,0,10147,10147,10147,0,10147,0.5,max,True
16,96372106,4,10637311,0,60,2.6120123863220215,0.44382572174072266,4594,4594,0,4594,4594,4594,0,4594,0.5,max,True
17,96372106,4,10637312,0,60,1.762272834777832,0.35803866386413574,3151,3151,0,3151,3151,3151,0,3151,0.5,max,True
18,96372106,4,10637313,0,60,28.51177740097046,0.34405088424682617,6633,6633,0,6633,6633,6633,0,6633,0.5,max,True
19,96372106,4,10637314,0,60,7.0012712478637695,0.29920220375061035,4585,4585,0,4585,4585,4585,0,4585,0.5,max,True
20,96372106,4,10637315,0,60,7.757297515869141,0.47871899604797363,7315,7315,0,7315,7315,7315,0,7315,0.5,max,True
21,96372106,4,10637316,0,60,0.5235986709594727,0.27030348777770996,4514,4514,0,4514,4514,4514,0,4514,0.5,max,True
22,96372106,4,10637317,0,60,45.2479727268219,0.47177648544311523,7026,7026,0,7026,7026,7026,0,7026,0.5,max,True
23,96372106,4,10637318,0,60,0.7579715251922607,0.20544719696044922,2543,2543,0,2543,2543,2543,0,2543,0.5,max,True
24,96372106,4,10637319,0,60,14.890162944793701,0.5066440105438232,6884,6884,0,6884,6884,6884,0,6884,0.5,max,True
25,96372106,4,10637320,0,60,0.6283204555511475,0.23233914375305176,3230,3230,0,3230,3230,3230,0,3230,0.5,max,True
26,96372106,4,10637321,0,60,7.543817758560181,0.42584991455078125,7550,7550,0,7550,7550,7550,0,7550,0.5,max,True
27,96372106,4,10637322,0,60,6.965365171432495,0.35801053047180176,5115,5115,0,5115,5115,5115,0,5115,0.5,max,True
28,96372106,4,10637323,0,60,2.145260810852051,0.38797974586486816,5129,5129,0,5129,5129,5129,0,5129,0.5,max,True
29,96372106,4,10637324,0,60,2.0754449367523193,0.34906458854675293,3261,3261,0,3261,3261,3261,0,3261,0.5,max,True
