Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,initial time,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Distribution,Communication
1,96372106,4,10637296,0,60,0.6671521663665771,0.22140789031982422,3098,3098,0,3098,3098,3098,0,3098,0.5,min,True
2,96372106,4,10637297,0,60,1.917870044708252,0.5315618515014648,8907,8907,0,8907,8907,8907,0,8907,0.5,min,True
3,96372106,4,10637298,0,60,5.3975584506988525,0.6243283748626709,6342,6342,0,6342,6342,6342,0,6342,0.5,min,True
4,96372106,4,10637299,0,60,9.455700874328613,0.6173491477966309,8484,8484,0,8484,8484,8484,0,8484,0.5,min,True
5,96372106,4,10637300,0,60,0.7460041046142578,0.2712554931640625,4764,4764,0,4764,4764,4764,0,4764,0.5,min,True
6,96372106,4,10637301,0,60,5.982000350952148,0.7360320091247559,5874,5874,0,5874,5874,5874,0,5874,0.5,min,True
7,96372106,4,10637302,0,60,2.42950439453125,0.4248642921447754,7571,7571,0,7571,7571,7571,0,7571,0.5,min,True
8,96372106,4,10637303,0,60,7.642552614212036,0.4996623992919922,6448,6448,0,6448,6448,6448,0,6448,0.5,min,True
9,96372106,4,10637304,0,60,1.7014493942260742,0.2992379665374756,5286,5286,0,5286,5286,5286,0,5286,0.5,min,True
10,96372106,4,10637305,0,60,3.522576093673706,0.6123638153076172,9624,9624,0,9624,9624,9624,0,9624,0.5,min,True
11,96372106,4,10637306,0,60,3.7998342514038086,0.7061119079589844,10462,10462,0,10462,10462,10462,0,10462,0.5,min,True
12,96372106,4,10637307,0,60,4.028249502182007,0.5954084396362305,7880,7880,0,7880,7880,7880,0,7880,0.5,min,True
13,96372106,4,10637308,0,60,2.5202929973602295,0.4418187141418457,8029,8029,0,8029,8029,8029,0,8029,0.5,min,True
14,96372106,4,10637309,0,60,5.1821370124816895,0.5654876232147217,5744,5744,0,5744,5744,5744,0,5744,0.5,min,True
