Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,initial time,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Distribution,Communication
1,96372106,5,10637296,0,60,0.7051694393157959,0.2652921676635742,4399,4399,0,4399,4399,4399,0,4399,0.5,uniform,True
2,96372106,5,10637297,0,60,15.260198831558228,0.6053791046142578,11609,11609,0,11609,11609,11609,0,11609,0.5,uniform,True
3,96372106,5,10637298,0,60,14.773475408554077,0.7908847332000732,8547,8547,0,8547,8547,8547,0,8547,0.5,uniform,True
4,96372106,5,10637299,0,60,10.571714401245117,0.7878563404083252,8826,8826,0,8826,8826,8826,0,8826,0.5,uniform,True
5,96372106,5,10637300,0,60,0.857703447341919,0.3151817321777344,6171,6171,0,6171,6171,6171,0,6171,0.5,uniform,True
6,96372106,5,10637301,0,60,8.191085815429688,0.8108041286468506,6041,6041,0,6041,6041,6041,0,6041,0.5,uniform,True
7,96372106,5,10637302,0,60,2.5860791206359863,0.48667263984680176,9214,9214,0,9214,9214,9214,0,9214,0.5,uniform,True
8,96372106,5,10637303,0,60,8.100329637527466,0.5983986854553223,7930,7930,0,7930,7930,7930,0,7930,0.5,uniform,True
9,96372106,5,10637304,0,60,1.573789119720459,0.39295125007629395,6310,6310,0,6310,6310,6310,0,6310,0.5,uniform,True
10,96372106,5,10637305,0,60,3.961385488510132,0.7948744297027588,12649,12649,0,12649,12649,12649,0,12649,0.5,uniform,True
11,96372106,5,10637306,0,60,12.514519214630127,0.8626923561096191,12691,12691,0,12691,12691,12691,0,12691,0.5,uniform,True
12,96372106,5,10637307,0,60,5.818434000015259,0.8696732521057129,8464,8464,0,8464,8464,8464,0,8464,0.5,uniform,True
13,96372106,5,10637308,0,60,3.0757720470428467,0.5355429649353027,9905,9905,0,9905,9905,9905,0,9905,0.5,uniform,True
14,96372106,5,10637309,0,60,14.36855673789978,0.6083714962005615,7160,7160,0,7160,7160,7160,0,7160,0.5,uniform,True
15,96372106,5,10637310,0,60,50.92980241775513,0.8776419162750244,11426,11426,0,11426,11426,11426,0,11426,0.5,uniform,True
16,96372106,5,10637311,0,60,14.854259729385376,0.5734660625457764,5599,5599,0,5599,5599,5599,0,5599,0.5,uniform,True
17,96372106,5,10637312,0,60,2.2250490188598633,0.43984246253967285,5435,5435,0,5435,5435,5435,0,5435,0.5,uniform,True
18,96372106,5,10637313,0,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,uniform,True
19,96372106,5,10637314,0,60,16.86787223815918,0.46276259422302246,6813,6813,0,6813,6813,6813,0,6813,0.5,uniform,True
20,96372106,5,10637315,0,60,7.7462756633758545,0.5495035648345947,8243,8243,0,8243,8243,8243,0,8243,0.5,uniform,True
21,96372106,5,10637316,0,60,3.0438573360443115,0.3500635623931885,6502,6502,0,6502,6502,6502,0,6502,0.5,uniform,True
22,96372106,5,10637317,0,60,55.31407165527344,0.52858567237854,8738,8738,0,8738,8738,8738,0,8738,0.5,uniform,True
23,96372106,5,10637318,0,60,1.2097632884979248,0.35804319381713867,4221,4221,0,4221,4221,4221,0,4221,0.5,uniform,True
24,96372106,5,10637319,0,60,32.353440284729004,0.5445420742034912,8064,8064,0,8064,8064,8064,0,8064,0.5,uniform,True
25,96372106,5,10637320,0,60,2.1881368160247803,0.455780029296875,5281,5281,0,5281,5281,5281,0,5281,0.5,uniform,True
26,96372106,5,10637321,0,60,13.811043500900269,0.550525426864624,10333,10333,0,10333,10333,10333,0,10333,0.5,uniform,True
27,96372106,5,10637322,0,60,18.615196228027344,0.6243307590484619,8427,8427,0,8427,8427,8427,0,8427,0.5,uniform,True
28,96372106,5,10637323,0,60,6.039841651916504,0.4278542995452881,7139,7139,0,7139,7139,7139,0,7139,0.5,uniform,True
29,96372106,5,10637324,0,60,2.8842809200286865,0.4577758312225342,3614,3614,0,3614,3614,3614,0,3614,0.5,uniform,True
30,96372106,5,10637325,0,60,13.2226243019104,0.6063809394836426,11973,11973,0,11973,11973,11973,0,11973,0.5,uniform,True
31,96372106,5,10637326,0,60,16.058039665222168,0.7410171031951904,7084,7084,0,7084,7084,7084,0,7084,0.5,uniform,True
32,96372106,5,10637327,0,60,29.21188187599182,0.47572922706604004,9065,9065,0,9065,9065,9065,0,9065,0.5,uniform,True
