Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,initial time,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Distribution,Communication
1,96372106,10,10637296,1,60,2.523193120956421,0.1275768280029297,62,81,19,81,79,79,0,79,1.0,max,False
2,96372106,10,10637297,1,60,4.924167633056641,0.17248177528381348,69,91,22,91,88,88,0,88,1.0,max,False
3,96372106,10,10637298,1,60,1.7818193435668945,0.2708425521850586,70,89,19,89,86,86,0,86,1.0,max,False
4,96372106,10,10637299,1,60,239.8146722316742,0.24817824363708496,90,118,28,118,92,92,0,92,1.0,max,False
5,96372106,10,10637300,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,max,False
6,96372106,10,10637301,1,60,1.5029683113098145,0.28085756301879883,54,77,23,77,71,71,0,71,1.0,max,False
7,96372106,10,10637302,1,60,1.2142283916473389,0.8159072399139404,107,134,27,134,110,110,0,110,1.0,max,False
8,96372106,10,10637303,1,60,0.4600701332092285,0.025998353958129883,56,75,19,75,75,75,0,75,1.0,max,False
9,96372106,10,10637304,1,60,0.1188511848449707,0.02340388298034668,46,65,19,65,66,66,0,66,1.0,max,False
10,96372106,10,10637305,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,max,False
11,96372106,10,10637306,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,max,False
12,96372106,10,10637307,1,60,248.01333570480347,3.242283582687378,67,93,26,93,94,94,0,94,1.0,max,False
13,96372106,10,10637308,1,60,4.8804402351379395,0.18982744216918945,76,98,22,98,101,101,0,101,1.0,max,False
14,96372106,10,10637309,1,60,62.180352210998535,0.16309905052185059,73,96,23,96,95,95,0,95,1.0,max,False
15,96372106,10,10637310,1,60,0.2893970012664795,2.9623920917510986,93,119,26,119,97,97,0,97,1.0,max,False
16,96372106,10,10637311,1,60,1.4518823623657227,0.22261977195739746,69,88,19,88,87,87,0,87,1.0,max,False
17,96372106,10,10637312,1,60,0.6855852603912354,0.10199356079101562,56,70,14,70,70,70,0,70,1.0,max,False
18,96372106,10,10637313,1,60,252.8860001564026,0.20323586463928223,77,97,20,97,97,97,0,97,1.0,max,False
19,96372106,10,10637314,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,max,False
20,96372106,10,10637315,1,60,0.7918128967285156,0.5999405384063721,90,114,24,114,104,104,0,104,1.0,max,False
21,96372106,10,10637316,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,max,False
22,96372106,10,10637317,1,60,3.0828332901000977,0.18054771423339844,72,94,22,94,95,95,0,95,1.0,max,False
23,96372106,10,10637318,1,60,0.8565082550048828,0.04497051239013672,56,78,22,78,74,74,0,74,1.0,max,False
24,96372106,10,10637319,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,max,False
25,96372106,10,10637320,1,60,0.26085758209228516,0.06943774223327637,59,78,19,78,73,73,0,73,1.0,max,False
26,96372106,10,10637321,1,60,13.490365028381348,16.583853244781494,61,81,20,81,80,80,0,80,1.0,max,False
27,96372106,10,10637322,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,max,False
28,96372106,10,10637323,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,max,False
29,96372106,10,10637324,1,60,1.5131752490997314,0.14072942733764648,56,69,13,69,71,71,0,71,1.0,max,False
30,96372106,10,10637325,1,60,87.78494048118591,0.5650732517242432,60,84,24,84,82,82,0,82,1.0,max,False
31,96372106,10,10637326,1,60,26.216559648513794,0.4040200710296631,71,92,21,92,91,91,0,91,1.0,max,False
32,96372106,10,10637327,1,60,0.21007943153381348,0.05517768859863281,58,79,21,79,76,76,0,76,1.0,max,False
33,96372106,10,10637328,1,60,16.4313645362854,0.8155169486999512,65,84,19,84,86,86,0,86,1.0,max,False
34,96372106,10,10637329,1,60,4.200083494186401,0.0766148567199707,63,91,28,91,84,84,0,84,1.0,max,False
35,96372106,10,10637330,1,60,73.61814618110657,1.7172837257385254,86,112,26,112,93,93,0,93,1.0,max,False
36,96372106,10,10637331,1,60,0.8407847881317139,0.43616223335266113,58,75,17,75,76,76,0,76,1.0,max,False
37,96372106,10,10637332,1,60,0.4271821975708008,0.045708417892456055,50,68,18,68,68,68,0,68,1.0,max,False
38,96372106,10,10637333,1,60,22.497656106948853,0.19800329208374023,66,88,22,88,79,79,0,79,1.0,max,False
39,96372106,10,10637334,1,60,1.6984522342681885,0.6687426567077637,68,94,26,94,92,92,0,92,1.0,max,False
40,96372106,10,10637335,1,60,0.7823567390441895,0.08571624755859375,59,74,15,74,74,74,0,74,1.0,max,False
41,96372106,10,10637336,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,max,False
42,96372106,10,10637337,1,60,0.3077089786529541,0.05402255058288574,54,73,19,73,73,73,0,73,1.0,max,False
43,96372106,10,10637338,1,60,10.601936340332031,0.4697999954223633,65,90,25,90,85,85,0,85,1.0,max,False
44,96372106,10,10637339,1,60,233.7994818687439,0.758298397064209,76,100,24,100,101,101,0,101,1.0,max,False
45,96372106,10,10637340,1,60,21.969084978103638,2.6032865047454834,65,85,20,85,80,80,0,80,1.0,max,False
46,96372106,10,10637341,1,60,0.24790668487548828,0.28180360794067383,55,71,16,71,75,75,0,75,1.0,max,False
