Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,initial time,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Distribution,Objective,Communication,Min SIC,Max SIC
1,96372106,11,10637296,1,60,75.13287353515625,0.021947383880615234,67,87,20,87,87,87,0,87,1.0,max,Min Best Case,False,61,93
2,96372106,11,10637297,1,60,9.526721477508545,0.013962030410766602,75,97,22,97,97,97,0,97,1.0,max,Min Best Case,False,68,96
3,96372106,11,10637298,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,max,Min Best Case,False,-1,-1
4,96372106,11,10637299,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,max,Min Best Case,False,-1,-1
5,96372106,11,10637300,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,max,Min Best Case,False,-1,-1
6,96372106,11,10637301,1,60,2.498728036880493,0.01495814323425293,68,90,22,90,90,90,0,90,1.0,max,Min Best Case,False,63,91
7,96372106,11,10637302,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,max,Min Best Case,False,-1,-1
8,96372106,11,10637303,1,60,0.8476190567016602,0.011943817138671875,62,82,20,82,82,82,0,82,1.0,max,Min Best Case,False,59,87
9,96372106,11,10637304,1,60,0.03789949417114258,0.017978191375732422,48,67,19,67,67,67,0,67,1.0,max,Min Best Case,False,46,70
10,96372106,11,10637305,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,max,Min Best Case,False,-1,-1
11,96372106,11,10637306,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,max,Min Best Case,False,-1,-1
12,96372106,11,10637307,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,max,Min Best Case,False,-1,-1
13,96372106,11,10637308,1,60,5.827806711196899,0.018948793411254883,77,100,23,100,100,100,0,100,1.0,max,Min Best Case,False,73,106
14,96372106,11,10637309,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,max,Min Best Case,False,-1,-1
15,96372106,11,10637310,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,max,Min Best Case,False,-1,-1
16,96372106,11,10637311,1,60,8.629048824310303,0.015984773635864258,81,103,22,103,102,102,0,102,1.0,max,Min Best Case,False,75,104
17,96372106,11,10637312,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,max,Min Best Case,False,-1,-1
18,96372106,11,10637313,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,max,Min Best Case,False,-1,-1
19,96372106,11,10637314,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,max,Min Best Case,False,-1,-1
