Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,initial time,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Distribution,Communication
1,96372106,12,10637296,0,60,0.16034722328186035,0.020460844039916992,68,68,0,68,68,68,0,68,0.25,uniform,True
2,96372106,12,10637297,0,60,0.05874061584472656,0.12520909309387207,69,69,0,69,69,69,0,69,0.25,uniform,True
3,96372106,12,10637298,0,60,0.6859781742095947,0.02970600128173828,71,71,0,71,71,71,0,71,0.25,uniform,True
4,96372106,12,10637299,0,60,0.14188694953918457,0.017273426055908203,71,71,0,71,71,71,0,71,0.25,uniform,True
5,96372106,12,10637300,0,60,0.3295738697052002,0.08762121200561523,79,79,0,79,79,79,0,79,0.25,uniform,True
6,96372106,12,10637301,0,60,0.07839465141296387,0.07428264617919922,65,65,0,65,65,65,0,65,0.25,uniform,True
7,96372106,12,10637302,0,60,0.03181004524230957,0.05747413635253906,85,85,0,85,85,85,0,85,0.25,uniform,True
8,96372106,12,10637303,0,60,0.035599470138549805,0.018274545669555664,62,62,0,62,62,62,0,62,0.25,uniform,True
9,96372106,12,10637304,0,60,0.02679896354675293,0.010715484619140625,49,49,0,49,49,49,0,49,0.25,uniform,True
10,96372106,12,10637305,0,60,1.3883552551269531,0.0700216293334961,69,69,0,69,69,69,0,69,0.25,uniform,True
11,96372106,12,10637306,0,60,0.08495450019836426,0.09847831726074219,73,73,0,73,73,73,0,73,0.25,uniform,True
12,96372106,12,10637307,0,60,0.05595684051513672,0.04669547080993652,67,67,0,67,67,67,0,67,0.25,uniform,True
13,96372106,12,10637308,0,60,0.5192272663116455,0.12784337997436523,72,72,0,72,72,72,0,72,0.25,uniform,True
14,96372106,12,10637309,0,60,0.049967288970947266,0.01921391487121582,69,69,0,69,69,69,0,69,0.25,uniform,True
15,96372106,12,10637310,0,60,0.1612412929534912,0.08995628356933594,72,72,0,72,72,72,0,72,0.25,uniform,True
16,96372106,12,10637311,0,60,0.027626991271972656,0.04206418991088867,72,72,0,72,72,72,0,72,0.25,uniform,True
17,96372106,12,10637312,0,60,5.94713568687439,0.09523558616638184,61,61,0,61,61,61,0,61,0.25,uniform,True
18,96372106,12,10637313,0,60,0.22534966468811035,0.06853175163269043,76,76,0,76,76,76,0,76,0.25,uniform,True
19,96372106,12,10637314,0,60,18.240437030792236,0.07495927810668945,70,70,0,70,70,70,0,70,0.25,uniform,True
