Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,initial time,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Distribution,Objective,Communication,Min SIC,Max SIC
1,96372106,12,10637296,0,60,0.05513906478881836,0.005980491638183594,68,68,0,68,68,68,0,68,1.0,min,Min Best Case,False,68,68
2,96372106,12,10637297,0,60,0.03389620780944824,0.004985332489013672,69,69,0,69,69,69,0,69,1.0,min,Min Best Case,False,69,69
3,96372106,12,10637298,0,60,0.6063299179077148,0.005995512008666992,71,71,0,71,71,71,0,71,1.0,min,Min Best Case,False,69,69
4,96372106,12,10637299,0,60,0.04588127136230469,0.004951000213623047,71,71,0,71,71,71,0,71,1.0,min,Min Best Case,False,70,70
5,96372106,12,10637300,0,60,0.10367083549499512,0.0049898624420166016,79,79,0,79,79,79,0,79,1.0,min,Min Best Case,False,79,79
6,96372106,12,10637301,0,60,0.041855573654174805,0.005946636199951172,65,65,0,65,65,65,0,65,1.0,min,Min Best Case,False,65,65
7,96372106,12,10637302,0,60,0.019953489303588867,0.007978200912475586,85,85,0,85,85,85,0,85,1.0,min,Min Best Case,False,85,85
8,96372106,12,10637303,0,60,0.018963098526000977,0.004952669143676758,62,62,0,62,62,62,0,62,1.0,min,Min Best Case,False,62,62
9,96372106,12,10637304,0,60,0.008976936340332031,0.004022836685180664,49,49,0,49,49,49,0,49,1.0,min,Min Best Case,False,49,49
10,96372106,12,10637305,0,60,1.3237831592559814,0.006958723068237305,69,69,0,69,69,69,0,69,1.0,min,Min Best Case,False,66,66
11,96372106,12,10637306,0,60,0.05385255813598633,0.006983280181884766,73,73,0,73,73,73,0,73,1.0,min,Min Best Case,False,73,73
12,96372106,12,10637307,0,60,0.03289651870727539,0.004960536956787109,67,67,0,67,67,67,0,67,1.0,min,Min Best Case,False,66,66
13,96372106,12,10637308,0,60,2.2389934062957764,0.00601959228515625,72,72,0,72,72,72,0,72,1.0,min,Min Best Case,False,70,70
14,96372106,12,10637309,0,60,0.035878658294677734,0.007979631423950195,69,69,0,69,69,69,0,69,1.0,min,Min Best Case,False,68,68
15,96372106,12,10637310,0,60,0.052873849868774414,0.004984617233276367,72,72,0,72,72,72,0,72,1.0,min,Min Best Case,False,70,70
16,96372106,12,10637311,0,60,0.014932870864868164,0.0049860477447509766,72,72,0,72,72,72,0,72,1.0,min,Min Best Case,False,72,72
17,96372106,12,10637312,0,60,6.37939977645874,0.0050203800201416016,61,61,0,61,61,61,0,61,1.0,min,Min Best Case,False,55,55
18,96372106,12,10637313,0,60,0.09793448448181152,0.00498509407043457,76,76,0,76,76,76,0,76,1.0,min,Min Best Case,False,75,75
19,96372106,12,10637314,0,60,188.91266107559204,0.004988193511962891,70,70,0,70,70,70,0,70,1.0,min,Min Best Case,False,67,67
20,96372106,12,10637315,0,60,0.595606803894043,0.006986856460571289,86,86,0,86,86,86,0,86,1.0,min,Min Best Case,False,86,86
21,96372106,12,10637316,0,60,0.08581948280334473,0.006956338882446289,71,71,0,71,71,71,0,71,1.0,min,Min Best Case,False,71,71
22,96372106,12,10637317,0,60,0.019948244094848633,0.00697779655456543,64,64,0,64,64,64,0,64,1.0,min,Min Best Case,False,64,64
23,96372106,12,10637318,0,60,0.007959127426147461,0.00895547866821289,63,63,0,63,63,63,0,63,1.0,min,Min Best Case,False,63,63
