Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,initial time,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Distribution,Objective,Communication,Min SIC,Max SIC
1,96372106,2,10637296,0,60,0.0006427764892578125,0.0006189346313476562,13,13,0,13,13,13,0,13,1.0,uniform,Min Best Case,True,13,13
2,96372106,2,10637297,0,60,0.0004673004150390625,0.0004551410675048828,11,11,0,11,11,11,0,11,1.0,uniform,Min Best Case,True,11,11
3,96372106,2,10637298,0,60,0.0009398460388183594,0.0005698204040527344,18,18,0,18,18,18,0,18,1.0,uniform,Min Best Case,True,18,18
4,96372106,2,10637299,0,60,0.0011339187622070312,0.0005328655242919922,14,14,0,14,14,14,0,14,1.0,uniform,Min Best Case,True,14,14
5,96372106,2,10637300,0,60,0.0006103515625,0.0005743503570556641,14,14,0,14,14,14,0,14,1.0,uniform,Min Best Case,True,14,14
6,96372106,2,10637301,0,60,0.0004551410675048828,0.0004665851593017578,11,11,0,11,11,11,0,11,1.0,uniform,Min Best Case,True,11,11
7,96372106,2,10637302,0,60,0.0006606578826904297,0.0005738735198974609,17,17,0,17,17,17,0,17,1.0,uniform,Min Best Case,True,17,17
8,96372106,2,10637303,0,60,0.0004439353942871094,0.0004649162292480469,13,13,0,13,13,13,0,13,1.0,uniform,Min Best Case,True,13,13
9,96372106,2,10637304,0,60,0.0012390613555908203,0.00052642822265625,14,14,0,14,14,14,0,14,1.0,uniform,Min Best Case,True,14,14
10,96372106,2,10637305,0,60,0.0005526542663574219,0.0004935264587402344,15,15,0,15,15,15,0,15,1.0,uniform,Min Best Case,True,15,15
11,96372106,2,10637306,0,60,0.0002701282501220703,0.0003838539123535156,6,6,0,6,6,6,0,6,1.0,uniform,Min Best Case,True,6,6
12,96372106,2,10637307,0,60,0.0004627704620361328,0.0005314350128173828,13,13,0,13,13,13,0,13,1.0,uniform,Min Best Case,True,13,13
13,96372106,2,10637308,0,60,0.00044417381286621094,0.0005559921264648438,11,11,0,11,11,11,0,11,1.0,uniform,Min Best Case,True,11,11
14,96372106,2,10637309,0,60,0.000553131103515625,0.0005555152893066406,17,17,0,17,17,17,0,17,1.0,uniform,Min Best Case,True,17,17
15,96372106,2,10637310,0,60,0.0005965232849121094,0.0005779266357421875,13,13,0,13,13,13,0,13,1.0,uniform,Min Best Case,True,13,13
16,96372106,2,10637311,0,60,0.00028586387634277344,0.0003452301025390625,7,7,0,7,7,7,0,7,1.0,uniform,Min Best Case,True,7,7
17,96372106,2,10637312,0,60,0.00038695335388183594,0.00047898292541503906,10,10,0,10,10,10,0,10,1.0,uniform,Min Best Case,True,10,10
18,96372106,2,10637313,0,60,0.0004849433898925781,0.0004858970642089844,14,14,0,14,14,14,0,14,1.0,uniform,Min Best Case,True,14,14
19,96372106,2,10637314,0,60,0.006936073303222656,0.0005478858947753906,14,14,0,14,14,14,0,14,1.0,uniform,Min Best Case,True,13,13
20,96372106,2,10637315,0,60,0.0005383491516113281,0.0005156993865966797,10,10,0,10,10,10,0,10,1.0,uniform,Min Best Case,True,10,10
21,96372106,2,10637316,0,60,0.0005011558532714844,0.0007090568542480469,14,14,0,14,14,14,0,14,1.0,uniform,Min Best Case,True,14,14
22,96372106,2,10637317,0,60,0.00038051605224609375,0.0005216598510742188,10,10,0,10,10,10,0,10,1.0,uniform,Min Best Case,True,10,10
23,96372106,2,10637318,0,60,0.0004229545593261719,0.0005085468292236328,10,10,0,10,10,10,0,10,1.0,uniform,Min Best Case,True,10,10
24,96372106,2,10637319,0,60,0.0004467964172363281,0.0005240440368652344,14,14,0,14,14,14,0,14,1.0,uniform,Min Best Case,True,14,14
25,96372106,2,10637320,0,60,0.0002713203430175781,0.0003597736358642578,6,6,0,6,6,6,0,6,1.0,uniform,Min Best Case,True,6,6
