Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,initial time,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Distribution,Objective,Communication,Min SIC,Max SIC
1,96372106,2,10637296,2,60,0.0008287429809570312,0.0021169185638427734,17,29,12,24,24,24,0,24,1.0,uniform,Min Best Case,False,17,29
2,96372106,2,10637297,2,60,0.0006730556488037109,0.0013968944549560547,12,23,11,20,20,20,0,20,1.0,uniform,Min Best Case,False,12,23
3,96372106,2,10637298,2,60,0.0576786994934082,0.002552509307861328,22,38,16,29,29,29,0,29,1.0,uniform,Min Best Case,False,21,38
4,96372106,2,10637299,2,60,0.005263328552246094,0.0022275447845458984,19,29,10,26,26,26,0,26,1.0,uniform,Min Best Case,False,17,31
5,96372106,2,10637300,2,60,0.0009562969207763672,0.002309083938598633,16,28,12,21,21,21,0,21,1.0,uniform,Min Best Case,False,16,28
6,96372106,2,10637301,2,60,0.0007762908935546875,0.0014843940734863281,14,22,8,20,20,20,0,20,1.0,uniform,Min Best Case,False,14,22
7,96372106,2,10637302,2,60,0.003128528594970703,0.002526998519897461,20,34,14,26,26,26,0,26,1.0,uniform,Min Best Case,False,19,35
8,96372106,2,10637303,2,60,0.0008034706115722656,0.0016620159149169922,14,26,12,23,23,23,0,23,1.0,uniform,Min Best Case,False,14,26
9,96372106,2,10637304,2,60,0.004523754119873047,0.002022981643676758,19,29,10,23,23,23,0,23,1.0,uniform,Min Best Case,False,17,29
10,96372106,2,10637305,2,60,0.0045430660247802734,0.0021626949310302734,20,32,12,26,26,26,0,26,1.0,uniform,Min Best Case,False,19,33
11,96372106,2,10637306,2,60,0.0005025863647460938,0.0009024143218994141,7,12,5,10,10,10,0,10,1.0,uniform,Min Best Case,False,7,12
12,96372106,2,10637307,2,60,0.0009024143218994141,0.0019538402557373047,17,31,14,22,22,22,0,22,1.0,uniform,Min Best Case,False,17,31
13,96372106,2,10637308,2,60,0.00083160400390625,0.0018000602722167969,11,19,8,15,15,15,0,15,1.0,uniform,Min Best Case,False,11,19
14,96372106,2,10637309,2,60,0.0021440982818603516,0.0024297237396240234,21,34,13,26,26,26,0,26,1.0,uniform,Min Best Case,False,20,34
15,96372106,2,10637310,2,60,0.0007686614990234375,0.0018286705017089844,15,24,9,17,17,17,0,17,1.0,uniform,Min Best Case,False,15,24
16,96372106,2,10637311,2,60,0.0005290508270263672,0.0008523464202880859,11,16,5,13,13,13,0,13,1.0,uniform,Min Best Case,False,11,16
17,96372106,2,10637312,2,60,0.0007157325744628906,0.0013935565948486328,10,20,10,17,17,17,0,17,1.0,uniform,Min Best Case,False,10,20
18,96372106,2,10637313,2,60,0.0010747909545898438,0.0020835399627685547,17,31,14,24,24,24,0,24,1.0,uniform,Min Best Case,False,17,31
19,96372106,2,10637314,2,60,0.008409738540649414,0.002234220504760742,17,33,16,24,24,24,0,24,1.0,uniform,Min Best Case,False,16,29
20,96372106,2,10637315,2,60,0.0006322860717773438,0.0012559890747070312,10,20,10,11,11,11,0,11,1.0,uniform,Min Best Case,False,10,20
21,96372106,2,10637316,2,60,0.00092315673828125,0.0019538402557373047,21,32,11,30,30,30,0,30,1.0,uniform,Min Best Case,False,21,32
22,96372106,2,10637317,2,60,0.0007719993591308594,0.001779317855834961,13,22,9,18,18,18,0,18,1.0,uniform,Min Best Case,False,13,22
23,96372106,2,10637318,2,60,0.0007550716400146484,0.0016620159149169922,12,22,10,20,20,20,0,20,1.0,uniform,Min Best Case,False,12,22
24,96372106,2,10637319,2,60,0.0008261203765869141,0.0018236637115478516,16,33,17,26,26,26,0,26,1.0,uniform,Min Best Case,False,16,33
25,96372106,2,10637320,2,60,0.00054931640625,0.0010151863098144531,7,13,6,11,11,11,0,11,1.0,uniform,Min Best Case,False,7,13
26,96372106,2,10637321,2,60,0.0007691383361816406,0.0013802051544189453,15,26,11,24,24,24,0,24,1.0,uniform,Min Best Case,False,15,26
27,96372106,2,10637322,2,60,0.0011136531829833984,0.0010018348693847656,9,11,2,9,9,9,0,9,1.0,uniform,Min Best Case,False,8,10
28,96372106,2,10637323,2,60,0.0011684894561767578,0.003358602523803711,19,34,15,27,27,27,0,27,1.0,uniform,Min Best Case,False,19,34
29,96372106,2,10637324,2,60,0.00036334991455078125,0.0006606578826904297,5,9,4,7,7,7,0,7,1.0,uniform,Min Best Case,False,5,9
30,96372106,2,10637325,2,60,0.0007467269897460938,0.0015549659729003906,10,19,9,15,15,15,0,15,1.0,uniform,Min Best Case,False,10,19
31,96372106,2,10637326,2,60,0.000762939453125,0.0015184879302978516,15,21,6,19,19,19,0,19,1.0,uniform,Min Best Case,False,15,21
32,96372106,2,10637327,2,60,0.0013995170593261719,0.0012280941009521484,14,20,6,16,15,15,0,15,1.0,uniform,Min Best Case,False,13,19
33,96372106,2,10637328,2,60,0.001817464828491211,0.0017316341400146484,17,30,13,26,26,26,0,26,1.0,uniform,Min Best Case,False,17,31
34,96372106,2,10637329,2,60,0.0004820823669433594,0.0010368824005126953,10,13,3,13,13,13,0,13,1.0,uniform,Min Best Case,False,10,13
35,96372106,2,10637330,2,60,0.0004661083221435547,0.0006899833679199219,7,12,5,9,9,9,0,9,1.0,uniform,Min Best Case,False,7,12
36,96372106,2,10637331,2,60,0.0008232593536376953,0.001583099365234375,16,28,12,20,20,20,0,20,1.0,uniform,Min Best Case,False,16,28
37,96372106,2,10637332,2,60,0.0005939006805419922,0.0010323524475097656,10,16,6,14,14,14,0,14,1.0,uniform,Min Best Case,False,10,16
38,96372106,2,10637333,2,60,0.00069427490234375,0.001220703125,12,22,10,18,18,18,0,18,1.0,uniform,Min Best Case,False,12,22
39,96372106,2,10637334,2,60,0.0007576942443847656,0.0015377998352050781,13,24,11,22,22,22,0,22,1.0,uniform,Min Best Case,False,13,24
40,96372106,2,10637335,2,60,0.00021505355834960938,0.00031685829162597656,2,3,1,2,2,2,0,2,1.0,uniform,Min Best Case,False,2,3
