Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,initial time,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Distribution,Objective,Communication
1,96372106,2,10637296,2,60,0.0008287429809570312,0.006088972091674805,17,29,12,17,17,17,0,17,1.0,min,Min Best Case,True
2,96372106,2,10637297,2,60,0.0006730556488037109,0.003744840621948242,12,23,11,12,12,12,0,12,1.0,min,Min Best Case,True
3,96372106,2,10637298,2,60,0.0576786994934082,0.14181804656982422,22,38,16,22,21,21,0,21,1.0,min,Min Best Case,True
4,96372106,2,10637299,2,60,0.005263328552246094,0.00835275650024414,19,29,10,19,19,19,0,19,1.0,min,Min Best Case,True
5,96372106,2,10637300,2,60,0.0009562969207763672,0.006103515625,16,28,12,16,16,16,0,16,1.0,min,Min Best Case,True
6,96372106,2,10637301,2,60,0.0007762908935546875,0.0037260055541992188,14,22,8,14,14,14,0,14,1.0,min,Min Best Case,True
7,96372106,2,10637302,2,60,0.003128528594970703,0.012764453887939453,20,34,14,20,19,19,0,19,1.0,min,Min Best Case,True
8,96372106,2,10637303,2,60,0.0008034706115722656,0.0042858123779296875,14,26,12,14,14,14,0,14,1.0,min,Min Best Case,True
9,96372106,2,10637304,2,60,0.004523754119873047,0.011451482772827148,19,29,10,19,18,18,0,18,1.0,min,Min Best Case,True
10,96372106,2,10637305,2,60,0.0045430660247802734,0.009971857070922852,20,32,12,20,20,20,0,20,1.0,min,Min Best Case,True
11,96372106,2,10637306,2,60,0.0005025863647460938,0.0021212100982666016,7,12,5,7,7,7,0,7,1.0,min,Min Best Case,True
12,96372106,2,10637307,2,60,0.0009024143218994141,0.005353450775146484,17,31,14,17,17,17,0,17,1.0,min,Min Best Case,True
13,96372106,2,10637308,2,60,0.00083160400390625,0.004866123199462891,11,19,8,11,11,11,0,11,1.0,min,Min Best Case,True
14,96372106,2,10637309,2,60,0.0021440982818603516,0.0077626705169677734,21,34,13,21,20,20,0,20,1.0,min,Min Best Case,True
15,96372106,2,10637310,2,60,0.0007686614990234375,0.005048036575317383,15,24,9,15,15,15,0,15,1.0,min,Min Best Case,True
16,96372106,2,10637311,2,60,0.0005290508270263672,0.002069711685180664,11,16,5,11,11,11,0,11,1.0,min,Min Best Case,True
17,96372106,2,10637312,2,60,0.0007157325744628906,0.0036759376525878906,10,20,10,10,10,10,0,10,1.0,min,Min Best Case,True
18,96372106,2,10637313,2,60,0.0010747909545898438,0.005697727203369141,17,31,14,17,17,17,0,17,1.0,min,Min Best Case,True
19,96372106,2,10637314,2,60,0.008409738540649414,0.006432771682739258,17,33,16,17,16,16,0,16,1.0,min,Min Best Case,True
20,96372106,2,10637315,2,60,0.0006322860717773438,0.0030879974365234375,10,20,10,10,10,10,0,10,1.0,min,Min Best Case,True
21,96372106,2,10637316,2,60,0.00092315673828125,0.004945993423461914,21,32,11,21,21,21,0,21,1.0,min,Min Best Case,True
22,96372106,2,10637317,2,60,0.0007719993591308594,0.005396842956542969,13,22,9,13,13,13,0,13,1.0,min,Min Best Case,True
23,96372106,2,10637318,2,60,0.0007550716400146484,0.004448413848876953,12,22,10,12,12,12,0,12,1.0,min,Min Best Case,True
24,96372106,2,10637319,2,60,0.0008261203765869141,0.004848957061767578,16,33,17,16,16,16,0,16,1.0,min,Min Best Case,True
25,96372106,2,10637320,2,60,0.00054931640625,0.0022902488708496094,7,13,6,7,7,7,0,7,1.0,min,Min Best Case,True
26,96372106,2,10637321,2,60,0.0007691383361816406,0.0033767223358154297,15,26,11,15,15,15,0,15,1.0,min,Min Best Case,True
