Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,initial time,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Distribution,Objective,Communication,Min SIC,Max SIC
1,96372106,3,10637296,0,60,0.0007853507995605469,0.0008387565612792969,23,23,0,23,23,23,0,23,1.0,min,Min Worst Case,True,23,23
2,96372106,3,10637297,0,60,0.0005257129669189453,0.000652313232421875,14,14,0,14,14,14,0,14,1.0,min,Min Worst Case,True,14,14
3,96372106,3,10637298,0,60,0.0007441043853759766,0.0008025169372558594,24,24,0,24,24,24,0,24,1.0,min,Min Worst Case,True,24,24
4,96372106,3,10637299,0,60,0.0007240772247314453,0.0007348060607910156,21,21,0,21,21,21,0,21,1.0,min,Min Worst Case,True,21,21
5,96372106,3,10637300,0,60,0.0007216930389404297,0.0008437633514404297,21,21,0,21,21,21,0,21,1.0,min,Min Worst Case,True,21,21
6,96372106,3,10637301,0,60,0.001077890396118164,0.0009400844573974609,23,23,0,23,23,23,0,23,1.0,min,Min Worst Case,True,23,23
7,96372106,3,10637302,0,60,0.0014073848724365234,0.0008282661437988281,24,24,0,24,24,24,0,24,1.0,min,Min Worst Case,True,24,24
8,96372106,3,10637303,0,60,0.0018711090087890625,0.0006363391876220703,14,14,0,14,14,14,0,14,1.0,min,Min Worst Case,True,14,14
9,96372106,3,10637304,0,60,0.0012788772583007812,0.0006957054138183594,18,18,0,18,18,18,0,18,1.0,min,Min Worst Case,True,18,18
10,96372106,3,10637305,0,60,0.0008592605590820312,0.0007162094116210938,19,19,0,19,19,19,0,19,1.0,min,Min Worst Case,True,19,19
11,96372106,3,10637306,0,60,0.0006949901580810547,0.0004858970642089844,9,9,0,9,9,9,0,9,1.0,min,Min Worst Case,True,9,9
12,96372106,3,10637307,0,60,0.0007412433624267578,0.00067901611328125,18,18,0,18,18,18,0,18,1.0,min,Min Worst Case,True,18,18
13,96372106,3,10637308,0,60,0.0011851787567138672,0.00074005126953125,19,19,0,19,19,19,0,19,1.0,min,Min Worst Case,True,19,19
14,96372106,3,10637309,0,60,0.00091552734375,0.0007359981536865234,18,18,0,18,18,18,0,18,1.0,min,Min Worst Case,True,18,18
15,96372106,3,10637310,0,60,0.0008392333984375,0.0007348060607910156,22,22,0,22,22,22,0,22,1.0,min,Min Worst Case,True,22,22
16,96372106,3,10637311,0,60,0.0005214214324951172,0.0006113052368164062,14,14,0,14,14,14,0,14,1.0,min,Min Worst Case,True,14,14
17,96372106,3,10637312,0,60,0.000705718994140625,0.0006644725799560547,15,15,0,15,15,15,0,15,1.0,min,Min Worst Case,True,15,15
18,96372106,3,10637313,0,60,0.000789642333984375,0.0008027553558349609,24,24,0,24,24,24,0,24,1.0,min,Min Worst Case,True,24,24
19,96372106,3,10637314,0,60,0.010047674179077148,0.0007359981536865234,20,20,0,20,20,20,0,20,1.0,min,Min Worst Case,True,19,19
20,96372106,3,10637315,0,60,0.0011382102966308594,0.0005917549133300781,14,14,0,14,14,14,0,14,1.0,min,Min Worst Case,True,14,14
21,96372106,3,10637316,0,60,0.0016531944274902344,0.0006954669952392578,19,19,0,19,19,19,0,19,1.0,min,Min Worst Case,True,19,19
