Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,initial time,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Distribution,Objective,Communication
1,96372106,3,10637296,1,60,0.0022699832916259766,0.0010211467742919922,24,37,13,37,24,37,13,37,0.0,max,Min Best Case,False
2,96372106,3,10637297,1,60,0.0005466938018798828,0.0007264614105224609,16,19,3,19,16,19,3,19,0.0,max,Min Best Case,False
3,96372106,3,10637298,1,60,0.003039121627807617,0.0010266304016113281,26,32,6,32,26,32,6,32,0.0,max,Min Best Case,False
4,96372106,3,10637299,1,60,0.005118846893310547,0.0010478496551513672,23,35,12,35,23,35,12,35,0.0,max,Min Best Case,False
5,96372106,3,10637300,1,60,0.0020160675048828125,0.0010716915130615234,23,31,8,31,23,31,8,31,0.0,max,Min Best Case,False
6,96372106,3,10637301,1,60,0.0017733573913574219,0.0012319087982177734,24,38,14,38,24,38,14,38,0.0,max,Min Best Case,False
7,96372106,3,10637302,1,60,0.011667728424072266,0.0011668205261230469,25,37,12,37,25,37,12,37,0.0,max,Min Best Case,False
8,96372106,3,10637303,1,60,0.0005488395690917969,0.0007617473602294922,14,20,6,20,14,20,6,20,0.0,max,Min Best Case,False
9,96372106,3,10637304,1,60,0.003224611282348633,0.0009045600891113281,19,28,9,28,19,28,9,28,0.0,max,Min Best Case,False
10,96372106,3,10637305,1,60,0.004889488220214844,0.000888824462890625,22,30,8,30,22,30,8,30,0.0,max,Min Best Case,False
11,96372106,3,10637306,1,60,0.0004417896270751953,0.0006215572357177734,9,18,9,18,9,18,9,18,0.0,max,Min Best Case,False
12,96372106,3,10637307,1,60,0.0018010139465332031,0.0008554458618164062,21,30,9,30,21,30,9,30,0.0,max,Min Best Case,False
13,96372106,3,10637308,1,60,0.00160980224609375,0.0009162425994873047,20,29,9,29,20,29,9,29,0.0,max,Min Best Case,False
14,96372106,3,10637309,1,60,0.005843639373779297,0.0009829998016357422,19,29,10,29,19,29,10,29,0.0,max,Min Best Case,False
15,96372106,3,10637310,1,60,0.0017344951629638672,0.001039743423461914,24,37,13,37,24,37,13,37,0.0,max,Min Best Case,False
16,96372106,3,10637311,1,60,0.0006008148193359375,0.0008282661437988281,18,23,5,23,18,23,5,23,0.0,max,Min Best Case,False
17,96372106,3,10637312,1,60,0.0005953311920166016,0.0007474422454833984,16,21,5,21,16,21,5,21,0.0,max,Min Best Case,False
18,96372106,3,10637313,1,60,0.01020956039428711,0.0010788440704345703,25,35,10,35,25,35,10,35,0.0,max,Min Best Case,False
19,96372106,3,10637314,1,60,0.01694512367248535,0.0008704662322998047,22,29,7,29,22,29,7,29,0.0,max,Min Best Case,False
20,96372106,3,10637315,1,60,0.001018524169921875,0.0006799697875976562,15,21,6,21,15,21,6,21,0.0,max,Min Best Case,False
21,96372106,3,10637316,1,60,0.0013642311096191406,0.0009214878082275391,21,33,12,33,21,33,12,33,0.0,max,Min Best Case,False
22,96372106,3,10637317,1,60,0.0015327930450439453,0.0010251998901367188,22,31,9,31,22,31,9,31,0.0,max,Min Best Case,False
23,96372106,3,10637318,1,60,0.0005495548248291016,0.0008535385131835938,15,22,7,22,15,22,7,22,0.0,max,Min Best Case,False
24,96372106,3,10637319,1,60,0.0005903244018554688,0.0008661746978759766,19,27,8,27,19,27,8,27,0.0,max,Min Best Case,False
25,96372106,3,10637320,1,60,0.0004622936248779297,0.0006289482116699219,12,16,4,16,12,16,4,16,0.0,max,Min Best Case,False
26,96372106,3,10637321,1,60,0.0005054473876953125,0.0006916522979736328,17,21,4,21,17,21,4,21,0.0,max,Min Best Case,False
27,96372106,3,10637322,1,60,0.000980377197265625,0.0007083415985107422,14,19,5,19,14,19,5,19,0.0,max,Min Best Case,False
