Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,initial time,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Distribution,Objective,Communication
1,96372106,3,10637296,4,60,0.011136054992675781,0.0010974407196044922,38,74,36,74,38,74,36,74,0.0,max,Min Best Case,True
2,96372106,3,10637297,4,60,0.0005660057067871094,0.0006148815155029297,26,43,17,43,26,43,17,43,0.0,max,Min Best Case,True
3,96372106,3,10637298,4,60,0.047707557678222656,0.0009603500366210938,44,91,47,91,44,91,47,91,0.0,max,Min Best Case,True
4,96372106,3,10637299,4,60,0.1369466781616211,0.0010924339294433594,35,73,38,73,35,73,38,73,0.0,max,Min Best Case,True
5,96372106,3,10637300,4,60,0.04135251045227051,0.000997304916381836,37,71,34,71,37,71,34,71,0.0,max,Min Best Case,True
6,96372106,3,10637301,4,60,0.015363454818725586,0.0011458396911621094,39,77,38,77,39,77,38,77,0.0,max,Min Best Case,True
7,96372106,3,10637302,4,60,0.021320343017578125,0.0009284019470214844,36,86,50,86,36,86,50,86,0.0,max,Min Best Case,True
8,96372106,3,10637303,4,60,0.0007538795471191406,0.0009486675262451172,31,55,24,55,31,55,24,55,0.0,max,Min Best Case,True
9,96372106,3,10637304,4,60,0.0026624202728271484,0.0008759498596191406,29,65,36,65,29,65,36,65,0.0,max,Min Best Case,True
10,96372106,3,10637305,4,60,0.030375242233276367,0.0008912086486816406,38,78,40,78,38,78,40,78,0.0,max,Min Best Case,True
11,96372106,3,10637306,4,60,0.0004496574401855469,0.0005362033843994141,14,30,16,30,14,30,16,30,0.0,max,Min Best Case,True
12,96372106,3,10637307,4,60,0.004960060119628906,0.0008783340454101562,38,67,29,67,38,67,29,67,0.0,max,Min Best Case,True
13,96372106,3,10637308,4,60,0.0048100948333740234,0.0010440349578857422,35,75,40,75,35,75,40,75,0.0,max,Min Best Case,True
14,96372106,3,10637309,4,60,0.002099275588989258,0.0009379386901855469,28,67,39,67,28,67,39,67,0.0,max,Min Best Case,True
15,96372106,3,10637310,4,60,0.20627927780151367,0.0010285377502441406,43,78,35,78,43,78,35,78,0.0,max,Min Best Case,True
16,96372106,3,10637311,4,60,0.001819610595703125,0.0009286403656005859,25,63,38,63,25,63,38,63,0.0,max,Min Best Case,True
17,96372106,3,10637312,4,60,0.001148223876953125,0.0005631446838378906,27,45,18,45,27,45,18,45,0.0,max,Min Best Case,True
18,96372106,3,10637313,4,60,1.3533780574798584,0.0015196800231933594,44,87,43,87,44,87,43,87,0.0,max,Min Best Case,True
19,96372106,3,10637314,4,60,15.924020767211914,0.0015611648559570312,41,71,30,71,41,71,30,71,0.0,max,Min Best Case,True
20,96372106,3,10637315,4,60,0.012347698211669922,0.0006387233734130859,27,51,24,51,27,51,24,51,0.0,max,Min Best Case,True
21,96372106,3,10637316,4,60,0.025081396102905273,0.0009827613830566406,29,62,33,62,29,62,33,62,0.0,max,Min Best Case,True
22,96372106,3,10637317,4,60,0.010565757751464844,0.0009822845458984375,31,63,32,63,31,63,32,63,0.0,max,Min Best Case,True
23,96372106,3,10637318,4,60,0.024260759353637695,0.0009479522705078125,30,54,24,54,30,54,24,54,0.0,max,Min Best Case,True
24,96372106,3,10637319,4,60,0.0006482601165771484,0.0008006095886230469,26,56,30,56,26,56,30,56,0.0,max,Min Best Case,True
25,96372106,3,10637320,4,60,0.00047779083251953125,0.0006244182586669922,22,41,19,41,22,41,19,41,0.0,max,Min Best Case,True
26,96372106,3,10637321,4,60,0.0006718635559082031,0.0006003379821777344,26,53,27,53,26,53,27,53,0.0,max,Min Best Case,True
27,96372106,3,10637322,4,60,0.0016832351684570312,0.0008168220520019531,23,55,32,55,23,55,32,55,0.0,max,Min Best Case,True
28,96372106,3,10637323,4,60,0.1277608871459961,0.0015177726745605469,38,62,24,62,38,62,24,62,0.0,max,Min Best Case,True
29,96372106,3,10637324,4,60,0.0007266998291015625,0.0011487007141113281,27,51,24,51,27,51,24,51,0.0,max,Min Best Case,True
30,96372106,3,10637325,4,60,0.001979351043701172,0.0008342266082763672,23,46,23,46,23,46,23,46,0.0,max,Min Best Case,True
31,96372106,3,10637326,4,60,0.38896870613098145,0.00124359130859375,43,71,28,71,43,71,28,71,0.0,max,Min Best Case,True
32,96372106,3,10637327,4,60,0.010279178619384766,0.0008070468902587891,26,57,31,57,26,57,31,57,0.0,max,Min Best Case,True
33,96372106,3,10637328,4,60,0.0022840499877929688,0.0007257461547851562,32,60,28,60,32,60,28,60,0.0,max,Min Best Case,True
34,96372106,3,10637329,4,60,0.0007491111755371094,0.0010755062103271484,33,58,25,58,33,58,25,58,0.0,max,Min Best Case,True
35,96372106,3,10637330,4,60,0.00041174888610839844,0.0005316734313964844,19,32,13,32,19,32,13,32,0.0,max,Min Best Case,True
36,96372106,3,10637331,4,60,0.0012011528015136719,0.0007309913635253906,27,50,23,50,27,50,23,50,0.0,max,Min Best Case,True
37,96372106,3,10637332,4,60,0.0005159378051757812,0.0005424022674560547,20,38,18,38,20,38,18,38,0.0,max,Min Best Case,True
38,96372106,3,10637333,4,60,0.0026123523712158203,0.0007414817810058594,32,50,18,50,32,50,18,50,0.0,max,Min Best Case,True
39,96372106,3,10637334,4,60,0.0006587505340576172,0.0007207393646240234,24,55,31,55,24,55,31,55,0.0,max,Min Best Case,True
40,96372106,3,10637335,4,60,0.0002598762512207031,0.0003349781036376953,13,19,6,19,13,19,6,19,0.0,max,Min Best Case,True
41,96372106,3,10637336,4,60,0.14749717712402344,0.0009348392486572266,39,68,29,68,39,68,29,68,0.0,max,Min Best Case,True
42,96372106,3,10637337,4,60,0.06211256980895996,0.0008833408355712891,26,48,22,48,26,48,22,48,0.0,max,Min Best Case,True
43,96372106,3,10637338,4,60,0.005414247512817383,0.0010972023010253906,40,83,43,83,40,83,43,83,0.0,max,Min Best Case,True
44,96372106,3,10637339,4,60,0.11777400970458984,0.0009396076202392578,28,49,21,49,28,49,21,49,0.0,max,Min Best Case,True
45,96372106,3,10637340,4,60,0.000713348388671875,0.0007460117340087891,26,56,30,56,26,56,30,56,0.0,max,Min Best Case,True
46,96372106,3,10637341,4,60,0.0006239414215087891,0.0007643699645996094,25,53,28,53,25,53,28,53,0.0,max,Min Best Case,True
47,96372106,3,10637342,4,60,0.4087674617767334,0.0010440349578857422,29,47,18,47,29,47,18,47,0.0,max,Min Best Case,True
48,96372106,3,10637343,4,60,0.0004944801330566406,0.0005786418914794922,23,42,19,42,23,42,19,42,0.0,max,Min Best Case,True
49,96372106,3,10637344,4,60,0.000614166259765625,0.0006647109985351562,22,44,22,44,22,44,22,44,0.0,max,Min Best Case,True
50,96372106,3,10637345,4,60,0.002424478530883789,0.0008823871612548828,41,80,39,80,41,80,39,80,0.0,max,Min Best Case,True
