Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,initial time,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Distribution,Objective,Communication
1,96372106,3,10637296,4,60,0.008437871932983398,0.005292654037475586,38,72,34,38,38,43,5,38,0.5,min,Min Worst Case,True
2,96372106,3,10637297,4,60,0.0005865097045898438,0.002275705337524414,26,43,17,26,26,29,3,26,0.5,min,Min Worst Case,True
3,96372106,3,10637298,4,60,0.027370691299438477,0.032810211181640625,45,83,38,45,45,45,0,45,0.5,min,Min Worst Case,True
4,96372106,3,10637299,4,60,0.1353461742401123,0.0038712024688720703,36,72,36,36,31,44,13,31,0.5,min,Min Worst Case,True
5,96372106,3,10637300,4,60,0.009704351425170898,0.0062525272369384766,38,70,32,38,38,46,8,38,0.5,min,Min Worst Case,True
6,96372106,3,10637301,4,60,0.013889789581298828,0.006161689758300781,41,73,32,41,37,37,0,37,0.5,min,Min Worst Case,True
7,96372106,3,10637302,4,60,0.01756453514099121,0.01281881332397461,36,81,45,36,36,36,0,36,0.5,min,Min Worst Case,True
8,96372106,3,10637303,4,60,0.0006778240203857422,0.0037689208984375,31,55,24,31,31,36,5,31,0.5,min,Min Worst Case,True
9,96372106,3,10637304,4,60,0.0018024444580078125,0.003939390182495117,29,60,31,29,29,42,13,29,0.5,min,Min Worst Case,True
10,96372106,3,10637305,4,60,0.10343694686889648,0.03359031677246094,44,78,34,44,38,46,8,38,0.5,min,Min Worst Case,True
11,96372106,3,10637306,4,60,0.0004792213439941406,0.0016016960144042969,14,30,16,14,14,24,10,14,0.5,min,Min Worst Case,True
12,96372106,3,10637307,4,60,0.005391597747802734,0.0025815963745117188,38,67,29,38,37,45,8,37,0.5,min,Min Worst Case,True
13,96372106,3,10637308,4,60,0.004838705062866211,0.004870891571044922,35,75,40,35,35,38,3,35,0.5,min,Min Worst Case,True
14,96372106,3,10637309,4,60,0.009824752807617188,0.003492116928100586,34,64,30,34,28,35,7,28,0.5,min,Min Worst Case,True
15,96372106,3,10637310,4,60,0.10902070999145508,0.025523900985717773,45,73,28,45,44,45,1,44,0.5,min,Min Worst Case,True
16,96372106,3,10637311,4,60,0.0058324337005615234,0.009523868560791016,26,59,33,26,25,35,10,25,0.5,min,Min Worst Case,True
17,96372106,3,10637312,4,60,0.0012774467468261719,0.0023903846740722656,27,45,18,27,27,31,4,27,0.5,min,Min Worst Case,True
18,96372106,3,10637313,4,60,3.7323381900787354,0.06772780418395996,51,88,37,51,47,47,0,47,0.5,min,Min Worst Case,True
19,96372106,3,10637314,4,60,0.2953341007232666,0.014632701873779297,41,71,30,41,38,41,3,38,0.5,min,Min Worst Case,True
20,96372106,3,10637315,4,60,0.007968425750732422,0.01210474967956543,28,48,20,28,27,37,10,27,0.5,min,Min Worst Case,True
21,96372106,3,10637316,4,60,0.30512237548828125,0.0047454833984375,33,61,28,33,29,30,1,29,0.5,min,Min Worst Case,True
22,96372106,3,10637317,4,60,0.011150598526000977,0.0028769969940185547,33,68,35,33,32,43,11,32,0.5,min,Min Worst Case,True
23,96372106,3,10637318,4,60,0.04058241844177246,0.006273508071899414,35,72,37,35,31,31,0,31,0.5,min,Min Worst Case,True
24,96372106,3,10637319,4,60,0.0007016658782958984,0.0030748844146728516,26,56,30,26,26,31,5,26,0.5,min,Min Worst Case,True
25,96372106,3,10637320,4,60,0.0004410743713378906,0.00200653076171875,22,41,19,22,22,25,3,22,0.5,min,Min Worst Case,True
26,96372106,3,10637321,4,60,0.0006210803985595703,0.0018944740295410156,26,53,27,26,26,26,0,26,0.5,min,Min Worst Case,True
27,96372106,3,10637322,4,60,0.0011093616485595703,0.0027632713317871094,24,54,30,24,24,27,3,24,0.5,min,Min Worst Case,True
28,96372106,3,10637323,4,60,0.1275341510772705,0.01305532455444336,38,62,24,38,38,42,4,38,0.5,min,Min Worst Case,True
29,96372106,3,10637324,4,60,0.0007736682891845703,0.0035829544067382812,27,51,24,27,27,27,0,27,0.5,min,Min Worst Case,True
30,96372106,3,10637325,4,60,0.0017902851104736328,0.002742290496826172,23,46,23,23,22,27,5,22,0.5,min,Min Worst Case,True
31,96372106,3,10637326,4,60,0.12546420097351074,0.02356266975402832,50,68,18,50,40,48,8,40,0.5,min,Min Worst Case,True
32,96372106,3,10637327,4,60,0.006989240646362305,0.008143424987792969,26,57,31,26,26,29,3,26,0.5,min,Min Worst Case,True
33,96372106,3,10637328,4,60,0.0021233558654785156,0.0026645660400390625,32,60,28,32,32,41,9,32,0.5,min,Min Worst Case,True
34,96372106,3,10637329,4,60,0.0007421970367431641,0.006165742874145508,33,58,25,33,33,33,0,33,0.5,min,Min Worst Case,True
35,96372106,3,10637330,4,60,0.0003745555877685547,0.002580404281616211,19,32,13,19,19,19,0,19,0.5,min,Min Worst Case,True
36,96372106,3,10637331,4,60,0.0011589527130126953,0.0036132335662841797,27,50,23,27,26,37,11,26,0.5,min,Min Worst Case,True
37,96372106,3,10637332,4,60,0.00048732757568359375,0.0027120113372802734,20,38,18,20,20,33,13,20,0.5,min,Min Worst Case,True
38,96372106,3,10637333,4,60,0.0027778148651123047,0.00970149040222168,32,50,18,32,32,32,0,32,0.5,min,Min Worst Case,True
39,96372106,3,10637334,4,60,0.0007038116455078125,0.004346609115600586,24,55,31,24,24,29,5,24,0.5,min,Min Worst Case,True
40,96372106,3,10637335,4,60,0.0002357959747314453,0.0013976097106933594,13,19,6,13,13,19,6,13,0.5,min,Min Worst Case,True
41,96372106,3,10637336,4,60,0.0202028751373291,0.011008739471435547,43,73,30,43,39,43,4,39,0.5,min,Min Worst Case,True
42,96372106,3,10637337,4,60,0.028339385986328125,0.004822492599487305,26,48,22,26,26,26,0,26,0.5,min,Min Worst Case,True
43,96372106,3,10637338,4,60,0.005057096481323242,0.020096540451049805,42,80,38,42,42,47,5,42,0.5,min,Min Worst Case,True
44,96372106,3,10637339,4,60,0.09786176681518555,0.0169374942779541,28,47,19,28,27,32,5,27,0.5,min,Min Worst Case,True
45,96372106,3,10637340,4,60,0.0006000995635986328,0.004273891448974609,26,56,30,26,26,30,4,26,0.5,min,Min Worst Case,True
46,96372106,3,10637341,4,60,0.0005924701690673828,0.0037391185760498047,25,53,28,25,25,25,0,25,0.5,min,Min Worst Case,True
47,96372106,3,10637342,4,60,0.0290987491607666,0.039464473724365234,29,47,18,29,29,38,9,29,0.5,min,Min Worst Case,True
48,96372106,3,10637343,4,60,0.0005042552947998047,0.002969980239868164,23,42,19,23,23,23,0,23,0.5,min,Min Worst Case,True
49,96372106,3,10637344,4,60,0.0005507469177246094,0.0037162303924560547,22,44,22,22,22,22,0,22,0.5,min,Min Worst Case,True
50,96372106,3,10637345,4,60,0.002499818801879883,0.007077455520629883,41,80,39,41,41,48,7,41,0.5,min,Min Worst Case,True
