Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,initial time,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Distribution,Communication
1,96372106,4,10637296,4,60,0.0667870044708252,0.000997781753540039,45,83,38,61,45,83,38,61,0.0,uniform,True
2,96372106,4,10637297,4,60,0.007978439331054688,0.000997304916381836,34,51,17,42,34,51,17,42,0.0,uniform,True
3,96372106,4,10637298,4,60,0.5539557933807373,0.0020112991333007812,49,102,53,84,49,102,53,84,0.0,uniform,True
4,96372106,4,10637299,4,60,0.5445427894592285,0.001991748809814453,41,86,45,67,41,86,45,67,0.0,uniform,True
5,96372106,4,10637300,4,60,24.693984031677246,0.0029914379119873047,58,105,47,76,58,105,47,76,0.0,uniform,True
6,96372106,4,10637301,4,60,0.10176610946655273,0.001993894577026367,48,86,38,74,48,86,38,74,0.0,uniform,True
7,96372106,4,10637302,4,60,2.2918331623077393,0.0019943714141845703,55,111,56,85,55,111,56,85,0.0,uniform,True
8,96372106,4,10637303,4,60,0.0009980201721191406,0.0009970664978027344,38,72,34,63,38,72,34,63,0.0,uniform,True
9,96372106,4,10637304,4,60,0.024899959564208984,0.0019948482513427734,34,70,36,49,34,70,36,49,0.0,uniform,True
10,96372106,4,10637305,4,60,3.702160596847534,0.0019948482513427734,47,83,36,65,47,83,36,65,0.0,uniform,True
11,96372106,4,10637306,4,60,0.018007993698120117,0.0019943714141845703,27,66,39,45,27,66,39,45,0.0,uniform,True
12,96372106,4,10637307,4,60,0.30422258377075195,0.0019943714141845703,55,99,44,80,55,99,44,80,0.0,uniform,True
13,96372106,4,10637308,4,60,0.04683852195739746,0.0019953250885009766,48,96,48,71,48,96,48,71,0.0,uniform,True
14,96372106,4,10637309,4,60,2.941091775894165,0.004986286163330078,41,86,45,62,41,86,45,62,0.0,uniform,True
15,96372106,4,10637310,4,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,uniform,True
16,96372106,4,10637311,4,60,0.08477377891540527,0.002991199493408203,39,82,43,64,39,82,43,64,0.0,uniform,True
17,96372106,4,10637312,4,60,0.010970592498779297,0.001993894577026367,40,69,29,51,40,69,29,51,0.0,uniform,True
18,96372106,4,10637313,4,60,96.96600294113159,0.005013942718505859,53,100,47,70,53,100,47,70,0.0,uniform,True
19,96372106,4,10637314,4,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,uniform,True
20,96372106,4,10637315,4,60,0.15059852600097656,0.0020198822021484375,45,87,42,70,45,87,42,70,0.0,uniform,True
21,96372106,4,10637316,4,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,uniform,True
22,96372106,4,10637317,4,60,0.05585336685180664,0.0019943714141845703,32,66,34,46,32,66,34,46,0.0,uniform,True
23,96372106,4,10637318,4,60,0.1365816593170166,0.003989458084106445,41,71,30,48,41,71,30,48,0.0,uniform,True
