Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,initial time,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Distribution,Objective,Communication
1,96372106,5,10637296,1,60,0.0043599605560302734,0.0021088123321533203,35,49,14,40,35,49,14,40,0.0,uniform,Min Worst Case,True
2,96372106,5,10637297,1,60,0.001329660415649414,0.0014948844909667969,25,31,6,29,25,31,6,29,0.0,uniform,Min Worst Case,True
3,96372106,5,10637298,1,60,0.00683140754699707,0.002080678939819336,38,43,5,42,38,43,5,42,0.0,uniform,Min Worst Case,True
4,96372106,5,10637299,1,60,0.05537605285644531,0.0023415088653564453,39,47,8,42,39,47,8,42,0.0,uniform,Min Worst Case,True
5,96372106,5,10637300,1,60,0.1134026050567627,0.002355813980102539,46,53,7,48,46,53,7,48,0.0,uniform,Min Worst Case,True
6,96372106,5,10637301,1,60,0.0059926509857177734,0.0024764537811279297,30,44,14,37,30,44,14,37,0.0,uniform,Min Worst Case,True
7,96372106,5,10637302,1,60,0.015590906143188477,0.002467632293701172,48,67,19,56,48,67,19,56,0.0,uniform,Min Worst Case,True
8,96372106,5,10637303,1,60,0.00142669677734375,0.0014607906341552734,28,39,11,29,28,39,11,29,0.0,uniform,Min Worst Case,True
9,96372106,5,10637304,1,60,0.006725788116455078,0.0017910003662109375,28,38,10,32,28,38,10,32,0.0,uniform,Min Worst Case,True
10,96372106,5,10637305,1,60,0.08912920951843262,0.0018095970153808594,35,44,9,39,35,44,9,39,0.0,uniform,Min Worst Case,True
11,96372106,5,10637306,1,60,0.004935264587402344,0.0026693344116210938,32,49,17,45,32,49,17,45,0.0,uniform,Min Worst Case,True
12,96372106,5,10637307,1,60,0.026391983032226562,0.002168416976928711,34,48,14,42,34,48,14,42,0.0,uniform,Min Worst Case,True
13,96372106,5,10637308,1,60,0.013411521911621094,0.002048969268798828,35,46,11,42,35,46,11,42,0.0,uniform,Min Worst Case,True
14,96372106,5,10637309,1,60,0.010153532028198242,0.0020360946655273438,30,44,14,35,30,44,14,35,0.0,uniform,Min Worst Case,True
15,96372106,5,10637310,1,60,0.11658239364624023,0.0026497840881347656,42,55,13,49,42,55,13,49,0.0,uniform,Min Worst Case,True
16,96372106,5,10637311,1,60,0.0015869140625,0.0017235279083251953,31,42,11,37,31,42,11,37,0.0,uniform,Min Worst Case,True
17,96372106,5,10637312,1,60,0.010726451873779297,0.0017828941345214844,27,34,7,31,27,34,7,31,0.0,uniform,Min Worst Case,True
18,96372106,5,10637313,1,60,0.021774768829345703,0.002336740493774414,37,47,10,40,37,47,10,40,0.0,uniform,Min Worst Case,True
19,96372106,5,10637314,1,60,0.03613424301147461,0.0018458366394042969,36,44,8,40,36,44,8,40,0.0,uniform,Min Worst Case,True
20,96372106,5,10637315,1,60,0.002913236618041992,0.002283334732055664,36,53,17,44,36,53,17,44,0.0,uniform,Min Worst Case,True
21,96372106,5,10637316,1,60,0.03697562217712402,0.002206563949584961,43,63,20,55,43,63,20,55,0.0,uniform,Min Worst Case,True
22,96372106,5,10637317,1,60,0.0043697357177734375,0.0018956661224365234,30,39,9,36,30,39,9,36,0.0,uniform,Min Worst Case,True
23,96372106,5,10637318,1,60,0.0034935474395751953,0.0018229484558105469,26,34,8,31,26,34,8,31,0.0,uniform,Min Worst Case,True
24,96372106,5,10637319,1,60,0.026293039321899414,0.002279520034790039,40,52,12,48,40,52,12,48,0.0,uniform,Min Worst Case,True
25,96372106,5,10637320,1,60,0.00506281852722168,0.0017294883728027344,26,34,8,29,26,34,8,29,0.0,uniform,Min Worst Case,True
26,96372106,5,10637321,1,60,0.0012829303741455078,0.0013866424560546875,25,33,8,27,25,33,8,27,0.0,uniform,Min Worst Case,True
27,96372106,5,10637322,1,60,0.037215232849121094,0.0021619796752929688,30,38,8,33,30,38,8,33,0.0,uniform,Min Worst Case,True
28,96372106,5,10637323,1,60,0.005142927169799805,0.002783536911010742,33,44,11,38,33,44,11,38,0.0,uniform,Min Worst Case,True
29,96372106,5,10637324,1,60,0.0014252662658691406,0.0016129016876220703,27,36,9,33,27,36,9,33,0.0,uniform,Min Worst Case,True
30,96372106,5,10637325,1,60,0.004384756088256836,0.001829385757446289,24,36,12,31,24,36,12,31,0.0,uniform,Min Worst Case,True
31,96372106,5,10637326,1,60,0.0369720458984375,0.002229928970336914,38,49,11,46,38,49,11,46,0.0,uniform,Min Worst Case,True
32,96372106,5,10637327,1,60,0.028668880462646484,0.002039194107055664,35,47,12,40,35,47,12,40,0.0,uniform,Min Worst Case,True
33,96372106,5,10637328,1,60,0.009000539779663086,0.0018854141235351562,39,52,13,45,39,52,13,45,0.0,uniform,Min Worst Case,True
34,96372106,5,10637329,1,60,0.04586195945739746,0.0024034976959228516,35,46,11,41,35,46,11,41,0.0,uniform,Min Worst Case,True
35,96372106,5,10637330,1,60,0.0015254020690917969,0.0016319751739501953,24,32,8,28,24,32,8,28,0.0,uniform,Min Worst Case,True
36,96372106,5,10637331,1,60,0.012599468231201172,0.001775979995727539,24,33,9,28,24,33,9,28,0.0,uniform,Min Worst Case,True
