Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,initial time,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Distribution,Objective,Communication,Min SIC,Max SIC
1,96372106,5,10637296,4,60,0.027147293090820312,0.006987333297729492,63,98,35,98,98,98,0,98,1.0,max,Min Worst Case,False,54,114
2,96372106,5,10637297,4,60,0.0012526512145996094,0.006020545959472656,44,74,30,74,74,74,0,74,1.0,max,Min Worst Case,False,43,76
3,96372106,5,10637298,4,60,0.028508663177490234,0.009971857070922852,59,114,55,114,114,114,0,114,1.0,max,Min Worst Case,False,54,119
4,96372106,5,10637299,4,60,3.138852834701538,0.008991479873657227,67,108,41,108,107,107,0,107,1.0,max,Min Worst Case,False,49,115
5,96372106,5,10637300,4,60,2.5767431259155273,0.011977672576904297,89,125,36,125,120,120,0,120,1.0,max,Min Worst Case,False,60,132
6,96372106,5,10637301,4,60,0.01551198959350586,0.009009361267089844,53,91,38,91,90,90,0,90,1.0,max,Min Worst Case,False,49,88
7,96372106,5,10637302,4,60,3.264535427093506,0.009972572326660156,91,140,49,140,137,137,0,137,1.0,max,Min Worst Case,False,65,150
8,96372106,5,10637303,4,60,0.014958858489990234,0.007979154586791992,50,90,40,90,90,90,0,90,1.0,max,Min Worst Case,False,49,87
9,96372106,5,10637304,4,60,0.15320086479187012,0.008976459503173828,52,87,35,87,87,87,0,87,1.0,max,Min Worst Case,False,42,87
10,96372106,5,10637305,4,60,0.5358455181121826,0.0070154666900634766,59,95,36,95,95,95,0,95,1.0,max,Min Worst Case,False,50,102
11,96372106,5,10637306,4,60,0.015822649002075195,0.00901174545288086,47,99,52,99,99,99,0,99,1.0,max,Min Worst Case,False,44,96
12,96372106,5,10637307,4,60,0.02585434913635254,0.00797891616821289,58,100,42,100,99,99,0,99,1.0,max,Min Worst Case,False,54,104
13,96372106,5,10637308,4,60,0.034290313720703125,0.01196742057800293,62,110,48,110,107,107,0,107,1.0,max,Min Worst Case,False,52,99
14,96372106,5,10637309,4,60,1.7093324661254883,0.010985612869262695,62,102,40,102,96,96,0,96,1.0,max,Min Worst Case,False,43,100
15,96372106,5,10637310,4,60,1.3940186500549316,0.008984804153442383,76,123,47,123,123,123,0,123,1.0,max,Min Worst Case,False,64,129
16,96372106,5,10637311,4,60,0.031059741973876953,0.0069811344146728516,57,86,29,86,86,86,0,86,1.0,max,Min Worst Case,False,47,105
17,96372106,5,10637312,4,60,0.16023635864257812,0.004985809326171875,47,76,29,76,76,76,0,76,1.0,max,Min Worst Case,False,41,76
18,96372106,5,10637313,4,60,3.771735668182373,0.010970592498779297,67,119,52,119,118,118,0,118,1.0,max,Min Worst Case,False,56,121
19,96372106,5,10637314,4,60,0.38517332077026367,0.007982254028320312,61,91,30,91,89,89,0,89,1.0,max,Min Worst Case,False,46,115
20,96372106,5,10637315,4,60,0.030654191970825195,0.011967897415161133,67,110,43,110,108,108,0,108,1.0,max,Min Worst Case,False,55,116
21,96372106,5,10637316,4,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,max,Min Worst Case,False,-1,-1
