Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,initial time,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Distribution,Objective,Communication
1,96372106,6,10637296,1,60,0.0028035640716552734,0.011373758316040039,37,52,15,42,44,47,3,44,0.5,uniform,Min Best Case,True
2,96372106,6,10637297,1,60,0.015469789505004883,0.010149002075195312,35,46,11,42,42,42,0,42,0.5,uniform,Min Best Case,True
3,96372106,6,10637298,1,60,0.03931236267089844,0.02406001091003418,41,50,9,43,43,45,2,43,0.5,uniform,Min Best Case,True
4,96372106,6,10637299,1,60,2.0247325897216797,0.029987812042236328,45,65,20,53,51,52,1,52,0.5,uniform,Min Best Case,True
5,96372106,6,10637300,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,uniform,Min Best Case,True
6,96372106,6,10637301,1,60,0.022906064987182617,0.03594040870666504,32,46,14,41,40,41,1,40,0.5,uniform,Min Best Case,True
7,96372106,6,10637302,1,60,0.17584609985351562,0.044979095458984375,50,73,23,61,62,65,3,62,0.5,uniform,Min Best Case,True
8,96372106,6,10637303,1,60,0.005782127380371094,0.004914999008178711,32,45,13,38,35,38,3,37,0.5,uniform,Min Best Case,True
9,96372106,6,10637304,1,60,0.004569530487060547,0.007454395294189453,32,46,14,38,35,40,5,38,0.5,uniform,Min Best Case,True
10,96372106,6,10637305,1,60,0.09832143783569336,0.010842561721801758,40,53,13,45,42,47,5,45,0.5,uniform,Min Best Case,True
11,96372106,6,10637306,1,60,0.03489971160888672,0.030757427215576172,39,52,13,44,43,48,5,44,0.5,uniform,Min Best Case,True
12,96372106,6,10637307,1,60,0.048105716705322266,0.01241302490234375,44,63,19,53,53,56,3,53,0.5,uniform,Min Best Case,True
13,96372106,6,10637308,1,60,0.028188228607177734,0.0077707767486572266,44,55,11,50,47,50,3,49,0.5,uniform,Min Best Case,True
14,96372106,6,10637309,1,60,0.018737077713012695,0.020123720169067383,33,47,14,37,39,41,2,40,0.5,uniform,Min Best Case,True
15,96372106,6,10637310,1,60,2.8171980381011963,0.011740922927856445,50,70,20,62,56,61,5,59,0.5,uniform,Min Best Case,True
16,96372106,6,10637311,1,60,0.0021810531616210938,0.00739598274230957,42,56,14,50,47,52,5,50,0.5,uniform,Min Best Case,True
17,96372106,6,10637312,1,60,0.007080793380737305,0.01831364631652832,33,44,11,38,37,38,1,38,0.5,uniform,Min Best Case,True
18,96372106,6,10637313,1,60,0.054146766662597656,0.03663778305053711,42,55,13,48,48,49,1,48,0.5,uniform,Min Best Case,True
19,96372106,6,10637314,1,60,16.37461757659912,0.04943585395812988,45,62,17,55,52,55,3,54,0.5,uniform,Min Best Case,True
20,96372106,6,10637315,1,60,0.004896640777587891,0.02022695541381836,46,65,19,55,52,56,4,54,0.5,uniform,Min Best Case,True
21,96372106,6,10637316,1,60,0.4615616798400879,0.4093804359436035,51,74,23,62,61,63,2,63,0.5,uniform,Min Best Case,True
22,96372106,6,10637317,1,60,0.004582881927490234,0.008924722671508789,38,54,16,45,44,45,1,45,0.5,uniform,Min Best Case,True
23,96372106,6,10637318,1,60,0.004763126373291016,0.005505561828613281,27,37,10,35,31,34,3,34,0.5,uniform,Min Best Case,True
24,96372106,6,10637319,1,60,46.25294232368469,0.03436470031738281,51,67,16,61,62,63,1,63,0.5,uniform,Min Best Case,True
25,96372106,6,10637320,1,60,0.0030083656311035156,0.004248619079589844,30,39,9,34,33,37,4,34,0.5,uniform,Min Best Case,True
26,96372106,6,10637321,1,60,0.007682323455810547,0.006903648376464844,32,44,12,39,34,39,5,37,0.5,uniform,Min Best Case,True
27,96372106,6,10637322,1,60,0.016719579696655273,0.007980108261108398,38,48,10,45,45,46,1,45,0.5,uniform,Min Best Case,True
28,96372106,6,10637323,1,60,0.0040378570556640625,0.012786149978637695,37,49,12,44,43,44,1,44,0.5,uniform,Min Best Case,True
29,96372106,6,10637324,1,60,0.0021703243255615234,0.0062389373779296875,35,45,10,41,42,43,1,43,0.5,uniform,Min Best Case,True
30,96372106,6,10637325,1,60,0.01055145263671875,0.005146503448486328,34,49,15,39,37,43,6,39,0.5,uniform,Min Best Case,True
31,96372106,6,10637326,1,60,0.027945280075073242,0.04006195068359375,48,63,15,55,53,55,2,55,0.5,uniform,Min Best Case,True
