Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Distribution,Communication
1,96372106,6,10637296,2,60,0.05441904067993164,44,65,21,65,57,65,8,65,0.25,uniform,False
2,96372106,6,10637297,2,60,3.6127989292144775,43,63,20,63,53,63,10,63,0.25,uniform,False
3,96372106,6,10637298,2,60,2.231849431991577,50,72,22,72,66,72,6,72,0.25,uniform,False
4,96372106,6,10637299,2,60,1.611041784286499,56,81,25,81,73,79,6,79,0.25,uniform,False
5,96372106,6,10637300,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.25,uniform,False
6,96372106,6,10637301,2,60,0.29906153678894043,41,62,21,62,56,62,6,62,0.25,uniform,False
7,96372106,6,10637302,2,60,1.5399372577667236,67,93,26,93,85,92,7,92,0.25,uniform,False
8,96372106,6,10637303,2,60,0.015106678009033203,33,59,26,59,56,59,3,59,0.25,uniform,False
9,96372106,6,10637304,2,60,0.19587922096252441,43,63,20,63,56,63,7,63,0.25,uniform,False
10,96372106,6,10637305,2,60,0.7494819164276123,50,71,21,71,63,71,8,71,0.25,uniform,False
11,96372106,6,10637306,2,60,1.1135928630828857,52,78,26,78,69,78,9,78,0.25,uniform,False
12,96372106,6,10637307,2,60,5.326703071594238,61,88,27,88,72,87,15,87,0.25,uniform,False
13,96372106,6,10637308,2,60,2.2036335468292236,52,80,28,80,65,76,11,76,0.25,uniform,False
14,96372106,6,10637309,2,60,0.25908780097961426,45,61,16,61,53,61,8,61,0.25,uniform,False
15,96372106,6,10637310,2,60,17.780210733413696,65,96,31,96,87,94,7,94,0.25,uniform,False
16,96372106,6,10637311,2,60,0.019487857818603516,47,75,28,75,62,75,13,75,0.25,uniform,False
17,96372106,6,10637312,2,60,0.11214876174926758,35,60,25,60,50,60,10,60,0.25,uniform,False
18,96372106,6,10637313,2,60,4.566396474838257,52,78,26,78,69,78,9,78,0.25,uniform,False
19,96372106,6,10637314,2,60,2.9711577892303467,59,83,24,83,67,82,15,82,0.25,uniform,False
20,96372106,6,10637315,2,60,0.17615175247192383,53,91,38,91,70,91,21,91,0.25,uniform,False
21,96372106,6,10637316,2,60,7.98178505897522,65,92,27,92,81,92,11,92,0.25,uniform,False
22,96372106,6,10637317,2,60,0.05562162399291992,46,68,22,68,60,68,8,68,0.25,uniform,False
23,96372106,6,10637318,2,60,0.05872654914855957,33,51,18,51,37,51,14,51,0.25,uniform,False
24,96372106,6,10637319,2,60,19.39504075050354,59,93,34,93,79,92,13,92,0.25,uniform,False
25,96372106,6,10637320,2,60,0.09292364120483398,34,53,19,53,44,53,9,53,0.25,uniform,False
26,96372106,6,10637321,2,60,0.1581428050994873,39,58,19,58,50,57,7,57,0.25,uniform,False
27,96372106,6,10637322,2,60,0.4341139793395996,42,67,25,67,58,66,8,66,0.25,uniform,False
28,96372106,6,10637323,2,60,0.7327468395233154,44,70,26,70,67,70,3,70,0.25,uniform,False
29,96372106,6,10637324,2,60,0.28472423553466797,40,58,18,58,49,58,9,58,0.25,uniform,False
30,96372106,6,10637325,2,60,0.1246333122253418,41,63,22,63,55,62,7,62,0.25,uniform,False
31,96372106,6,10637326,2,60,2.6180546283721924,58,87,29,87,80,87,7,87,0.25,uniform,False
32,96372106,6,10637327,2,60,0.08345508575439453,47,75,28,75,65,75,10,75,0.25,uniform,False
33,96372106,6,10637328,2,60,0.1816411018371582,57,82,25,82,73,82,9,82,0.25,uniform,False
34,96372106,6,10637329,2,60,0.29065370559692383,54,76,22,76,70,76,6,76,0.25,uniform,False
35,96372106,6,10637330,2,60,0.0550532341003418,40,69,29,69,65,69,4,69,0.25,uniform,False
36,96372106,6,10637331,2,60,0.6442973613739014,33,53,20,53,45,53,8,53,0.25,uniform,False
37,96372106,6,10637332,2,60,0.5990962982177734,40,59,19,59,54,58,4,58,0.25,uniform,False
38,96372106,6,10637333,2,60,13.938016891479492,52,69,17,69,57,69,12,69,0.25,uniform,False
39,96372106,6,10637334,2,60,0.05912160873413086,50,75,25,75,63,75,12,75,0.25,uniform,False
40,96372106,6,10637335,2,60,0.03293013572692871,27,39,12,39,36,39,3,39,0.25,uniform,False
41,96372106,6,10637336,2,60,0.49869704246520996,64,101,37,101,83,100,17,100,0.25,uniform,False
42,96372106,6,10637337,2,60,0.17734313011169434,38,55,17,55,46,55,9,55,0.25,uniform,False
43,96372106,6,10637338,2,60,0.8948466777801514,52,74,22,74,66,74,8,74,0.25,uniform,False
44,96372106,6,10637339,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.25,uniform,False
45,96372106,6,10637340,2,60,0.29814720153808594,41,68,27,68,50,68,18,68,0.25,uniform,False
46,96372106,6,10637341,2,60,0.06470680236816406,39,65,26,65,51,65,14,65,0.25,uniform,False
47,96372106,6,10637342,2,60,0.23454761505126953,40,61,21,61,55,61,6,61,0.25,uniform,False
48,96372106,6,10637343,2,60,0.04526805877685547,36,57,21,57,50,57,7,57,0.25,uniform,False
49,96372106,6,10637344,2,60,2.070038318634033,42,65,23,65,52,65,13,65,0.25,uniform,False
50,96372106,6,10637345,2,60,0.33124709129333496,59,95,36,95,89,95,6,95,0.25,uniform,False
