Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,initial time,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Distribution,Communication
1,96372106,6,10637296,2,60,0.009010553359985352,0.05285477638244629,43,70,27,43,44,44,0,44,0.75,min,True
2,96372106,6,10637297,2,60,4.520276308059692,0.07480216026306152,42,64,22,42,43,43,0,43,0.75,min,True
3,96372106,6,10637298,2,60,1.632767677307129,0.11122941970825195,48,74,26,48,48,50,2,48,0.75,min,True
4,96372106,6,10637299,2,60,62.94720387458801,0.24733972549438477,54,79,25,54,54,55,1,54,0.75,min,True
5,96372106,6,10637300,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.75,min,True
6,96372106,6,10637301,2,60,0.3371241092681885,0.059838056564331055,40,62,22,40,39,42,3,39,0.75,min,True
7,96372106,6,10637302,2,60,34.694145917892456,0.2064659595489502,62,100,38,62,60,61,1,60,0.75,min,True
8,96372106,6,10637303,2,60,0.002019166946411133,0.014961004257202148,33,59,26,33,33,34,1,33,0.75,min,True
9,96372106,6,10637304,2,60,0.10376286506652832,0.021941423416137695,43,67,24,43,41,42,1,41,0.75,min,True
10,96372106,6,10637305,2,60,7.513899803161621,0.10372138023376465,50,71,21,50,48,52,4,48,0.75,min,True
11,96372106,6,10637306,2,60,0.4996638298034668,0.23836255073547363,45,78,33,45,43,43,0,43,0.75,min,True
12,96372106,6,10637307,2,60,92.05367159843445,0.7156074047088623,58,94,36,58,58,59,1,58,0.75,min,True
13,96372106,6,10637308,2,60,1.5468432903289795,0.14362192153930664,50,81,31,50,49,50,1,49,0.75,min,True
14,96372106,6,10637309,2,60,0.5714950561523438,0.07231330871582031,44,65,21,44,40,44,4,40,0.75,min,True
15,96372106,6,10637310,2,60,59.87484383583069,8.275315046310425,60,94,34,60,59,64,5,59,0.75,min,True
16,96372106,6,10637311,2,60,0.0019922256469726562,0.015911102294921875,47,75,28,47,47,49,2,47,0.75,min,True
17,96372106,6,10637312,2,60,0.1874990463256836,0.052858829498291016,35,60,25,35,36,37,1,36,0.75,min,True
18,96372106,6,10637313,2,60,3.1874375343322754,0.06134438514709473,52,78,26,52,50,51,1,50,0.75,min,True
19,96372106,6,10637314,2,60,53.362358808517456,5.85505485534668,53,87,34,53,52,56,4,52,0.75,min,True
20,96372106,6,10637315,2,60,0.05587959289550781,0.08480048179626465,51,91,40,51,53,55,2,53,0.75,min,True
21,96372106,6,10637316,2,60,12.58932089805603,3.22062611579895,64,94,30,64,66,66,0,66,0.75,min,True
22,96372106,6,10637317,2,60,0.031939029693603516,0.04088282585144043,46,68,22,46,46,50,4,46,0.75,min,True
23,96372106,6,10637318,2,60,0.03787374496459961,0.04188680648803711,33,57,24,33,32,35,3,32,0.75,min,True
24,96372106,6,10637319,2,60,1.5179598331451416,0.1376328468322754,55,98,43,55,57,61,4,57,0.75,min,True
25,96372106,6,10637320,2,60,0.03191423416137695,0.01495981216430664,34,53,19,34,34,38,4,34,0.75,min,True
26,96372106,6,10637321,2,60,0.2673356533050537,0.04188799858093262,39,61,22,39,38,39,1,38,0.75,min,True
27,96372106,6,10637322,2,60,0.039864301681518555,0.2697901725769043,42,67,25,42,41,41,0,41,0.75,min,True
28,96372106,6,10637323,2,60,0.05082511901855469,0.09474968910217285,44,70,26,44,45,46,1,45,0.75,min,True
29,96372106,6,10637324,2,60,0.10274863243103027,0.07081055641174316,40,58,18,40,40,40,0,40,0.75,min,True
30,96372106,6,10637325,2,60,0.06984949111938477,0.028922080993652344,41,63,22,41,41,44,3,41,0.75,min,True
31,96372106,6,10637326,2,60,13.89981484413147,0.5629420280456543,58,87,29,58,58,58,0,58,0.75,min,True
32,96372106,6,10637327,2,60,0.012965202331542969,0.07878994941711426,47,75,28,47,47,48,1,47,0.75,min,True
33,96372106,6,10637328,2,60,0.08680558204650879,0.06283354759216309,55,89,34,55,55,55,0,55,0.75,min,True
34,96372106,6,10637329,2,60,38.24767541885376,0.1057136058807373,53,81,28,53,52,52,0,52,0.75,min,True
35,96372106,6,10637330,2,60,0.014960050582885742,0.07285213470458984,40,69,29,40,41,42,1,41,0.75,min,True
36,96372106,6,10637331,2,60,0.04192042350769043,0.03789806365966797,33,53,20,33,32,34,2,32,0.75,min,True
