Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Distribution,Communication
1,96372106,6,10637296,4,60,0.3528294563293457,65,112,47,65,65,112,47,65,0.0,uniform,False
2,96372106,6,10637297,4,60,11.777471542358398,74,109,35,74,74,109,35,74,0.0,uniform,False
3,96372106,6,10637298,4,60,0.9439833164215088,62,118,56,62,62,118,56,62,0.0,uniform,False
4,96372106,6,10637299,4,60,37.54537773132324,86,144,58,86,86,144,58,86,0.0,uniform,False
5,96372106,6,10637300,4,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,uniform,False
6,96372106,6,10637301,4,60,0.3244354724884033,59,98,39,59,59,98,39,59,0.0,uniform,False
7,96372106,6,10637302,4,60,17.464781045913696,98,155,57,98,98,155,57,98,0.0,uniform,False
8,96372106,6,10637303,4,60,0.1449732780456543,58,99,41,58,58,99,41,58,0.0,uniform,False
9,96372106,6,10637304,4,60,1.0455114841461182,61,101,40,61,61,101,40,61,0.0,uniform,False
10,96372106,6,10637305,4,60,29.07729172706604,71,120,49,71,71,120,49,71,0.0,uniform,False
11,96372106,6,10637306,4,60,1.0926475524902344,62,118,56,62,62,118,56,62,0.0,uniform,False
12,96372106,6,10637307,4,60,6.429094076156616,85,128,43,85,85,128,43,85,0.0,uniform,False
13,96372106,6,10637308,4,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,uniform,False
14,96372106,6,10637309,4,60,31.774287223815918,54,104,50,54,54,104,50,54,0.0,uniform,False
15,96372106,6,10637310,4,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,uniform,False
16,96372106,6,10637311,4,60,0.2803168296813965,75,116,41,75,75,116,41,75,0.0,uniform,False
17,96372106,6,10637312,4,60,9.761280298233032,54,98,44,54,54,98,44,54,0.0,uniform,False
18,96372106,6,10637313,4,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,uniform,False
19,96372106,6,10637314,4,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,uniform,False
20,96372106,6,10637315,4,60,3.449484348297119,89,148,59,89,89,148,59,89,0.0,uniform,False
21,96372106,6,10637316,4,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,uniform,False
22,96372106,6,10637317,4,60,0.24236750602722168,61,105,44,61,61,105,44,61,0.0,uniform,False
23,96372106,6,10637318,4,60,2.9138760566711426,53,89,36,53,53,89,36,53,0.0,uniform,False
24,96372106,6,10637319,4,60,39.77422308921814,94,147,53,94,94,147,53,94,0.0,uniform,False
25,96372106,6,10637320,4,60,0.1131582260131836,51,95,44,51,51,95,44,51,0.0,uniform,False
26,96372106,6,10637321,4,60,2.6673238277435303,52,92,40,52,52,92,40,52,0.0,uniform,False
27,96372106,6,10637322,4,60,2.669462203979492,79,132,53,79,79,132,53,79,0.0,uniform,False
28,96372106,6,10637323,4,60,49.17061257362366,76,116,40,76,76,116,40,76,0.0,uniform,False
29,96372106,6,10637324,4,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,uniform,False
30,96372106,6,10637325,4,60,0.44939470291137695,57,96,39,57,57,96,39,57,0.0,uniform,False
31,96372106,6,10637326,4,60,1.1190712451934814,81,125,44,81,81,125,44,81,0.0,uniform,False
32,96372106,6,10637327,4,60,7.090127468109131,67,120,53,67,67,120,53,67,0.0,uniform,False
33,96372106,6,10637328,4,60,0.35831713676452637,78,124,46,78,78,124,46,78,0.0,uniform,False
34,96372106,6,10637329,4,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,uniform,False
35,96372106,6,10637330,4,60,0.08275651931762695,55,103,48,55,55,103,48,55,0.0,uniform,False
36,96372106,6,10637331,4,60,0.06978535652160645,41,76,35,41,41,76,35,41,0.0,uniform,False
37,96372106,6,10637332,4,60,3.3558168411254883,55,101,46,55,55,101,46,55,0.0,uniform,False
38,96372106,6,10637333,4,60,35.59675359725952,71,109,38,71,71,109,38,71,0.0,uniform,False
39,96372106,6,10637334,4,60,0.5520763397216797,72,115,43,72,72,115,43,72,0.0,uniform,False
40,96372106,6,10637335,4,60,0.3307185173034668,36,66,30,36,36,66,30,36,0.0,uniform,False
41,96372106,6,10637336,4,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,uniform,False
42,96372106,6,10637337,4,60,1.212573528289795,46,87,41,46,46,87,41,46,0.0,uniform,False
43,96372106,6,10637338,4,60,8.789103746414185,69,121,52,69,69,121,52,69,0.0,uniform,False
44,96372106,6,10637339,4,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,uniform,False
45,96372106,6,10637340,4,60,0.7089216709136963,66,102,36,66,66,102,36,66,0.0,uniform,False
46,96372106,6,10637341,4,60,0.9969744682312012,67,129,62,67,67,129,62,67,0.0,uniform,False
47,96372106,6,10637342,4,60,0.7349128723144531,56,93,37,56,56,93,37,56,0.0,uniform,False
48,96372106,6,10637343,4,60,24.097261905670166,68,100,32,68,68,100,32,68,0.0,uniform,False
49,96372106,6,10637344,4,60,28.84407353401184,64,105,41,64,64,105,41,64,0.0,uniform,False
50,96372106,6,10637345,4,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,uniform,False
