Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Distribution,Communication
1,96372106,6,10637296,4,60,0.3310716152191162,65,112,47,85,85,85,0,85,1.0,uniform,False
2,96372106,6,10637297,4,60,10.807178020477295,74,109,35,96,93,93,0,93,1.0,uniform,False
3,96372106,6,10637298,4,60,0.8334550857543945,62,118,56,90,90,90,0,90,1.0,uniform,False
4,96372106,6,10637299,4,60,34.56246614456177,86,144,58,112,107,107,0,107,1.0,uniform,False
5,96372106,6,10637300,4,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,uniform,False
6,96372106,6,10637301,4,60,0.3112223148345947,59,98,39,75,74,74,0,74,1.0,uniform,False
7,96372106,6,10637302,4,60,15.859665870666504,98,155,57,127,126,126,0,126,1.0,uniform,False
8,96372106,6,10637303,4,60,0.13816094398498535,58,99,41,75,75,75,0,75,1.0,uniform,False
9,96372106,6,10637304,4,60,0.9458713531494141,61,101,40,82,82,82,0,82,1.0,uniform,False
10,96372106,6,10637305,4,60,26.52861714363098,71,120,49,95,95,95,0,95,1.0,uniform,False
11,96372106,6,10637306,4,60,1.068291425704956,62,118,56,92,89,89,0,89,1.0,uniform,False
12,96372106,6,10637307,4,60,5.931003570556641,85,128,43,106,104,104,0,104,1.0,uniform,False
13,96372106,6,10637308,4,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,uniform,False
14,96372106,6,10637309,4,60,29.118940114974976,54,104,50,76,75,75,0,75,1.0,uniform,False
15,96372106,6,10637310,4,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,uniform,False
16,96372106,6,10637311,4,60,0.30388331413269043,75,116,41,103,103,103,0,103,1.0,uniform,False
17,96372106,6,10637312,4,60,8.971570014953613,54,98,44,72,72,72,0,72,1.0,uniform,False
18,96372106,6,10637313,4,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,uniform,False
19,96372106,6,10637314,4,60,59.85175800323486,80,127,47,109,106,106,0,106,1.0,uniform,False
20,96372106,6,10637315,4,60,3.0824053287506104,89,148,59,112,111,111,0,111,1.0,uniform,False
21,96372106,6,10637316,4,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,uniform,False
22,96372106,6,10637317,4,60,0.23012447357177734,61,105,44,79,79,79,0,79,1.0,uniform,False
23,96372106,6,10637318,4,60,2.7476351261138916,53,89,36,69,69,69,0,69,1.0,uniform,False
24,96372106,6,10637319,4,60,35.80115270614624,94,147,53,122,121,121,0,121,1.0,uniform,False
25,96372106,6,10637320,4,60,0.09633016586303711,51,95,44,78,78,78,0,78,1.0,uniform,False
26,96372106,6,10637321,4,60,2.3262128829956055,52,92,40,67,64,64,0,64,1.0,uniform,False
27,96372106,6,10637322,4,60,2.5087618827819824,79,132,53,109,108,108,0,108,1.0,uniform,False
28,96372106,6,10637323,4,60,43.66126871109009,76,116,40,97,96,96,0,96,1.0,uniform,False
29,96372106,6,10637324,4,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,uniform,False
30,96372106,6,10637325,4,60,0.4177873134613037,57,96,39,75,75,75,0,75,1.0,uniform,False
31,96372106,6,10637326,4,60,0.9696590900421143,81,125,44,106,106,106,0,106,1.0,uniform,False
32,96372106,6,10637327,4,60,6.187340974807739,67,120,53,101,101,101,0,101,1.0,uniform,False
33,96372106,6,10637328,4,60,0.34485316276550293,78,124,46,101,100,100,0,100,1.0,uniform,False
34,96372106,6,10637329,4,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,uniform,False
35,96372106,6,10637330,4,60,0.08279013633728027,55,103,48,77,77,77,0,77,1.0,uniform,False
36,96372106,6,10637331,4,60,0.06773209571838379,41,76,35,61,61,61,0,61,1.0,uniform,False
37,96372106,6,10637332,4,60,2.6821701526641846,55,101,46,87,87,87,0,87,1.0,uniform,False
38,96372106,6,10637333,4,60,32.41654968261719,71,109,38,86,85,85,0,85,1.0,uniform,False
39,96372106,6,10637334,4,60,0.48662424087524414,72,115,43,94,94,94,0,94,1.0,uniform,False
40,96372106,6,10637335,4,60,0.35124683380126953,36,66,30,50,50,50,0,50,1.0,uniform,False
41,96372106,6,10637336,4,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,uniform,False
42,96372106,6,10637337,4,60,1.099236249923706,46,87,41,61,60,60,0,60,1.0,uniform,False
43,96372106,6,10637338,4,60,7.803289175033569,69,121,52,91,91,91,0,91,1.0,uniform,False
44,96372106,6,10637339,4,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,uniform,False
45,96372106,6,10637340,4,60,0.6448757648468018,66,102,36,88,88,88,0,88,1.0,uniform,False
46,96372106,6,10637341,4,60,0.8443858623504639,67,129,62,92,92,92,0,92,1.0,uniform,False
47,96372106,6,10637342,4,60,0.6960046291351318,56,93,37,80,80,80,0,80,1.0,uniform,False
48,96372106,6,10637343,4,60,20.978147983551025,68,100,32,81,77,77,0,77,1.0,uniform,False
49,96372106,6,10637344,4,60,26.315727472305298,64,105,41,91,90,90,0,90,1.0,uniform,False
50,96372106,6,10637345,4,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,uniform,False
