Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,initial time,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Distribution,Objective,Communication
1,96372106,7,10637296,2,60,0.005768775939941406,0.0056078433990478516,49,80,31,61,59,65,6,61,0.5,uniform,Min Best Case,False
2,96372106,7,10637297,2,60,14.468498945236206,0.005730628967285156,54,75,21,62,62,65,3,62,0.5,uniform,Min Best Case,False
3,96372106,7,10637298,2,60,0.4629380702972412,0.005715131759643555,54,84,30,70,69,75,6,69,0.5,uniform,Min Best Case,False
4,96372106,7,10637299,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,uniform,Min Best Case,False
5,96372106,7,10637300,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,uniform,Min Best Case,False
6,96372106,7,10637301,2,60,0.0618891716003418,0.005887269973754883,43,69,26,59,56,65,9,59,0.5,uniform,Min Best Case,False
7,96372106,7,10637302,2,60,101.00250482559204,0.0077402591705322266,67,105,38,85,82,86,4,84,0.5,uniform,Min Best Case,False
8,96372106,7,10637303,2,60,0.011606454849243164,0.00563812255859375,46,79,33,64,62,65,3,62,0.5,uniform,Min Best Case,False
9,96372106,7,10637304,2,60,0.017868995666503906,0.00434422492980957,48,69,21,58,57,60,3,58,0.5,uniform,Min Best Case,False
10,96372106,7,10637305,2,60,27.11061954498291,0.0048334598541259766,55,83,28,66,66,69,3,66,0.5,uniform,Min Best Case,False
11,96372106,7,10637306,2,60,3.714259147644043,0.007378578186035156,52,85,33,74,68,76,8,74,0.5,uniform,Min Best Case,False
12,96372106,7,10637307,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,uniform,Min Best Case,False
13,96372106,7,10637308,2,60,7.707302570343018,0.005316495895385742,63,104,41,84,81,83,2,82,0.5,uniform,Min Best Case,False
14,96372106,7,10637309,2,60,0.38394975662231445,0.005091428756713867,53,77,24,67,66,70,4,67,0.5,uniform,Min Best Case,False
15,96372106,7,10637310,2,60,4.830719947814941,0.007829904556274414,66,103,37,80,76,80,4,79,0.5,uniform,Min Best Case,False
16,96372106,7,10637311,2,60,0.004930257797241211,0.004639863967895508,55,85,30,69,66,77,11,69,0.5,uniform,Min Best Case,False
17,96372106,7,10637312,2,60,4.989988565444946,0.004701375961303711,42,68,26,54,50,59,9,54,0.5,uniform,Min Best Case,False
18,96372106,7,10637313,2,60,4.94213080406189,0.006230354309082031,61,95,34,73,69,74,5,70,0.5,uniform,Min Best Case,False
19,96372106,7,10637314,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,uniform,Min Best Case,False
20,96372106,7,10637315,2,60,41.032198667526245,0.008430719375610352,67,111,44,96,88,101,13,96,0.5,uniform,Min Best Case,False
21,96372106,7,10637316,2,60,33.78500485420227,0.006737470626831055,74,108,34,85,83,86,3,85,0.5,uniform,Min Best Case,False
22,96372106,7,10637317,2,60,0.07634663581848145,0.005977153778076172,59,88,29,74,73,74,1,74,0.5,uniform,Min Best Case,False
23,96372106,7,10637318,2,60,0.005166769027709961,0.004003763198852539,39,67,28,54,52,59,7,54,0.5,uniform,Min Best Case,False
24,96372106,7,10637319,2,60,269.35426473617554,0.007203340530395508,67,117,50,97,94,100,6,97,0.5,uniform,Min Best Case,False
25,96372106,7,10637320,2,60,0.00864267349243164,0.0032715797424316406,40,63,23,54,51,58,7,54,0.5,uniform,Min Best Case,False
26,96372106,7,10637321,2,60,0.1541156768798828,0.003577709197998047,46,74,28,58,48,60,12,57,0.5,uniform,Min Best Case,False
27,96372106,7,10637322,2,60,0.5245001316070557,0.007155656814575195,57,90,33,73,70,74,4,71,0.5,uniform,Min Best Case,False
28,96372106,7,10637323,2,60,0.1609327793121338,0.00823831558227539,57,90,33,73,71,74,3,73,0.5,uniform,Min Best Case,False
29,96372106,7,10637324,2,60,2.888847827911377,0.005425691604614258,47,67,20,56,55,56,1,55,0.5,uniform,Min Best Case,False
30,96372106,7,10637325,2,60,0.17803740501403809,0.004842996597290039,49,78,29,59,57,63,6,59,0.5,uniform,Min Best Case,False
31,96372106,7,10637326,2,60,92.4475450515747,0.006703615188598633,68,100,32,88,87,89,2,88,0.5,uniform,Min Best Case,False
32,96372106,7,10637327,2,60,0.003240346908569336,0.004093170166015625,50,80,30,62,59,64,5,62,0.5,uniform,Min Best Case,False
33,96372106,7,10637328,2,60,0.15290403366088867,0.004843235015869141,62,97,35,81,77,83,6,81,0.5,uniform,Min Best Case,False
34,96372106,7,10637329,2,60,10.29388952255249,0.006247043609619141,57,86,29,70,65,75,10,69,0.5,uniform,Min Best Case,False
35,96372106,7,10637330,2,60,0.1482558250427246,0.005811452865600586,54,91,37,74,72,75,3,74,0.5,uniform,Min Best Case,False
36,96372106,7,10637331,2,60,0.10865950584411621,0.0047206878662109375,42,70,28,57,54,62,8,57,0.5,uniform,Min Best Case,False
37,96372106,7,10637332,2,60,0.07798647880554199,0.003751993179321289,43,66,23,52,51,56,5,52,0.5,uniform,Min Best Case,False
38,96372106,7,10637333,2,60,2.5562586784362793,0.004611492156982422,48,75,27,59,55,62,7,58,0.5,uniform,Min Best Case,False
39,96372106,7,10637334,2,60,0.013280630111694336,0.004372119903564453,60,86,26,73,72,77,5,73,0.5,uniform,Min Best Case,False
40,96372106,7,10637335,2,60,0.02631664276123047,0.005648136138916016,42,69,27,57,57,57,0,57,0.5,uniform,Min Best Case,False
41,96372106,7,10637336,2,60,149.68462085723877,0.008380651473999023,71,115,44,98,95,98,3,98,0.5,uniform,Min Best Case,False
42,96372106,7,10637337,2,60,0.010319709777832031,0.0029959678649902344,39,58,19,46,46,48,2,46,0.5,uniform,Min Best Case,False
43,96372106,7,10637338,2,60,1.1669812202453613,0.007132530212402344,55,86,31,71,69,72,3,71,0.5,uniform,Min Best Case,False
44,96372106,7,10637339,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,uniform,Min Best Case,False
45,96372106,7,10637340,2,60,0.02360367774963379,0.0047299861907958984,49,76,27,64,62,66,4,64,0.5,uniform,Min Best Case,False
46,96372106,7,10637341,2,60,0.005311489105224609,0.005072116851806641,48,77,29,66,63,70,7,66,0.5,uniform,Min Best Case,False
47,96372106,7,10637342,2,60,0.04068589210510254,0.0048787593841552734,51,86,35,62,60,65,5,62,0.5,uniform,Min Best Case,False
48,96372106,7,10637343,2,60,0.002565145492553711,0.003495931625366211,37,58,21,47,44,50,6,47,0.5,uniform,Min Best Case,False
49,96372106,7,10637344,2,60,0.32843017578125,0.004199504852294922,46,73,27,62,57,66,9,62,0.5,uniform,Min Best Case,False
50,96372106,7,10637345,2,60,5.249575138092041,0.0074443817138671875,66,108,42,87,85,90,5,87,0.5,uniform,Min Best Case,False
