Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,initial time,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Distribution,Objective,Communication
1,96372106,8,10637296,2,60,0.03914952278137207,0.009083032608032227,54,90,36,90,90,90,0,90,1.0,max,Min Worst Case,False
2,96372106,8,10637297,2,60,0.17848634719848633,0.009916067123413086,73,98,25,98,98,98,0,98,1.0,max,Min Worst Case,False
3,96372106,8,10637298,2,60,20.778533220291138,0.008446455001831055,68,94,26,94,92,92,0,92,1.0,max,Min Worst Case,False
4,96372106,8,10637299,2,60,1.2001090049743652,0.01246953010559082,76,109,33,109,105,105,0,105,1.0,max,Min Worst Case,False
5,96372106,8,10637300,2,60,46.70344591140747,0.012947559356689453,86,118,32,118,115,115,0,115,1.0,max,Min Worst Case,False
6,96372106,8,10637301,2,60,0.21352553367614746,0.009792566299438477,55,87,32,87,86,86,0,86,1.0,max,Min Worst Case,False
7,96372106,8,10637302,2,60,4.762412786483765,0.01363825798034668,80,117,37,117,116,116,0,116,1.0,max,Min Worst Case,False
8,96372106,8,10637303,2,60,0.011715412139892578,0.007389545440673828,52,88,36,88,87,87,0,87,1.0,max,Min Worst Case,False
9,96372106,8,10637304,2,60,0.011643409729003906,0.005976676940917969,50,71,21,71,71,71,0,71,1.0,max,Min Worst Case,False
10,96372106,8,10637305,2,60,2.4399800300598145,0.008199214935302734,66,93,27,93,92,92,0,92,1.0,max,Min Worst Case,False
11,96372106,8,10637306,2,60,32.93184161186218,0.012558460235595703,67,99,32,99,97,97,0,97,1.0,max,Min Worst Case,False
12,96372106,8,10637307,2,60,1.5664167404174805,0.011164426803588867,76,106,30,106,100,100,0,100,1.0,max,Min Worst Case,False
13,96372106,8,10637308,2,60,4.6339757442474365,0.013749361038208008,80,115,35,115,111,111,0,111,1.0,max,Min Worst Case,False
14,96372106,8,10637309,2,60,0.026894330978393555,0.011872529983520508,65,89,24,89,89,89,0,89,1.0,max,Min Worst Case,False
15,96372106,8,10637310,2,60,11.923551082611084,0.011701107025146484,74,112,38,112,110,110,0,110,1.0,max,Min Worst Case,False
16,96372106,8,10637311,2,60,0.004167795181274414,0.007602214813232422,61,96,35,96,95,95,0,95,1.0,max,Min Worst Case,False
17,96372106,8,10637312,2,60,0.975383996963501,0.008341073989868164,56,79,23,79,79,79,0,79,1.0,max,Min Worst Case,False
18,96372106,8,10637313,2,60,0.4397861957550049,0.009780168533325195,69,104,35,104,103,103,0,103,1.0,max,Min Worst Case,False
19,96372106,8,10637314,2,60,3.02909255027771,0.011805057525634766,74,109,35,109,108,108,0,108,1.0,max,Min Worst Case,False
20,96372106,8,10637315,2,60,13.151101350784302,0.015995502471923828,88,126,38,126,123,123,0,123,1.0,max,Min Worst Case,False
21,96372106,8,10637316,2,60,0.6292154788970947,0.010385751724243164,81,113,32,113,113,113,0,113,1.0,max,Min Worst Case,False
22,96372106,8,10637317,2,60,0.018581390380859375,0.009750604629516602,68,102,34,102,102,102,0,102,1.0,max,Min Worst Case,False
23,96372106,8,10637318,2,60,0.0026328563690185547,0.006075620651245117,49,76,27,76,76,76,0,76,1.0,max,Min Worst Case,False
24,96372106,8,10637319,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,max,Min Worst Case,False
25,96372106,8,10637320,2,60,0.021878719329833984,0.0053637027740478516,47,74,27,74,74,74,0,74,1.0,max,Min Worst Case,False
26,96372106,8,10637321,2,60,0.01450347900390625,0.006621837615966797,57,86,29,86,85,85,0,85,1.0,max,Min Worst Case,False
27,96372106,8,10637322,2,60,1.6943843364715576,0.011501312255859375,68,99,31,99,97,97,0,97,1.0,max,Min Worst Case,False
28,96372106,8,10637323,2,60,0.1198573112487793,0.013656377792358398,74,102,28,102,102,102,0,102,1.0,max,Min Worst Case,False
29,96372106,8,10637324,2,60,0.15143299102783203,0.006447792053222656,50,70,20,70,69,69,0,69,1.0,max,Min Worst Case,False
30,96372106,8,10637325,2,60,0.1638343334197998,0.010606765747070312,65,92,27,92,91,91,0,91,1.0,max,Min Worst Case,False
31,96372106,8,10637326,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,max,Min Worst Case,False
32,96372106,8,10637327,2,60,0.021116971969604492,0.006844282150268555,57,81,24,81,78,78,0,78,1.0,max,Min Worst Case,False
33,96372106,8,10637328,2,60,0.057459115982055664,0.008414506912231445,69,95,26,95,95,95,0,95,1.0,max,Min Worst Case,False
34,96372106,8,10637329,2,60,0.021115541458129883,0.008465766906738281,65,92,27,92,92,92,0,92,1.0,max,Min Worst Case,False
35,96372106,8,10637330,2,60,5.461306571960449,0.010132312774658203,70,105,35,105,105,105,0,105,1.0,max,Min Worst Case,False
