Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,initial time,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Distribution,Objective,Communication
1,96372106,9,10637296,1,60,1.5186827182769775,0.015707015991210938,52,67,15,52,52,52,0,52,1.0,min,Min Best Case,False
2,96372106,9,10637297,1,60,2.175440788269043,0.0154266357421875,62,79,17,62,62,62,0,62,1.0,min,Min Best Case,False
3,96372106,9,10637298,1,60,0.37781262397766113,0.013349533081054688,61,75,14,61,61,61,0,61,1.0,min,Min Best Case,False
4,96372106,9,10637299,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,min,Min Best Case,False
5,96372106,9,10637300,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,min,Min Best Case,False
6,96372106,9,10637301,1,60,0.3431508541107178,0.01495814323425293,47,67,20,47,47,47,0,47,1.0,min,Min Best Case,False
7,96372106,9,10637302,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,min,Min Best Case,False
8,96372106,9,10637303,1,60,0.02246403694152832,0.012813806533813477,51,66,15,51,51,51,0,51,1.0,min,Min Best Case,False
9,96372106,9,10637304,1,60,0.015375137329101562,0.009855508804321289,43,60,17,43,43,43,0,43,1.0,min,Min Best Case,False
10,96372106,9,10637305,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,min,Min Best Case,False
11,96372106,9,10637306,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,min,Min Best Case,False
12,96372106,9,10637307,1,60,2.3719217777252197,0.016605138778686523,60,82,22,60,60,60,0,60,1.0,min,Min Best Case,False
13,96372106,9,10637308,1,60,3.3219852447509766,0.01806473731994629,70,88,18,70,70,70,0,70,1.0,min,Min Best Case,False
14,96372106,9,10637309,1,60,23.873819589614868,0.01641225814819336,61,80,19,61,61,61,0,61,1.0,min,Min Best Case,False
