Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,initial time,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Distribution,Objective,Communication,Min SIC,Max SIC
1,96372106,9,10637296,1,60,1.5186827182769775,0.12184929847717285,52,67,15,67,67,67,0,67,1.0,max,Min Best Case,True,48,71
2,96372106,9,10637297,1,60,2.175440788269043,0.27118873596191406,62,79,17,79,81,81,0,81,1.0,max,Min Best Case,True,56,79
3,96372106,9,10637298,1,60,0.37781262397766113,0.19599699974060059,61,75,14,75,74,74,0,74,1.0,max,Min Best Case,True,55,72
4,96372106,9,10637299,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,max,Min Best Case,True,-1,-1
5,96372106,9,10637300,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,max,Min Best Case,True,-1,-1
6,96372106,9,10637301,1,60,0.3431508541107178,0.23926258087158203,47,67,20,67,62,62,0,62,1.0,max,Min Best Case,True,43,64
7,96372106,9,10637302,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,max,Min Best Case,True,-1,-1
8,96372106,9,10637303,1,60,0.02246403694152832,0.024235963821411133,51,66,15,66,66,66,0,66,1.0,max,Min Best Case,True,50,72
9,96372106,9,10637304,1,60,0.015375137329101562,0.03216910362243652,43,60,17,60,61,61,0,61,1.0,max,Min Best Case,True,41,63
10,96372106,9,10637305,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,max,Min Best Case,True,-1,-1
11,96372106,9,10637306,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,max,Min Best Case,True,-1,-1
12,96372106,9,10637307,1,60,2.3719217777252197,0.2169198989868164,60,82,22,82,81,81,0,81,1.0,max,Min Best Case,True,56,86
13,96372106,9,10637308,1,60,3.3219852447509766,0.27124452590942383,70,88,18,88,91,91,0,91,1.0,max,Min Best Case,True,66,94
14,96372106,9,10637309,1,60,23.873819589614868,0.13170957565307617,61,80,19,80,77,77,0,77,1.0,max,Min Best Case,True,56,83
15,96372106,9,10637310,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,max,Min Best Case,True,-1,-1
16,96372106,9,10637311,1,60,0.10371637344360352,0.17688465118408203,60,78,18,78,77,77,0,77,1.0,max,Min Best Case,True,57,80
17,96372106,9,10637312,1,60,0.281200647354126,0.14658236503601074,53,65,12,65,65,65,0,65,1.0,max,Min Best Case,True,47,60
18,96372106,9,10637313,1,60,0.7674000263214111,0.17622709274291992,66,82,16,82,82,82,0,82,1.0,max,Min Best Case,True,60,91
19,96372106,9,10637314,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,max,Min Best Case,True,-1,-1
20,96372106,9,10637315,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,max,Min Best Case,True,-1,-1
21,96372106,9,10637316,1,60,209.7686846256256,1.367009162902832,66,93,27,93,88,88,0,88,1.0,max,Min Best Case,True,60,95
22,96372106,9,10637317,1,60,0.1415417194366455,0.1047208309173584,63,84,21,84,84,84,0,84,1.0,max,Min Best Case,True,60,87
23,96372106,9,10637318,1,60,0.19842839241027832,0.05315518379211426,49,66,17,66,63,63,0,63,1.0,max,Min Best Case,True,45,66
24,96372106,9,10637319,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,max,Min Best Case,True,-1,-1
25,96372106,9,10637320,1,60,0.009940624237060547,0.05417680740356445,49,66,17,66,62,62,0,62,1.0,max,Min Best Case,True,45,63
