Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,initial time,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Distribution,Objective,Communication,Min SIC,Max SIC
1,96372106,10,10637296,1,60,49.96239709854126,0.27919721603393555,419,544,125,486,483,484,1,484,0.5,uniform,Min Best Case,False,410,539
2,96372106,10,10637297,1,60,1.1848149299621582,0.1675586700439453,401,504,103,442,442,443,1,442,0.5,uniform,Min Best Case,False,398,507
3,96372106,10,10637298,1,60,1.216747522354126,0.159576416015625,399,507,108,463,458,463,5,462,0.5,uniform,Min Best Case,False,391,502
4,96372106,10,10637299,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,uniform,Min Best Case,False,-1,-1
5,96372106,10,10637300,1,60,39.73776865005493,0.19253897666931152,470,585,115,533,531,534,3,533,0.5,uniform,Min Best Case,False,460,574
6,96372106,10,10637301,1,60,0.4358377456665039,0.12067484855651855,338,424,86,380,378,379,1,379,0.5,uniform,Min Best Case,False,333,420
7,96372106,10,10637302,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,uniform,Min Best Case,False,-1,-1
8,96372106,10,10637303,1,60,0.5076079368591309,0.14859318733215332,398,495,97,437,435,436,1,436,0.5,uniform,Min Best Case,False,395,491
9,96372106,10,10637304,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,uniform,Min Best Case,False,-1,-1
10,96372106,10,10637305,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,uniform,Min Best Case,False,-1,-1
11,96372106,10,10637306,1,60,0.906609296798706,0.07477498054504395,272,337,65,301,301,305,4,301,0.5,uniform,Min Best Case,False,268,336
12,96372106,10,10637307,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,uniform,Min Best Case,False,-1,-1
13,96372106,10,10637308,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,uniform,Min Best Case,False,-1,-1
14,96372106,10,10637309,1,60,0.26030874252319336,0.1775047779083252,377,479,102,426,423,426,3,426,0.5,uniform,Min Best Case,False,376,481
15,96372106,10,10637310,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,uniform,Min Best Case,False,-1,-1
16,96372106,10,10637311,1,60,6.892538785934448,0.10870623588562012,322,414,92,370,369,373,4,370,0.5,uniform,Min Best Case,False,317,406
17,96372106,10,10637312,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,uniform,Min Best Case,False,-1,-1
18,96372106,10,10637313,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,uniform,Min Best Case,False,-1,-1
19,96372106,10,10637314,1,60,30.604166984558105,0.23238015174865723,455,576,121,514,511,512,1,512,0.5,uniform,Min Best Case,False,448,575
20,96372106,10,10637315,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,uniform,Min Best Case,False,-1,-1
21,96372106,10,10637316,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,uniform,Min Best Case,False,-1,-1
22,96372106,10,10637317,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,uniform,Min Best Case,False,-1,-1
23,96372106,10,10637318,1,60,0.1416339874267578,0.08176136016845703,262,321,59,287,285,289,4,285,0.5,uniform,Min Best Case,False,257,316
24,96372106,10,10637319,1,60,0.03090381622314453,0.07180929183959961,295,369,74,330,329,330,1,330,0.5,uniform,Min Best Case,False,293,364
