Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,initial time,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Distribution,Objective,Communication,Min SIC,Max SIC
1,96372106,2,10637296,4,60,0.006955385208129883,0.052247047424316406,147,280,133,212,207,214,7,212,0.5,uniform,Min Worst Case,False,147,280
2,96372106,2,10637297,4,60,0.0029730796813964844,0.010547637939453125,120,201,81,152,152,152,0,152,0.5,uniform,Min Worst Case,False,120,201
3,96372106,2,10637298,4,60,0.003988981246948242,0.029652833938598633,153,268,115,208,208,208,0,208,0.5,uniform,Min Worst Case,False,153,268
4,96372106,2,10637299,4,60,0.003017902374267578,0.011872529983520508,134,207,73,173,173,174,1,173,0.5,uniform,Min Worst Case,False,134,207
5,96372106,2,10637300,4,60,0.0029795169830322266,0.021605253219604492,156,248,92,193,193,193,0,193,0.5,uniform,Min Worst Case,False,156,248
6,96372106,2,10637301,4,60,0.0039937496185302734,0.04239773750305176,191,298,107,238,234,243,9,238,0.5,uniform,Min Worst Case,False,191,298
7,96372106,2,10637302,4,60,0.001994609832763672,0.006858110427856445,90,147,57,121,121,121,0,121,0.5,uniform,Min Worst Case,False,90,147
8,96372106,2,10637303,4,60,0.0019936561584472656,0.009816884994506836,68,108,40,90,90,90,0,90,0.5,uniform,Min Worst Case,False,68,108
9,96372106,2,10637304,4,60,0.001991748809814453,0.006707429885864258,93,151,58,119,119,119,0,119,0.5,uniform,Min Worst Case,False,93,151
10,96372106,2,10637305,4,60,0.0029900074005126953,0.018680095672607422,159,263,104,214,214,214,0,214,0.5,uniform,Min Worst Case,False,159,263
11,96372106,2,10637306,4,60,0.0009980201721191406,0.005409717559814453,61,109,48,87,87,87,0,87,0.5,uniform,Min Worst Case,False,61,109
12,96372106,2,10637307,4,60,0.0039942264556884766,0.023232221603393555,127,216,89,182,182,182,0,182,0.5,uniform,Min Worst Case,False,127,216
13,96372106,2,10637308,4,60,0.06186628341674805,0.05609488487243652,236,415,179,331,331,331,0,331,0.5,uniform,Min Worst Case,False,235,430
14,96372106,2,10637309,4,60,0.0009946823120117188,0.004598379135131836,40,81,41,59,58,64,6,59,0.5,uniform,Min Worst Case,False,40,81
15,96372106,2,10637310,4,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,uniform,Min Worst Case,False,-1,-1
16,96372106,2,10637311,4,60,0.0009834766387939453,0.006158590316772461,46,87,41,66,65,66,1,66,0.5,uniform,Min Worst Case,False,46,87
17,96372106,2,10637312,4,60,0.003978729248046875,0.037769317626953125,186,339,153,262,262,262,0,262,0.5,uniform,Min Worst Case,False,186,339
18,96372106,2,10637313,4,60,0.20143556594848633,0.04815673828125,216,362,146,293,291,297,6,293,0.5,uniform,Min Worst Case,False,213,368
19,96372106,2,10637314,4,60,0.007978439331054688,0.0424802303314209,171,295,124,228,228,228,0,228,0.5,uniform,Min Worst Case,False,171,295
20,96372106,2,10637315,4,60,0.0009970664978027344,0.0026001930236816406,45,77,32,62,62,62,0,62,0.5,uniform,Min Worst Case,False,45,77
21,96372106,2,10637316,4,60,0.005983829498291016,0.057383060455322266,204,371,167,302,302,302,0,302,0.5,uniform,Min Worst Case,False,204,371
22,96372106,2,10637317,4,60,0.001994609832763672,0.011973857879638672,100,190,90,140,135,143,8,140,0.5,uniform,Min Worst Case,False,100,190
23,96372106,2,10637318,4,60,0.0019686222076416016,0.013250112533569336,85,167,82,125,123,127,4,125,0.5,uniform,Min Worst Case,False,85,167
24,96372106,2,10637319,4,60,0.001990795135498047,0.008544683456420898,71,122,51,93,92,93,1,93,0.5,uniform,Min Worst Case,False,71,122
25,96372106,2,10637320,4,60,0.001965045928955078,0.01140284538269043,103,163,60,137,135,138,3,137,0.5,uniform,Min Worst Case,False,103,163
26,96372106,2,10637321,4,60,0.0029916763305664062,0.03014349937438965,198,324,126,248,245,249,4,248,0.5,uniform,Min Worst Case,False,198,324
27,96372106,2,10637322,4,60,0.0029973983764648438,0.018391847610473633,124,185,61,153,152,153,1,153,0.5,uniform,Min Worst Case,False,124,185
28,96372106,2,10637323,4,60,0.003977060317993164,0.03448796272277832,146,239,93,202,199,202,3,202,0.5,uniform,Min Worst Case,False,146,239
29,96372106,2,10637324,4,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,uniform,Min Worst Case,False,-1,-1
30,96372106,2,10637325,4,60,0.002992391586303711,0.013620615005493164,105,188,83,148,146,148,2,148,0.5,uniform,Min Worst Case,False,105,188
31,96372106,2,10637326,4,60,0.001995563507080078,0.010218620300292969,76,154,78,105,105,109,4,105,0.5,uniform,Min Worst Case,False,76,154
32,96372106,2,10637327,4,60,0.0019948482513427734,0.005198001861572266,86,133,47,113,112,113,1,113,0.5,uniform,Min Worst Case,False,86,133
33,96372106,2,10637328,4,60,0.0010347366333007812,0.003300189971923828,42,76,34,62,62,62,0,62,0.5,uniform,Min Worst Case,False,42,76
34,96372106,2,10637329,4,60,0.0009999275207519531,0.004813432693481445,60,108,48,89,85,93,8,89,0.5,uniform,Min Worst Case,False,60,108
35,96372106,2,10637330,4,60,0.0019927024841308594,0.007791280746459961,62,91,29,77,77,77,0,77,0.5,uniform,Min Worst Case,False,62,91
36,96372106,2,10637331,4,60,0.0029914379119873047,0.015062570571899414,93,166,73,132,132,132,0,132,0.5,uniform,Min Worst Case,False,93,166
37,96372106,2,10637332,4,60,0.0009975433349609375,0.004714012145996094,56,96,40,75,75,75,0,75,0.5,uniform,Min Worst Case,False,56,96
38,96372106,2,10637333,4,60,0.001996755599975586,0.01258087158203125,97,166,69,125,122,127,5,125,0.5,uniform,Min Worst Case,False,97,166
39,96372106,2,10637334,4,60,0.0019948482513427734,0.016289949417114258,116,200,84,164,164,164,0,164,0.5,uniform,Min Worst Case,False,116,200
40,96372106,2,10637335,4,60,0.0019943714141845703,0.01178431510925293,106,178,72,142,142,142,0,142,0.5,uniform,Min Worst Case,False,106,178
41,96372106,2,10637336,4,60,0.0019943714141845703,0.016050338745117188,128,197,69,169,166,170,4,169,0.5,uniform,Min Worst Case,False,128,197
42,96372106,2,10637337,4,60,0.000997304916381836,0.005444049835205078,62,104,42,84,80,84,4,84,0.5,uniform,Min Worst Case,False,62,104
43,96372106,2,10637338,4,60,0.0019838809967041016,0.0051801204681396484,81,133,52,114,114,114,0,114,0.5,uniform,Min Worst Case,False,81,133
