Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,initial time,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Distribution,Objective,Communication,Min SIC,Max SIC
1,96372106,2,10637296,4,60,0.005984067916870117,0.10969662666320801,147,280,133,147,147,156,9,147,0.5,min,Min Best Case,True,147,280
2,96372106,2,10637297,4,60,0.0019948482513427734,0.042850494384765625,120,201,81,120,120,122,2,120,0.5,min,Min Best Case,True,120,201
3,96372106,2,10637298,4,60,0.003985166549682617,0.0688164234161377,153,268,115,153,153,153,0,153,0.5,min,Min Best Case,True,153,268
4,96372106,2,10637299,4,60,0.001995086669921875,0.02192091941833496,134,207,73,134,134,136,2,134,0.5,min,Min Best Case,True,134,207
5,96372106,2,10637300,4,60,0.0029916763305664062,0.045821428298950195,156,248,92,156,156,160,4,156,0.5,min,Min Best Case,True,156,248
6,96372106,2,10637301,4,60,0.0039958953857421875,0.17647218704223633,191,298,107,191,191,191,0,191,0.5,min,Min Best Case,True,191,298
7,96372106,2,10637302,4,60,0.0020296573638916016,0.018949508666992188,90,147,57,90,90,92,2,90,0.5,min,Min Best Case,True,90,147
8,96372106,2,10637303,4,60,0.0020296573638916016,0.023927927017211914,68,108,40,68,68,70,2,68,0.5,min,Min Best Case,True,68,108
9,96372106,2,10637304,4,60,0.0019960403442382812,0.014960527420043945,93,151,58,93,93,93,0,93,0.5,min,Min Best Case,True,93,151
10,96372106,2,10637305,4,60,0.0019958019256591797,0.04987502098083496,159,263,104,159,159,163,4,159,0.5,min,Min Best Case,True,159,263
11,96372106,2,10637306,4,60,0.00199127197265625,0.010973691940307617,61,109,48,61,61,61,0,61,0.5,min,Min Best Case,True,61,109
12,96372106,2,10637307,4,60,0.003953695297241211,0.041918039321899414,127,216,89,127,127,127,0,127,0.5,min,Min Best Case,True,127,216
13,96372106,2,10637308,4,60,0.06381869316101074,0.11663126945495605,236,415,179,236,236,240,4,236,0.5,min,Min Best Case,True,235,430
14,96372106,2,10637309,4,60,0.001005411148071289,0.007975578308105469,40,81,41,40,40,46,6,40,0.5,min,Min Best Case,True,40,81
