Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,initial time,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Distribution,Objective,Communication
1,96372106,3,10637296,1,60,0.005983829498291016,0.00797128677368164,123,160,37,148,123,160,37,148,0.0,uniform,Min Worst Case,True
2,96372106,3,10637297,1,60,0.0029914379119873047,0.005933046340942383,140,168,28,153,140,168,28,153,0.0,uniform,Min Worst Case,True
3,96372106,3,10637298,1,60,0.003954648971557617,0.005025625228881836,109,143,34,129,109,143,34,129,0.0,uniform,Min Worst Case,True
4,96372106,3,10637299,1,60,0.008975744247436523,0.0039904117584228516,96,125,29,112,96,125,29,112,0.0,uniform,Min Worst Case,True
5,96372106,3,10637300,1,60,0.006981372833251953,0.0050241947174072266,143,178,35,158,143,178,35,158,0.0,uniform,Min Worst Case,True
6,96372106,3,10637301,1,60,0.006981372833251953,0.005984067916870117,122,152,30,139,122,152,30,139,0.0,uniform,Min Worst Case,True
7,96372106,3,10637302,1,60,0.002991914749145508,0.002994060516357422,69,95,26,85,69,95,26,85,0.0,uniform,Min Worst Case,True
8,96372106,3,10637303,1,60,0.003989219665527344,0.003024578094482422,63,76,13,70,63,76,13,70,0.0,uniform,Min Worst Case,True
9,96372106,3,10637304,1,60,0.0029916763305664062,0.002023458480834961,74,91,17,78,74,91,17,78,0.0,uniform,Min Worst Case,True
10,96372106,3,10637305,1,60,0.004986763000488281,0.005001068115234375,119,153,34,134,119,153,34,134,0.0,uniform,Min Worst Case,True
11,96372106,3,10637306,1,60,0.0029921531677246094,0.0019953250885009766,69,85,16,79,69,85,16,79,0.0,uniform,Min Worst Case,True
12,96372106,3,10637307,1,60,0.00498652458190918,0.004985809326171875,122,149,27,134,122,149,27,134,0.0,uniform,Min Worst Case,True
13,96372106,3,10637308,1,60,0.047873735427856445,0.005991458892822266,167,211,44,188,167,211,44,188,0.0,uniform,Min Worst Case,True
14,96372106,3,10637309,1,60,0.0019948482513427734,0.0029916763305664062,42,58,16,50,42,58,16,50,0.0,uniform,Min Worst Case,True
15,96372106,3,10637310,1,60,0.7669496536254883,0.004938364028930664,142,171,29,161,142,171,29,161,0.0,uniform,Min Worst Case,True
16,96372106,3,10637311,1,60,0.003010272979736328,0.005024433135986328,77,102,25,89,77,102,25,89,0.0,uniform,Min Worst Case,True
17,96372106,3,10637312,1,60,0.25033068656921387,0.007978439331054688,173,211,38,189,173,211,38,189,0.0,uniform,Min Worst Case,True
18,96372106,3,10637313,1,60,0.005937337875366211,0.004981517791748047,191,252,61,218,191,252,61,218,0.0,uniform,Min Worst Case,True
19,96372106,3,10637314,1,60,0.007978677749633789,0.006955385208129883,140,173,33,159,140,173,33,159,0.0,uniform,Min Worst Case,True
20,96372106,3,10637315,1,60,0.0029926300048828125,0.001993417739868164,50,66,16,58,50,66,16,58,0.0,uniform,Min Worst Case,True
21,96372106,3,10637316,1,60,0.005983829498291016,0.006985902786254883,175,225,50,207,175,225,50,207,0.0,uniform,Min Worst Case,True
22,96372106,3,10637317,1,60,0.015958309173583984,0.005984067916870117,138,175,37,154,138,175,37,154,0.0,uniform,Min Worst Case,True
23,96372106,3,10637318,1,60,0.0029921531677246094,0.002991914749145508,83,103,20,96,83,103,20,96,0.0,uniform,Min Worst Case,True
24,96372106,3,10637319,1,60,0.003989696502685547,0.0019943714141845703,72,90,18,81,72,90,18,81,0.0,uniform,Min Worst Case,True
25,96372106,3,10637320,1,60,0.006980419158935547,0.0059814453125,135,174,39,162,135,174,39,162,0.0,uniform,Min Worst Case,True
26,96372106,3,10637321,1,60,0.07480096817016602,0.003964662551879883,144,183,39,163,144,183,39,163,0.0,uniform,Min Worst Case,True
27,96372106,3,10637322,1,60,0.003991127014160156,0.003986835479736328,73,91,18,84,73,91,18,84,0.0,uniform,Min Worst Case,True
28,96372106,3,10637323,1,60,0.00498652458190918,0.004984855651855469,114,141,27,125,114,141,27,125,0.0,uniform,Min Worst Case,True
29,96372106,3,10637324,1,60,234.91582703590393,0.0030281543731689453,86,103,17,95,86,103,17,95,0.0,uniform,Min Worst Case,True
30,96372106,3,10637325,1,60,0.003978252410888672,0.004972696304321289,103,131,28,118,103,131,28,118,0.0,uniform,Min Worst Case,True
31,96372106,3,10637326,1,60,0.002979278564453125,0.001993894577026367,79,106,27,89,79,106,27,89,0.0,uniform,Min Worst Case,True
32,96372106,3,10637327,1,60,0.025931119918823242,0.003988981246948242,95,113,18,106,95,113,18,106,0.0,uniform,Min Worst Case,True
33,96372106,3,10637328,1,60,0.0030167102813720703,0.0039899349212646484,73,91,18,82,73,91,18,82,0.0,uniform,Min Worst Case,True
34,96372106,3,10637329,1,60,0.010970592498779297,0.002992391586303711,55,64,9,60,55,64,9,60,0.0,uniform,Min Worst Case,True
35,96372106,3,10637330,1,60,0.06382942199707031,0.0050051212310791016,90,107,17,99,90,107,17,99,0.0,uniform,Min Worst Case,True
36,96372106,3,10637331,1,60,0.0029914379119873047,0.0039327144622802734,87,108,21,103,87,108,21,103,0.0,uniform,Min Worst Case,True
37,96372106,3,10637332,1,60,0.002993345260620117,0.004987001419067383,76,98,22,89,76,98,22,89,0.0,uniform,Min Worst Case,True
38,96372106,3,10637333,1,60,0.0029921531677246094,0.002991914749145508,85,113,28,97,85,113,28,97,0.0,uniform,Min Worst Case,True
39,96372106,3,10637334,1,60,0.11568975448608398,0.006981372833251953,118,145,27,130,118,145,27,130,0.0,uniform,Min Worst Case,True
40,96372106,3,10637335,1,60,0.0029914379119873047,0.0029921531677246094,90,119,29,106,90,119,29,106,0.0,uniform,Min Worst Case,True
41,96372106,3,10637336,1,60,0.003989696502685547,0.003987789154052734,97,123,26,112,97,123,26,112,0.0,uniform,Min Worst Case,True
42,96372106,3,10637337,1,60,0.004987001419067383,0.0059833526611328125,92,117,25,108,92,117,25,108,0.0,uniform,Min Worst Case,True
43,96372106,3,10637338,1,60,0.004986286163330078,0.005983829498291016,116,149,33,136,116,149,33,136,0.0,uniform,Min Worst Case,True
44,96372106,3,10637339,1,60,0.00797891616821289,0.010968685150146484,165,210,45,192,165,210,45,192,0.0,uniform,Min Worst Case,True
45,96372106,3,10637340,1,60,0.001995086669921875,0.0019941329956054688,45,51,6,49,45,51,6,49,0.0,uniform,Min Worst Case,True
46,96372106,3,10637341,1,60,0.04886913299560547,0.005983591079711914,166,214,48,195,166,214,48,195,0.0,uniform,Min Worst Case,True
47,96372106,3,10637342,1,60,0.003989458084106445,0.0029921531677246094,96,123,27,110,96,123,27,110,0.0,uniform,Min Worst Case,True
48,96372106,3,10637343,1,60,0.003989219665527344,0.004985809326171875,86,107,21,95,86,107,21,95,0.0,uniform,Min Worst Case,True
49,96372106,3,10637344,1,60,0.004996299743652344,0.006981372833251953,104,135,31,121,104,135,31,121,0.0,uniform,Min Worst Case,True
50,96372106,3,10637345,1,60,0.007972240447998047,0.00498652458190918,129,160,31,145,129,160,31,145,0.0,uniform,Min Worst Case,True
