Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,initial time,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Distribution,Objective,Communication,Min SIC,Max SIC
1,96372106,4,10637296,1,60,0.11868524551391602,0.011964559555053711,152,198,46,152,152,198,46,152,0.0,min,Min Best Case,False,148,196
2,96372106,4,10637297,1,60,0.005984306335449219,0.008939027786254883,191,236,45,191,191,236,45,191,0.0,min,Min Best Case,False,191,236
3,96372106,4,10637298,1,60,0.017928361892700195,0.00898885726928711,125,165,40,125,125,165,40,125,0.0,min,Min Best Case,False,123,163
4,96372106,4,10637299,1,60,0.02291250228881836,0.008989572525024414,109,141,32,109,109,141,32,109,0.0,min,Min Best Case,False,108,144
5,96372106,4,10637300,1,60,0.006941795349121094,0.008011579513549805,158,197,39,158,158,197,39,158,0.0,min,Min Best Case,False,158,197
6,96372106,4,10637301,1,60,0.005984306335449219,0.009976387023925781,135,169,34,135,135,169,34,135,0.0,min,Min Best Case,False,135,169
7,96372106,4,10637302,1,60,0.00797891616821289,0.010996818542480469,141,187,46,141,141,187,46,141,0.0,min,Min Best Case,False,141,187
8,96372106,4,10637303,1,60,0.004990339279174805,0.005959033966064453,106,130,24,106,106,130,24,106,0.0,min,Min Best Case,False,106,130
9,96372106,4,10637304,1,60,0.003988981246948242,0.00395512580871582,88,107,19,88,88,107,19,88,0.0,min,Min Best Case,False,88,107
10,96372106,4,10637305,1,60,0.0060138702392578125,0.007941246032714844,172,218,46,172,172,218,46,172,0.0,min,Min Best Case,False,172,218
11,96372106,4,10637306,1,60,0.003952741622924805,0.004976749420166016,106,130,24,106,106,130,24,106,0.0,min,Min Best Case,False,106,130
12,96372106,4,10637307,1,60,0.005954265594482422,0.009032726287841797,159,195,36,159,159,195,36,159,0.0,min,Min Best Case,False,159,195
13,96372106,4,10637308,1,60,0.029919147491455078,0.010970830917358398,204,259,55,204,204,259,55,204,0.0,min,Min Best Case,False,203,259
14,96372106,4,10637309,1,60,0.0049703121185302734,0.007979154586791992,103,135,32,103,103,135,32,103,0.0,min,Min Best Case,False,103,135
15,96372106,4,10637310,1,60,0.4009101390838623,0.00698089599609375,150,188,38,150,150,188,38,150,0.0,min,Min Best Case,False,147,185
16,96372106,4,10637311,1,60,0.037903785705566406,0.00999307632446289,144,184,40,144,144,184,40,144,0.0,min,Min Best Case,False,144,187
