Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,initial time,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Distribution,Objective,Communication
1,96372106,4,10637296,1,60,0.08897137641906738,0.07920479774475098,153,200,47,178,178,178,0,178,0.5,uniform,Min Worst Case,False
2,96372106,4,10637297,1,60,0.007982254028320312,0.0736691951751709,191,236,45,216,216,217,1,216,0.5,uniform,Min Worst Case,False
3,96372106,4,10637298,1,60,0.0249330997467041,0.0629417896270752,131,171,40,150,146,149,3,148,0.5,uniform,Min Worst Case,False
4,96372106,4,10637299,1,60,0.028952598571777344,0.030918359756469727,111,143,32,125,125,125,0,125,0.5,uniform,Min Worst Case,False
5,96372106,4,10637300,1,60,0.004985809326171875,0.05394887924194336,158,197,39,172,172,173,1,172,0.5,uniform,Min Worst Case,False
6,96372106,4,10637301,1,60,0.006036996841430664,0.040952205657958984,135,169,34,152,151,152,1,152,0.5,uniform,Min Worst Case,False
7,96372106,4,10637302,1,60,0.010000228881835938,0.04425978660583496,141,187,46,169,167,172,5,169,0.5,uniform,Min Worst Case,False
8,96372106,4,10637303,1,60,0.0050351619720458984,0.023934602737426758,106,130,24,117,117,117,0,117,0.5,uniform,Min Worst Case,False
9,96372106,4,10637304,1,60,0.0039904117584228516,0.0179901123046875,88,107,19,101,99,101,2,101,0.5,uniform,Min Worst Case,False
10,96372106,4,10637305,1,60,0.005997657775878906,0.05008339881896973,172,218,46,196,195,196,1,196,0.5,uniform,Min Worst Case,False
11,96372106,4,10637306,1,60,0.004985332489013672,0.01990652084350586,106,130,24,116,116,116,0,116,0.5,uniform,Min Worst Case,False
12,96372106,4,10637307,1,60,0.007069110870361328,0.041379451751708984,159,195,36,176,174,176,2,176,0.5,uniform,Min Worst Case,False
13,96372106,4,10637308,1,60,0.05591607093811035,0.08463716506958008,206,256,50,230,230,230,0,230,0.5,uniform,Min Worst Case,False
14,96372106,4,10637309,1,60,0.004984140396118164,0.0457768440246582,103,135,32,120,118,120,2,120,0.5,uniform,Min Worst Case,False
15,96372106,4,10637310,1,60,0.7685337066650391,0.064971923828125,152,184,32,170,170,171,1,170,0.5,uniform,Min Worst Case,False
16,96372106,4,10637311,1,60,0.035902976989746094,0.04210996627807617,144,184,40,164,164,165,1,164,0.5,uniform,Min Worst Case,False
17,96372106,4,10637312,1,60,0.2700505256652832,0.07442736625671387,175,215,40,192,192,194,2,192,0.5,uniform,Min Worst Case,False
18,96372106,4,10637313,1,60,0.006981372833251953,0.07393717765808105,223,292,69,260,259,262,3,260,0.5,uniform,Min Worst Case,False
19,96372106,4,10637314,1,60,0.019510269165039062,0.07697391510009766,177,221,44,204,204,204,0,204,0.5,uniform,Min Worst Case,False
20,96372106,4,10637315,1,60,0.002991199493408203,0.01696038246154785,86,108,22,100,100,100,0,100,0.5,uniform,Min Worst Case,False
21,96372106,4,10637316,1,60,0.08446621894836426,0.09920144081115723,237,299,62,276,275,276,1,276,0.5,uniform,Min Worst Case,False
22,96372106,4,10637317,1,60,0.01695394515991211,0.061869144439697266,176,224,48,200,200,203,3,200,0.5,uniform,Min Worst Case,False
23,96372106,4,10637318,1,60,0.0039179325103759766,0.022924423217773438,107,135,28,119,118,119,1,119,0.5,uniform,Min Worst Case,False
24,96372106,4,10637319,1,60,0.0029230117797851562,0.015978336334228516,89,109,20,96,95,97,2,96,0.5,uniform,Min Worst Case,False
25,96372106,4,10637320,1,60,0.006970643997192383,0.04405355453491211,156,197,41,176,176,176,0,176,0.5,uniform,Min Worst Case,False
26,96372106,4,10637321,1,60,0.06673240661621094,0.06696009635925293,171,215,44,188,184,185,1,184,0.5,uniform,Min Worst Case,False
27,96372106,4,10637322,1,60,0.005898237228393555,0.0487978458404541,142,182,40,162,162,163,1,162,0.5,uniform,Min Worst Case,False
28,96372106,4,10637323,1,60,0.0070323944091796875,0.07922506332397461,187,239,52,218,217,218,1,218,0.5,uniform,Min Worst Case,False
29,96372106,4,10637324,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,uniform,Min Worst Case,False
30,96372106,4,10637325,1,60,0.010999679565429688,0.033875465393066406,144,181,37,167,167,167,0,167,0.5,uniform,Min Worst Case,False
31,96372106,4,10637326,1,60,0.002991199493408203,0.02001333236694336,113,147,34,130,130,132,2,130,0.5,uniform,Min Worst Case,False
32,96372106,4,10637327,1,60,0.027608394622802734,0.03793048858642578,131,158,27,140,139,140,1,140,0.5,uniform,Min Worst Case,False
