Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,initial time,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Distribution,Communication
1,96372106,4,10637296,1,60,0.08897137641906738,0.4179062843322754,153,200,47,200,200,200,0,200,0.5,max,True
2,96372106,4,10637297,1,60,0.007982254028320312,0.19642877578735352,191,236,45,236,236,236,0,236,0.5,max,True
3,96372106,4,10637298,1,60,0.0249330997467041,0.22636675834655762,131,171,40,171,165,166,1,166,0.5,max,True
4,96372106,4,10637299,1,60,0.028952598571777344,0.11665511131286621,111,143,32,143,141,141,0,141,0.5,max,True
5,96372106,4,10637300,1,60,0.004985809326171875,0.20846128463745117,158,197,39,197,196,197,1,197,0.5,max,True
6,96372106,4,10637301,1,60,0.006036996841430664,0.14861416816711426,135,169,34,169,168,169,1,169,0.5,max,True
7,96372106,4,10637302,1,60,0.010000228881835938,0.19148731231689453,141,187,46,187,183,187,4,187,0.5,max,True
8,96372106,4,10637303,1,60,0.0050351619720458984,0.07579684257507324,106,130,24,130,129,130,1,130,0.5,max,True
9,96372106,4,10637304,1,60,0.0039904117584228516,0.04487919807434082,88,107,19,107,107,107,0,107,0.5,max,True
10,96372106,4,10637305,1,60,0.005997657775878906,0.2323765754699707,172,218,46,218,217,218,1,218,0.5,max,True
