Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,initial time,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Distribution,Objective,Communication
1,96372106,4,10637296,1,60,0.11566305160522461,0.8091130256652832,152,198,46,177,174,176,2,174,0.5,uniform,Min Best Case,True
2,96372106,4,10637297,1,60,0.0059833526611328125,0.1620473861694336,191,236,45,216,216,217,1,216,0.5,uniform,Min Best Case,True
3,96372106,4,10637298,1,60,0.020917654037475586,0.11885476112365723,125,165,40,145,142,146,4,145,0.5,uniform,Min Best Case,True
4,96372106,4,10637299,1,60,0.023900985717773438,0.07495927810668945,109,141,32,123,123,123,0,123,0.5,uniform,Min Best Case,True
5,96372106,4,10637300,1,60,0.005982160568237305,0.17824172973632812,158,197,39,172,172,173,1,172,0.5,uniform,Min Best Case,True
6,96372106,4,10637301,1,60,0.009967327117919922,0.10353851318359375,135,169,34,152,151,152,1,152,0.5,uniform,Min Best Case,True
7,96372106,4,10637302,1,60,0.007980585098266602,0.14172792434692383,141,187,46,169,167,172,5,169,0.5,uniform,Min Best Case,True
8,96372106,4,10637303,1,60,0.0049631595611572266,0.06297135353088379,106,130,24,117,117,117,0,117,0.5,uniform,Min Best Case,True
9,96372106,4,10637304,1,60,0.0019948482513427734,0.027868032455444336,88,107,19,101,99,101,2,101,0.5,uniform,Min Best Case,True
10,96372106,4,10637305,1,60,0.00698089599609375,0.13019371032714844,172,218,46,196,195,196,1,196,0.5,uniform,Min Best Case,True
11,96372106,4,10637306,1,60,0.002991199493408203,0.04984569549560547,106,130,24,116,116,116,0,116,0.5,uniform,Min Best Case,True
12,96372106,4,10637307,1,60,0.008975028991699219,0.13861751556396484,159,195,36,176,174,176,2,176,0.5,uniform,Min Best Case,True
13,96372106,4,10637308,1,60,0.027925491333007812,4.163983345031738,204,259,55,230,231,232,1,232,0.5,uniform,Min Best Case,True
14,96372106,4,10637309,1,60,0.008148431777954102,0.13942337036132812,103,135,32,120,118,120,2,120,0.5,uniform,Min Best Case,True
15,96372106,4,10637310,1,60,0.3780696392059326,0.4566526412963867,150,188,38,170,170,171,1,170,0.5,uniform,Min Best Case,True
16,96372106,4,10637311,1,60,0.053694963455200195,0.20301389694213867,144,184,40,164,164,165,1,164,0.5,uniform,Min Best Case,True
17,96372106,4,10637312,1,60,0.2658524513244629,0.25013017654418945,172,220,48,194,194,194,0,194,0.5,uniform,Min Best Case,True
18,96372106,4,10637313,1,60,0.007996797561645508,0.2184591293334961,223,292,69,260,259,262,3,260,0.5,uniform,Min Best Case,True
19,96372106,4,10637314,1,60,0.019979000091552734,0.24268531799316406,177,221,44,204,204,204,0,204,0.5,uniform,Min Best Case,True
20,96372106,4,10637315,1,60,0.003989458084106445,0.03691244125366211,86,108,22,100,100,100,0,100,0.5,uniform,Min Best Case,True
21,96372106,4,10637316,1,60,0.07178187370300293,1.2621402740478516,235,302,67,276,275,276,1,276,0.5,uniform,Min Best Case,True
22,96372106,4,10637317,1,60,0.021941423416137695,0.22058749198913574,174,226,52,199,197,200,3,199,0.5,uniform,Min Best Case,True
23,96372106,4,10637318,1,60,0.00498199462890625,0.07979846000671387,107,135,28,119,118,119,1,119,0.5,uniform,Min Best Case,True
24,96372106,4,10637319,1,60,0.003027200698852539,0.032967567443847656,89,109,20,96,95,97,2,96,0.5,uniform,Min Best Case,True
25,96372106,4,10637320,1,60,0.007028341293334961,0.1461186408996582,156,197,41,176,176,176,0,176,0.5,uniform,Min Best Case,True
26,96372106,4,10637321,1,60,0.31135034561157227,0.5123968124389648,170,216,46,189,184,185,1,184,0.5,uniform,Min Best Case,True
27,96372106,4,10637322,1,60,0.007017850875854492,0.15889382362365723,142,182,40,162,162,163,1,162,0.5,uniform,Min Best Case,True
28,96372106,4,10637323,1,60,0.008059978485107422,0.2801949977874756,187,239,52,218,217,218,1,218,0.5,uniform,Min Best Case,True
29,96372106,4,10637324,1,60,14.5793137550354,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,uniform,Min Best Case,True
30,96372106,4,10637325,1,60,0.0109710693359375,0.2307872772216797,144,181,37,167,165,165,0,165,0.5,uniform,Min Best Case,True
31,96372106,4,10637326,1,60,0.004975795745849609,0.0430908203125,113,147,34,130,130,132,2,130,0.5,uniform,Min Best Case,True
32,96372106,4,10637327,1,60,0.025911569595336914,0.17315077781677246,131,158,27,140,139,140,1,140,0.5,uniform,Min Best Case,True
33,96372106,4,10637328,1,60,0.005980968475341797,0.19912314414978027,127,166,39,152,151,153,2,152,0.5,uniform,Min Best Case,True
34,96372106,4,10637329,1,60,0.011002302169799805,0.06987833976745605,87,105,18,95,95,95,0,95,0.5,uniform,Min Best Case,True
35,96372106,4,10637330,1,60,0.041890859603881836,0.12609219551086426,116,144,28,129,129,130,1,129,0.5,uniform,Min Best Case,True
36,96372106,4,10637331,1,60,0.0039904117584228516,0.06615066528320312,109,137,28,125,125,125,0,125,0.5,uniform,Min Best Case,True
37,96372106,4,10637332,1,60,0.0040204524993896484,0.08696866035461426,121,154,33,137,137,137,0,137,0.5,uniform,Min Best Case,True
38,96372106,4,10637333,1,60,0.004025936126708984,0.06482696533203125,106,137,31,122,122,122,0,122,0.5,uniform,Min Best Case,True
39,96372106,4,10637334,1,60,0.05894947052001953,1.0913851261138916,190,238,48,211,205,205,0,205,0.5,uniform,Min Best Case,True
40,96372106,4,10637335,1,60,1.0751738548278809,6.72308349609375,158,200,42,179,179,182,3,181,0.5,uniform,Min Best Case,True
41,96372106,4,10637336,1,60,0.007460832595825195,0.24969100952148438,164,207,43,185,185,185,0,185,0.5,uniform,Min Best Case,True
42,96372106,4,10637337,1,60,0.0049860477447509766,0.15818047523498535,115,154,39,137,136,138,2,137,0.5,uniform,Min Best Case,True
43,96372106,4,10637338,1,60,0.006066560745239258,0.26233959197998047,126,163,37,149,149,149,0,149,0.5,uniform,Min Best Case,True
44,96372106,4,10637339,1,60,0.006993293762207031,0.41481614112854004,186,240,54,216,214,216,2,216,0.5,uniform,Min Best Case,True
45,96372106,4,10637340,1,60,0.0039882659912109375,0.09998035430908203,88,107,19,96,95,98,3,96,0.5,uniform,Min Best Case,True
46,96372106,4,10637341,1,60,224.3339786529541,2.5271475315093994,231,292,61,265,268,269,1,269,0.5,uniform,Min Best Case,True
47,96372106,4,10637342,1,60,0.005090951919555664,0.08407020568847656,139,178,39,152,152,152,0,152,0.5,uniform,Min Best Case,True
48,96372106,4,10637343,1,60,0.06791281700134277,1.4694180488586426,112,139,27,126,124,128,4,126,0.5,uniform,Min Best Case,True
49,96372106,4,10637344,1,60,0.006051063537597656,0.1865699291229248,135,177,42,155,153,156,3,155,0.5,uniform,Min Best Case,True
50,96372106,4,10637345,1,60,0.022971630096435547,0.3551981449127197,169,211,42,197,195,196,1,196,0.5,uniform,Min Best Case,True
