Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,initial time,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Distribution,Objective,Communication,Min SIC,Max SIC
1,96372106,4,10637296,2,60,0.14865756034851074,0.009973526000976562,181,282,101,235,181,282,101,235,0.0,uniform,Min Best Case,True,177,273
2,96372106,4,10637297,2,60,0.12267589569091797,0.006978511810302734,244,336,92,292,244,336,92,292,0.0,uniform,Min Best Case,True,240,332
3,96372106,4,10637298,2,60,0.017949819564819336,0.008940696716308594,164,235,71,188,164,235,71,188,0.0,uniform,Min Best Case,True,161,233
4,96372106,4,10637299,2,60,0.01995229721069336,0.004996776580810547,131,194,63,175,131,194,63,175,0.0,uniform,Min Best Case,True,130,194
5,96372106,4,10637300,2,60,0.4228830337524414,0.008938312530517578,199,273,74,231,199,273,74,231,0.0,uniform,Min Best Case,True,197,274
6,96372106,4,10637301,2,60,0.005983829498291016,0.008974313735961914,163,242,79,196,163,242,79,196,0.0,uniform,Min Best Case,True,163,242
7,96372106,4,10637302,2,60,0.030907392501831055,0.008977413177490234,179,261,82,224,179,261,82,224,0.0,uniform,Min Best Case,True,178,260
8,96372106,4,10637303,2,60,0.00399017333984375,0.005973100662231445,131,187,56,158,131,187,56,158,0.0,uniform,Min Best Case,True,131,187
9,96372106,4,10637304,2,60,0.0029997825622558594,0.0029909610748291016,108,155,47,135,108,155,47,135,0.0,uniform,Min Best Case,True,108,155
10,96372106,4,10637305,2,60,0.01996016502380371,0.006974935531616211,219,315,96,271,219,315,96,271,0.0,uniform,Min Best Case,True,217,313
11,96372106,4,10637306,2,60,0.0039899349212646484,0.004982471466064453,136,180,44,152,136,180,44,152,0.0,uniform,Min Best Case,True,136,180
12,96372106,4,10637307,2,60,0.005982398986816406,0.007943868637084961,194,286,92,240,194,286,92,240,0.0,uniform,Min Best Case,True,194,286
13,96372106,4,10637308,2,60,0.026928186416625977,0.008952856063842773,256,360,104,315,256,360,104,315,0.0,uniform,Min Best Case,True,256,366
14,96372106,4,10637309,2,60,0.005984783172607422,0.006976604461669922,125,188,63,153,125,188,63,153,0.0,uniform,Min Best Case,True,125,188
15,96372106,4,10637310,2,60,1.7453477382659912,0.005984067916870117,189,268,79,221,189,268,79,221,0.0,uniform,Min Best Case,True,184,256
16,96372106,4,10637311,2,60,6.771947622299194,0.007981061935424805,173,265,92,226,173,265,92,226,0.0,uniform,Min Best Case,True,172,264
17,96372106,4,10637312,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,uniform,Min Best Case,True,-1,-1
18,96372106,4,10637313,2,60,3.0229289531707764,0.006982088088989258,269,411,142,337,269,411,142,337,0.0,uniform,Min Best Case,True,265,414
19,96372106,4,10637314,2,60,0.027935266494750977,0.007976770401000977,223,310,87,260,223,310,87,260,0.0,uniform,Min Best Case,True,223,317
20,96372106,4,10637315,2,60,0.003988027572631836,0.003990650177001953,104,153,49,126,104,153,49,126,0.0,uniform,Min Best Case,True,104,153
21,96372106,4,10637316,2,60,0.00898599624633789,0.00897526741027832,288,424,136,349,288,424,136,349,0.0,uniform,Min Best Case,True,288,424
22,96372106,4,10637317,2,60,0.0069806575775146484,0.009011507034301758,214,312,98,269,214,312,98,269,0.0,uniform,Min Best Case,True,214,312
23,96372106,4,10637318,2,60,0.003989219665527344,0.0049877166748046875,132,183,51,152,132,183,51,152,0.0,uniform,Min Best Case,True,132,183
24,96372106,4,10637319,2,60,0.004986763000488281,0.003994464874267578,101,160,59,125,101,160,59,125,0.0,uniform,Min Best Case,True,101,160
25,96372106,4,10637320,2,60,0.006980180740356445,0.012965202331542969,192,277,85,234,192,277,85,234,0.0,uniform,Min Best Case,True,192,277
26,96372106,4,10637321,2,60,1.9418256282806396,0.0060040950775146484,212,316,104,274,212,316,104,274,0.0,uniform,Min Best Case,True,208,304
27,96372106,4,10637322,2,60,0.006981372833251953,0.007976770401000977,174,253,79,211,174,253,79,211,0.0,uniform,Min Best Case,True,174,253
28,96372106,4,10637323,2,60,0.007990360260009766,0.008973360061645508,226,335,109,279,226,335,109,279,0.0,uniform,Min Best Case,True,226,335
29,96372106,4,10637324,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,uniform,Min Best Case,True,-1,-1
30,96372106,4,10637325,2,60,0.005972385406494141,0.0039920806884765625,173,254,81,218,173,254,81,218,0.0,uniform,Min Best Case,True,173,254
31,96372106,4,10637326,2,60,0.0050182342529296875,0.002970457077026367,139,205,66,177,139,205,66,177,0.0,uniform,Min Best Case,True,139,205
32,96372106,4,10637327,2,60,0.03789973258972168,0.0039882659912109375,164,233,69,196,164,233,69,196,0.0,uniform,Min Best Case,True,158,223
33,96372106,4,10637328,2,60,0.005020856857299805,0.006980419158935547,160,227,67,195,160,227,67,195,0.0,uniform,Min Best Case,True,160,227
34,96372106,4,10637329,2,60,0.05487203598022461,0.002994060516357422,97,152,55,125,97,152,55,125,0.0,uniform,Min Best Case,True,94,151
35,96372106,4,10637330,2,60,0.16350746154785156,0.00797891616821289,146,203,57,172,146,203,57,172,0.0,uniform,Min Best Case,True,143,208
36,96372106,4,10637331,2,60,0.00398564338684082,0.006986141204833984,140,192,52,170,140,192,52,170,0.0,uniform,Min Best Case,True,140,192
37,96372106,4,10637332,2,60,0.003990888595581055,0.0049855709075927734,150,219,69,193,150,219,69,193,0.0,uniform,Min Best Case,True,150,219
38,96372106,4,10637333,2,60,0.003987550735473633,0.003977060317993164,133,188,55,159,133,188,55,159,0.0,uniform,Min Best Case,True,133,188
39,96372106,4,10637334,2,60,0.0747995376586914,0.007955074310302734,230,333,103,273,230,333,103,273,0.0,uniform,Min Best Case,True,225,325
40,96372106,4,10637335,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,uniform,Min Best Case,True,-1,-1
41,96372106,4,10637336,2,60,0.006983041763305664,0.006982326507568359,206,295,89,259,206,295,89,259,0.0,uniform,Min Best Case,True,206,295
42,96372106,4,10637337,2,60,0.0059814453125,0.006945133209228516,145,205,60,182,145,205,60,182,0.0,uniform,Min Best Case,True,145,205
43,96372106,4,10637338,2,60,0.006946563720703125,0.007978439331054688,158,230,72,200,158,230,72,200,0.0,uniform,Min Best Case,True,158,230
44,96372106,4,10637339,2,60,0.007978200912475586,0.008954763412475586,223,337,114,282,223,337,114,282,0.0,uniform,Min Best Case,True,223,337
45,96372106,4,10637340,2,60,0.003988504409790039,0.004961967468261719,104,149,45,121,104,149,45,121,0.0,uniform,Min Best Case,True,104,149
46,96372106,4,10637341,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,uniform,Min Best Case,True,-1,-1
47,96372106,4,10637342,2,60,0.004986286163330078,0.004986763000488281,173,249,76,203,173,249,76,203,0.0,uniform,Min Best Case,True,173,249
48,96372106,4,10637343,2,60,0.4218745231628418,0.006982326507568359,133,198,65,167,133,198,65,167,0.0,uniform,Min Best Case,True,132,193
49,96372106,4,10637344,2,60,0.015922069549560547,0.008956670761108398,165,260,95,207,165,260,95,207,0.0,uniform,Min Best Case,True,165,261
50,96372106,4,10637345,2,60,0.004984140396118164,0.00498652458190918,207,299,92,251,207,299,92,251,0.0,uniform,Min Best Case,True,207,299
