Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,initial time,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Distribution,Objective,Communication,Min SIC,Max SIC
1,96372106,4,10637296,2,60,0.14865756034851074,0.10124087333679199,181,282,101,282,282,282,0,282,1.0,max,Min Best Case,False,177,273
2,96372106,4,10637297,2,60,0.12267589569091797,0.10771536827087402,244,336,92,336,332,332,0,332,1.0,max,Min Best Case,False,240,332
3,96372106,4,10637298,2,60,0.017949819564819336,0.06881427764892578,164,235,71,235,235,235,0,235,1.0,max,Min Best Case,False,161,233
4,96372106,4,10637299,2,60,0.01995229721069336,0.045876502990722656,131,194,63,194,194,194,0,194,1.0,max,Min Best Case,False,130,194
5,96372106,4,10637300,2,60,0.4228830337524414,0.07380032539367676,199,273,74,273,273,273,0,273,1.0,max,Min Best Case,False,197,274
6,96372106,4,10637301,2,60,0.005983829498291016,0.07678866386413574,163,242,79,242,242,242,0,242,1.0,max,Min Best Case,False,163,242
7,96372106,4,10637302,2,60,0.030907392501831055,0.08876299858093262,179,261,82,261,261,261,0,261,1.0,max,Min Best Case,False,178,260
8,96372106,4,10637303,2,60,0.00399017333984375,0.040891408920288086,131,187,56,187,187,187,0,187,1.0,max,Min Best Case,False,131,187
9,96372106,4,10637304,2,60,0.0029997825622558594,0.02593088150024414,108,155,47,155,155,155,0,155,1.0,max,Min Best Case,False,108,155
10,96372106,4,10637305,2,60,0.01996016502380371,0.09873723983764648,219,315,96,315,313,313,0,313,1.0,max,Min Best Case,False,217,313
11,96372106,4,10637306,2,60,0.0039899349212646484,0.033898353576660156,136,180,44,180,180,180,0,180,1.0,max,Min Best Case,False,136,180
12,96372106,4,10637307,2,60,0.005982398986816406,0.06881546974182129,194,286,92,286,286,286,0,286,1.0,max,Min Best Case,False,194,286
13,96372106,4,10637308,2,60,0.026928186416625977,0.1356372833251953,256,360,104,360,360,360,0,360,1.0,max,Min Best Case,False,256,366
