Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,initial time,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Distribution,Objective,Communication
1,96372106,5,10637296,0,60,0.013962507247924805,0.019983291625976562,169,169,0,169,169,169,0,169,0.0,max,Min Best Case,False
2,96372106,5,10637297,0,60,0.0069811344146728516,0.00797891616821289,180,180,0,180,180,180,0,180,0.0,max,Min Best Case,False
3,96372106,5,10637298,0,60,0.0169527530670166,0.00897526741027832,146,146,0,146,146,146,0,146,0.0,max,Min Best Case,False
4,96372106,5,10637299,0,60,0.046877384185791016,0.011931419372558594,155,155,0,155,155,155,0,155,0.0,max,Min Best Case,False
5,96372106,5,10637300,0,60,0.4557802677154541,0.010970354080200195,183,183,0,183,183,183,0,183,0.0,max,Min Best Case,False
6,96372106,5,10637301,0,60,0.0827782154083252,0.010291099548339844,121,121,0,121,121,121,0,121,0.0,max,Min Best Case,False
7,96372106,5,10637302,0,60,0.026927947998046875,0.010970830917358398,135,135,0,135,135,135,0,135,0.0,max,Min Best Case,False
8,96372106,5,10637303,0,60,0.005983114242553711,0.008975744247436523,130,130,0,130,130,130,0,130,0.0,max,Min Best Case,False
9,96372106,5,10637304,0,60,0.00399017333984375,0.004025936126708984,85,85,0,85,85,85,0,85,0.0,max,Min Best Case,False
10,96372106,5,10637305,0,60,0.008973836898803711,0.007944107055664062,149,149,0,149,149,149,0,149,0.0,max,Min Best Case,False
11,96372106,5,10637306,0,60,0.01495981216430664,0.005977630615234375,102,102,0,102,102,102,0,102,0.0,max,Min Best Case,False
12,96372106,5,10637307,0,60,0.007924318313598633,0.014992713928222656,184,184,0,184,184,184,0,184,0.0,max,Min Best Case,False
13,96372106,5,10637308,0,60,0.006978273391723633,0.014861345291137695,189,189,0,189,189,189,0,189,0.0,max,Min Best Case,False
14,96372106,5,10637309,0,60,0.010009288787841797,0.008950948715209961,127,127,0,127,127,127,0,127,0.0,max,Min Best Case,False
15,96372106,5,10637310,0,60,0.014920949935913086,0.007978200912475586,124,124,0,124,124,124,0,124,0.0,max,Min Best Case,False
16,96372106,5,10637311,0,60,0.009971857070922852,0.009967565536499023,136,136,0,136,136,136,0,136,0.0,max,Min Best Case,False
17,96372106,5,10637312,0,60,0.005983591079711914,0.009974241256713867,154,154,0,154,154,154,0,154,0.0,max,Min Best Case,False
18,96372106,5,10637313,0,60,0.01994919776916504,0.010924339294433594,192,192,0,192,192,192,0,192,0.0,max,Min Best Case,False
19,96372106,5,10637314,0,60,0.007959604263305664,0.011967897415161133,175,175,0,175,175,175,0,175,0.0,max,Min Best Case,False
20,96372106,5,10637315,0,60,0.006982326507568359,0.009973526000976562,126,126,0,126,126,126,0,126,0.0,max,Min Best Case,False
21,96372106,5,10637316,0,60,0.00995945930480957,0.014905929565429688,209,209,0,209,209,209,0,209,0.0,max,Min Best Case,False
22,96372106,5,10637317,0,60,0.01896071434020996,0.010005474090576172,168,168,0,168,168,168,0,168,0.0,max,Min Best Case,False
23,96372106,5,10637318,0,60,0.004999637603759766,0.005072832107543945,87,87,0,87,87,87,0,87,0.0,max,Min Best Case,False
24,96372106,5,10637319,0,60,0.009880542755126953,0.006979465484619141,111,111,0,111,111,111,0,111,0.0,max,Min Best Case,False
25,96372106,5,10637320,0,60,0.00698399543762207,0.010970115661621094,166,166,0,166,166,166,0,166,0.0,max,Min Best Case,False
26,96372106,5,10637321,0,60,0.09296321868896484,0.009978055953979492,171,171,0,171,171,171,0,171,0.0,max,Min Best Case,False
27,96372106,5,10637322,0,60,0.030953645706176758,0.010924577713012695,126,126,0,126,126,126,0,126,0.0,max,Min Best Case,False
28,96372106,5,10637323,0,60,0.014959573745727539,0.012002944946289062,206,206,0,206,206,206,0,206,0.0,max,Min Best Case,False
29,96372106,5,10637324,0,60,0.47425127029418945,0.010043859481811523,131,131,0,131,131,131,0,131,0.0,max,Min Best Case,False
30,96372106,5,10637325,0,60,0.011666059494018555,0.007007598876953125,136,136,0,136,136,136,0,136,0.0,max,Min Best Case,False
31,96372106,5,10637326,0,60,0.003988981246948242,0.004018068313598633,108,108,0,108,108,108,0,108,0.0,max,Min Best Case,False
32,96372106,5,10637327,0,60,0.03692126274108887,0.010145187377929688,151,151,0,151,151,151,0,151,0.0,max,Min Best Case,False
33,96372106,5,10637328,0,60,0.004986763000488281,0.008957147598266602,121,121,0,121,121,121,0,121,0.0,max,Min Best Case,False
34,96372106,5,10637329,0,60,0.011968135833740234,0.005746603012084961,90,90,0,90,90,90,0,90,0.0,max,Min Best Case,False
35,96372106,5,10637330,0,60,0.007982492446899414,0.0069844722747802734,106,106,0,106,106,106,0,106,0.0,max,Min Best Case,False
36,96372106,5,10637331,0,60,0.0039882659912109375,0.005984067916870117,108,108,0,108,108,108,0,108,0.0,max,Min Best Case,False
37,96372106,5,10637332,0,60,0.006285667419433594,0.008002281188964844,141,141,0,141,141,141,0,141,0.0,max,Min Best Case,False
38,96372106,5,10637333,0,60,0.006014108657836914,0.009969234466552734,135,135,0,135,135,135,0,135,0.0,max,Min Best Case,False
39,96372106,5,10637334,0,60,0.019954204559326172,0.012965679168701172,160,160,0,160,160,160,0,160,0.0,max,Min Best Case,False
40,96372106,5,10637335,0,60,0.1546034812927246,0.011990785598754883,151,151,0,151,151,151,0,151,0.0,max,Min Best Case,False
41,96372106,5,10637336,0,60,0.008975744247436523,0.012020111083984375,146,146,0,146,146,146,0,146,0.0,max,Min Best Case,False
42,96372106,5,10637337,0,60,0.07381343841552734,0.008011817932128906,101,101,0,101,101,101,0,101,0.0,max,Min Best Case,False
43,96372106,5,10637338,0,60,0.010970115661621094,0.009968280792236328,109,109,0,109,109,109,0,109,0.0,max,Min Best Case,False
44,96372106,5,10637339,0,60,0.21308159828186035,0.012964248657226562,173,173,0,173,173,173,0,173,0.0,max,Min Best Case,False
45,96372106,5,10637340,0,60,0.008924722671508789,0.011006355285644531,136,136,0,136,136,136,0,136,0.0,max,Min Best Case,False
46,96372106,5,10637341,0,60,0.01296544075012207,0.00997304916381836,198,198,0,198,198,198,0,198,0.0,max,Min Best Case,False
47,96372106,5,10637342,0,60,0.010053157806396484,0.008974790573120117,156,156,0,156,156,156,0,156,0.0,max,Min Best Case,False
48,96372106,5,10637343,0,60,0.005938053131103516,0.00897669792175293,139,139,0,139,139,139,0,139,0.0,max,Min Best Case,False
49,96372106,5,10637344,0,60,0.017920732498168945,0.010970830917358398,140,140,0,140,140,140,0,140,0.0,max,Min Best Case,False
50,96372106,5,10637345,0,60,0.01194453239440918,0.010968923568725586,191,191,0,191,191,191,0,191,0.0,max,Min Best Case,False
