Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,initial time,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Distribution,Objective,Communication,Min SIC,Max SIC
1,96372106,5,10637296,0,60,0.008975982666015625,0.009007930755615234,169,169,0,169,169,169,0,169,0.0,max,Min Best Case,True,169,169
2,96372106,5,10637297,0,60,0.007978677749633789,0.005993366241455078,180,180,0,180,180,180,0,180,0.0,max,Min Best Case,True,180,180
3,96372106,5,10637298,0,60,0.009974002838134766,0.011977672576904297,146,146,0,146,146,146,0,146,0.0,max,Min Best Case,True,146,146
4,96372106,5,10637299,0,60,0.008975982666015625,0.014959573745727539,155,155,0,155,155,155,0,155,0.0,max,Min Best Case,True,155,155
5,96372106,5,10637300,0,60,0.4079093933105469,0.007981061935424805,183,183,0,183,183,183,0,183,0.0,max,Min Best Case,True,177,177
6,96372106,5,10637301,0,60,0.04787111282348633,0.008975505828857422,121,121,0,121,121,121,0,121,0.0,max,Min Best Case,True,121,121
7,96372106,5,10637302,0,60,0.02294015884399414,0.007982015609741211,135,135,0,135,135,135,0,135,0.0,max,Min Best Case,True,135,135
8,96372106,5,10637303,0,60,0.006981611251831055,0.00597834587097168,130,130,0,130,130,130,0,130,0.0,max,Min Best Case,True,130,130
9,96372106,5,10637304,0,60,0.003989219665527344,0.002994537353515625,85,85,0,85,85,85,0,85,0.0,max,Min Best Case,True,85,85
10,96372106,5,10637305,0,60,0.008975744247436523,0.00593113899230957,149,149,0,149,149,149,0,149,0.0,max,Min Best Case,True,149,149
11,96372106,5,10637306,0,60,0.01195526123046875,0.0039882659912109375,102,102,0,102,102,102,0,102,0.0,max,Min Best Case,True,102,102
12,96372106,5,10637307,0,60,0.00897526741027832,0.008975744247436523,184,184,0,184,184,184,0,184,0.0,max,Min Best Case,True,184,184
13,96372106,5,10637308,0,60,0.007979631423950195,0.008988618850708008,189,189,0,189,189,189,0,189,0.0,max,Min Best Case,True,189,189
14,96372106,5,10637309,0,60,0.010971307754516602,0.006926059722900391,127,127,0,127,127,127,0,127,0.0,max,Min Best Case,True,127,127
15,96372106,5,10637310,0,60,0.009960651397705078,0.005980491638183594,124,124,0,124,124,124,0,124,0.0,max,Min Best Case,True,124,124
16,96372106,5,10637311,0,60,0.010970592498779297,0.00698089599609375,136,136,0,136,136,136,0,136,0.0,max,Min Best Case,True,136,136
17,96372106,5,10637312,0,60,0.006993770599365234,0.006921291351318359,154,154,0,154,154,154,0,154,0.0,max,Min Best Case,True,154,154
18,96372106,5,10637313,0,60,0.020943403244018555,0.008996963500976562,192,192,0,192,192,192,0,192,0.0,max,Min Best Case,True,192,192
19,96372106,5,10637314,0,60,0.007982969284057617,0.007979631423950195,175,175,0,175,175,175,0,175,0.0,max,Min Best Case,True,175,175
20,96372106,5,10637315,0,60,0.006981372833251953,0.007977485656738281,126,126,0,126,126,126,0,126,0.0,max,Min Best Case,True,126,126
21,96372106,5,10637316,0,60,0.010968923568725586,0.009917259216308594,209,209,0,209,209,209,0,209,0.0,max,Min Best Case,True,209,209
22,96372106,5,10637317,0,60,0.01795196533203125,0.008994579315185547,168,168,0,168,168,168,0,168,0.0,max,Min Best Case,True,168,168
23,96372106,5,10637318,0,60,0.003989458084106445,0.00398564338684082,87,87,0,87,87,87,0,87,0.0,max,Min Best Case,True,87,87
24,96372106,5,10637319,0,60,0.01199650764465332,0.005979061126708984,111,111,0,111,111,111,0,111,0.0,max,Min Best Case,True,111,111
25,96372106,5,10637320,0,60,0.00897216796875,0.008978128433227539,166,166,0,166,166,166,0,166,0.0,max,Min Best Case,True,166,166
26,96372106,5,10637321,0,60,0.08676862716674805,0.006961345672607422,171,171,0,171,171,171,0,171,0.0,max,Min Best Case,True,168,168
27,96372106,5,10637322,0,60,0.025882720947265625,0.007979869842529297,126,126,0,126,126,126,0,126,0.0,max,Min Best Case,True,126,126
