Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,initial time,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Distribution,Objective,Communication
1,96372106,5,10637296,1,60,0.12067627906799316,0.01380777359008789,211,277,66,211,211,277,66,211,0.0,min,Min Worst Case,False
2,96372106,5,10637297,1,60,0.007978439331054688,0.010541915893554688,238,295,57,238,238,295,57,238,0.0,min,Min Worst Case,False
3,96372106,5,10637298,1,60,0.026926517486572266,0.010967731475830078,185,239,54,185,185,239,54,185,0.0,min,Min Worst Case,False
4,96372106,5,10637299,1,60,0.050864219665527344,0.01869654655456543,195,254,59,195,195,254,59,195,0.0,min,Min Worst Case,False
5,96372106,5,10637300,1,60,6.961375951766968,0.018956661224365234,272,324,52,272,272,324,52,272,0.0,min,Min Worst Case,False
6,96372106,5,10637301,1,60,0.009973764419555664,0.013066291809082031,159,194,35,159,159,194,35,159,0.0,min,Min Worst Case,False
7,96372106,5,10637302,1,60,0.4168846607208252,0.013012409210205078,182,240,58,182,182,240,58,182,0.0,min,Min Worst Case,False
8,96372106,5,10637303,1,60,0.0059833526611328125,0.008942604064941406,166,207,41,166,166,207,41,166,0.0,min,Min Worst Case,False
9,96372106,5,10637304,1,60,0.0029916763305664062,0.0049896240234375,108,134,26,108,108,134,26,108,0.0,min,Min Worst Case,False
10,96372106,5,10637305,1,60,0.01795172691345215,0.008967161178588867,198,251,53,198,198,251,53,198,0.0,min,Min Worst Case,False
11,96372106,5,10637306,1,60,0.00689697265625,0.006101131439208984,124,152,28,124,124,152,28,124,0.0,min,Min Worst Case,False
12,96372106,5,10637307,1,60,0.013028860092163086,0.013520956039428711,235,288,53,235,235,288,53,235,0.0,min,Min Worst Case,False
13,96372106,5,10637308,1,60,0.06816577911376953,0.013942956924438477,245,304,59,245,245,304,59,245,0.0,min,Min Worst Case,False
14,96372106,5,10637309,1,60,0.010988712310791016,0.009936094284057617,161,205,44,161,161,205,44,161,0.0,min,Min Worst Case,False
15,96372106,5,10637310,1,60,0.9921529293060303,0.009974241256713867,160,194,34,160,160,194,34,160,0.0,min,Min Worst Case,False
16,96372106,5,10637311,1,60,0.037863731384277344,0.01196432113647461,168,214,46,168,168,214,46,168,0.0,min,Min Worst Case,False
17,96372106,5,10637312,1,60,0.28094983100891113,0.013812065124511719,198,244,46,198,198,244,46,198,0.0,min,Min Worst Case,False
18,96372106,5,10637313,1,60,0.009972095489501953,0.015956401824951172,236,311,75,236,236,311,75,236,0.0,min,Min Worst Case,False
19,96372106,5,10637314,1,60,0.09237790107727051,0.014021873474121094,221,279,58,221,221,279,58,221,0.0,min,Min Worst Case,False
20,96372106,5,10637315,1,60,5.654745578765869,0.020931482315063477,156,193,37,156,156,193,37,156,0.0,min,Min Worst Case,False
21,96372106,5,10637316,1,60,0.08341360092163086,0.01807117462158203,254,323,69,254,254,323,69,254,0.0,min,Min Worst Case,False
22,96372106,5,10637317,1,60,0.02019810676574707,0.012907981872558594,215,270,55,215,215,270,55,215,0.0,min,Min Worst Case,False
23,96372106,5,10637318,1,60,0.005010366439819336,0.007676601409912109,113,143,30,113,113,143,30,113,0.0,min,Min Worst Case,False
24,96372106,5,10637319,1,60,0.05773043632507324,0.009974241256713867,136,173,37,136,136,173,37,136,0.0,min,Min Worst Case,False
25,96372106,5,10637320,1,60,0.008172035217285156,0.013962268829345703,210,258,48,210,210,258,48,210,0.0,min,Min Worst Case,False
26,96372106,5,10637321,1,60,0.8669638633728027,0.014959573745727539,223,281,58,223,223,281,58,223,0.0,min,Min Worst Case,False
27,96372106,5,10637322,1,60,0.006979703903198242,0.014035940170288086,155,198,43,155,155,198,43,155,0.0,min,Min Worst Case,False
28,96372106,5,10637323,1,60,0.03865933418273926,0.011967658996582031,258,325,67,258,258,325,67,258,0.0,min,Min Worst Case,False
29,96372106,5,10637324,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,min,Min Worst Case,False
30,96372106,5,10637325,1,60,0.028922557830810547,0.006998538970947266,177,219,42,177,177,219,42,177,0.0,min,Min Worst Case,False
31,96372106,5,10637326,1,60,0.00411534309387207,0.005930662155151367,130,173,43,130,130,173,43,130,0.0,min,Min Worst Case,False
32,96372106,5,10637327,1,60,0.030534982681274414,0.009947538375854492,191,237,46,191,191,237,46,191,0.0,min,Min Worst Case,False
33,96372106,5,10637328,1,60,0.006745338439941406,0.007978439331054688,150,195,45,150,150,195,45,150,0.0,min,Min Worst Case,False
34,96372106,5,10637329,1,60,0.022069215774536133,0.004992485046386719,117,141,24,117,117,141,24,117,0.0,min,Min Worst Case,False
35,96372106,5,10637330,1,60,0.8809843063354492,0.011748790740966797,142,173,31,142,142,173,31,142,0.0,min,Min Worst Case,False
36,96372106,5,10637331,1,60,0.007827281951904297,0.01042938232421875,145,182,37,145,145,182,37,145,0.0,min,Min Worst Case,False
37,96372106,5,10637332,1,60,0.028927326202392578,0.010020971298217773,179,222,43,179,179,222,43,179,0.0,min,Min Worst Case,False
38,96372106,5,10637333,1,60,0.008898735046386719,0.01064300537109375,163,208,45,163,163,208,45,163,0.0,min,Min Worst Case,False
39,96372106,5,10637334,1,60,0.10228824615478516,0.011970043182373047,207,260,53,207,207,260,53,207,0.0,min,Min Worst Case,False
40,96372106,5,10637335,1,60,1.1326403617858887,0.01293325424194336,186,236,50,186,186,236,50,186,0.0,min,Min Worst Case,False
41,96372106,5,10637336,1,60,0.006980180740356445,0.011957406997680664,188,237,49,188,188,237,49,188,0.0,min,Min Worst Case,False
42,96372106,5,10637337,1,60,0.008975982666015625,0.009994745254516602,122,163,41,122,122,163,41,122,0.0,min,Min Worst Case,False
43,96372106,5,10637338,1,60,0.006989479064941406,0.014043807983398438,130,168,38,130,130,168,38,130,0.0,min,Min Worst Case,False
44,96372106,5,10637339,1,60,0.010061502456665039,0.014075279235839844,211,270,59,211,211,270,59,211,0.0,min,Min Worst Case,False
45,96372106,5,10637340,1,60,13.535135269165039,0.015019655227661133,167,210,43,167,167,210,43,167,0.0,min,Min Worst Case,False
46,96372106,5,10637341,1,60,1.0685789585113525,0.013118743896484375,246,310,64,246,246,310,64,246,0.0,min,Min Worst Case,False
47,96372106,5,10637342,1,60,0.016066789627075195,0.009830474853515625,200,252,52,200,200,252,52,200,0.0,min,Min Worst Case,False
48,96372106,5,10637343,1,60,0.07777523994445801,0.011989355087280273,181,221,40,181,181,221,40,181,0.0,min,Min Worst Case,False
49,96372106,5,10637344,1,60,0.01695561408996582,0.011983156204223633,169,220,51,169,169,220,51,169,0.0,min,Min Worst Case,False
50,96372106,5,10637345,1,60,0.11901092529296875,0.013924360275268555,247,305,58,247,247,305,58,247,0.0,min,Min Worst Case,False
