Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,initial time,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Distribution,Communication
1,96372106,5,10637296,1,60,0.12067627906799316,1.6246531009674072,211,277,66,244,238,239,1,238,0.5,uniform,False
2,96372106,5,10637297,1,60,0.007978439331054688,0.32912659645080566,238,295,57,267,267,267,0,267,0.5,uniform,False
3,96372106,5,10637298,1,60,0.026926517486572266,0.513627290725708,185,239,54,212,208,210,2,208,0.5,uniform,False
4,96372106,5,10637299,1,60,0.050864219665527344,0.5146224498748779,195,254,59,220,221,223,2,221,0.5,uniform,False
5,96372106,5,10637300,1,60,6.961375951766968,10.015205383300781,272,324,52,293,249,250,1,249,0.5,uniform,False
6,96372106,5,10637301,1,60,0.009973764419555664,0.30219340324401855,159,194,35,180,177,180,3,180,0.5,uniform,False
7,96372106,5,10637302,1,60,0.4168846607208252,0.5644888877868652,182,240,58,212,210,213,3,212,0.5,uniform,False
8,96372106,5,10637303,1,60,0.0059833526611328125,0.30019497871398926,166,207,41,186,185,188,3,186,0.5,uniform,False
9,96372106,5,10637304,1,60,0.0029916763305664062,0.07282042503356934,108,134,26,117,116,117,1,117,0.5,uniform,False
10,96372106,5,10637305,1,60,0.01795172691345215,0.3281254768371582,198,251,53,223,222,225,3,223,0.5,uniform,False
