Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,initial time,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Distribution,Objective,Communication
1,96372106,7,10637296,0,60,0.02094411849975586,0.02293848991394043,254,254,0,254,254,254,0,254,0.5,max,Min Best Case,True
2,96372106,7,10637297,0,60,0.23935937881469727,0.013002395629882812,252,252,0,252,252,252,0,252,0.5,max,Min Best Case,True
3,96372106,7,10637298,0,60,0.017950057983398438,0.011969327926635742,214,214,0,214,214,214,0,214,0.5,max,Min Best Case,True
4,96372106,7,10637299,0,60,0.012964963912963867,0.012964010238647461,229,229,0,229,229,229,0,229,0.5,max,Min Best Case,True
5,96372106,7,10637300,0,60,0.4248645305633545,0.016010046005249023,257,257,0,257,257,257,0,257,0.5,max,Min Best Case,True
6,96372106,7,10637301,0,60,0.051854610443115234,0.012964725494384766,177,177,0,177,177,177,0,177,0.5,max,Min Best Case,True
7,96372106,7,10637302,0,60,0.14461493492126465,0.014611005783081055,207,207,0,207,207,207,0,207,0.5,max,Min Best Case,True
8,96372106,7,10637303,0,60,0.00899648666381836,0.010971307754516602,179,179,0,179,179,179,0,179,0.5,max,Min Best Case,True
9,96372106,7,10637304,0,60,0.03291130065917969,0.008004426956176758,148,148,0,148,148,148,0,148,0.5,max,Min Best Case,True
10,96372106,7,10637305,0,60,0.009973287582397461,0.010960102081298828,192,192,0,192,192,192,0,192,0.5,max,Min Best Case,True
11,96372106,7,10637306,0,60,0.014054298400878906,0.008977174758911133,162,162,0,162,162,162,0,162,0.5,max,Min Best Case,True
12,96372106,7,10637307,0,60,0.6010973453521729,0.013924598693847656,229,229,0,229,229,229,0,229,0.5,max,Min Best Case,True
13,96372106,7,10637308,0,60,0.016963720321655273,0.01391148567199707,226,226,0,226,226,226,0,226,0.5,max,Min Best Case,True
14,96372106,7,10637309,0,60,0.578303337097168,0.015056610107421875,197,197,0,197,197,197,0,197,0.5,max,Min Best Case,True
15,96372106,7,10637310,0,60,0.28331780433654785,0.020943880081176758,204,204,0,204,204,204,0,204,0.5,max,Min Best Case,True
16,96372106,7,10637311,0,60,0.02189469337463379,0.011960268020629883,177,177,0,177,177,177,0,177,0.5,max,Min Best Case,True
17,96372106,7,10637312,0,60,0.12967514991760254,0.01196908950805664,218,218,0,218,218,218,0,218,0.5,max,Min Best Case,True
18,96372106,7,10637313,0,60,0.055843353271484375,0.012967824935913086,266,266,0,266,266,266,0,266,0.5,max,Min Best Case,True
19,96372106,7,10637314,0,60,0.012962102890014648,0.014173269271850586,261,261,0,261,261,261,0,261,0.5,max,Min Best Case,True
20,96372106,7,10637315,0,60,0.009082555770874023,0.012891769409179688,169,169,0,169,169,169,0,169,0.5,max,Min Best Case,True
21,96372106,7,10637316,0,60,0.38805556297302246,0.015906810760498047,258,258,0,258,258,258,0,258,0.5,max,Min Best Case,True
22,96372106,7,10637317,0,60,0.030881404876708984,0.01459360122680664,222,222,0,222,222,222,0,222,0.5,max,Min Best Case,True
23,96372106,7,10637318,0,60,0.011953592300415039,0.0070154666900634766,125,125,0,125,125,125,0,125,0.5,max,Min Best Case,True
24,96372106,7,10637319,0,60,0.027168750762939453,0.009041309356689453,181,181,0,181,181,181,0,181,0.5,max,Min Best Case,True
25,96372106,7,10637320,0,60,0.01896190643310547,0.01296544075012207,251,251,0,251,251,251,0,251,0.5,max,Min Best Case,True
26,96372106,7,10637321,0,60,0.1142115592956543,0.011929750442504883,205,205,0,205,205,205,0,205,0.5,max,Min Best Case,True
27,96372106,7,10637322,0,60,0.037932634353637695,0.013962745666503906,160,160,0,160,160,160,0,160,0.5,max,Min Best Case,True
28,96372106,7,10637323,0,60,0.016954660415649414,0.013964414596557617,236,236,0,236,236,236,0,236,0.5,max,Min Best Case,True
