Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,initial time,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Distribution,Objective,Communication
1,96372106,7,10637296,1,60,0.23594427108764648,2.8252391815185547,322,417,95,322,321,322,1,321,0.5,min,Min Worst Case,True
2,96372106,7,10637297,1,60,1.799978256225586,9.07810091972351,332,412,80,332,330,330,0,330,0.5,min,Min Worst Case,True
3,96372106,7,10637298,1,60,0.2912430763244629,2.2776272296905518,272,346,74,272,267,268,1,267,0.5,min,Min Worst Case,True
4,96372106,7,10637299,1,60,0.1695725917816162,2.0151467323303223,287,371,84,287,287,293,6,287,0.5,min,Min Worst Case,True
5,96372106,7,10637300,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,min,Min Worst Case,True
6,96372106,7,10637301,1,60,0.021943092346191406,0.5141351222991943,230,287,57,230,230,232,2,230,0.5,min,Min Worst Case,True
7,96372106,7,10637302,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,min,Min Worst Case,True
8,96372106,7,10637303,1,60,0.7136170864105225,0.36452674865722656,244,308,64,244,227,229,2,227,0.5,min,Min Worst Case,True
9,96372106,7,10637304,1,60,0.0069806575775146484,0.21952462196350098,187,237,50,187,187,190,3,187,0.5,min,Min Worst Case,True
10,96372106,7,10637305,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,min,Min Worst Case,True
11,96372106,7,10637306,1,60,0.018955230712890625,0.3151109218597412,200,246,46,200,200,203,3,200,0.5,min,Min Worst Case,True
12,96372106,7,10637307,1,60,0.25032997131347656,4.459243059158325,289,363,74,289,289,290,1,289,0.5,min,Min Worst Case,True
13,96372106,7,10637308,1,60,0.18536138534545898,1.2004022598266602,300,365,65,300,299,300,1,299,0.5,min,Min Worst Case,True
14,96372106,7,10637309,1,60,0.03590226173400879,0.7531402111053467,245,311,66,245,245,247,2,245,0.5,min,Min Worst Case,True
15,96372106,7,10637310,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,min,Min Worst Case,True
16,96372106,7,10637311,1,60,0.09894990921020508,0.8654918670654297,218,272,54,218,216,220,4,216,0.5,min,Min Worst Case,True
17,96372106,7,10637312,1,60,44.519153356552124,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,min,Min Worst Case,True
18,96372106,7,10637313,1,60,0.1840677261352539,3.8486881256103516,337,426,89,337,335,336,1,335,0.5,min,Min Worst Case,True
19,96372106,7,10637314,1,60,0.19469046592712402,1.0177206993103027,336,417,81,336,331,333,2,331,0.5,min,Min Worst Case,True
20,96372106,7,10637315,1,60,4.809431791305542,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,min,Min Worst Case,True
21,96372106,7,10637316,1,60,0.09341192245483398,3.8623290061950684,315,398,83,315,315,320,5,315,0.5,min,Min Worst Case,True
22,96372106,7,10637317,1,60,0.059297800064086914,0.8756968975067139,279,357,78,279,279,279,0,279,0.5,min,Min Worst Case,True
23,96372106,7,10637318,1,60,0.006019115447998047,0.15673828125,162,201,39,162,162,164,2,162,0.5,min,Min Worst Case,True
24,96372106,7,10637319,1,60,0.06877923011779785,0.2749745845794678,225,283,58,225,225,229,4,225,0.5,min,Min Worst Case,True
25,96372106,7,10637320,1,60,0.01790595054626465,1.0120353698730469,319,393,74,319,319,323,4,319,0.5,min,Min Worst Case,True
26,96372106,7,10637321,1,60,1.1020984649658203,2.9235904216766357,264,332,68,264,260,262,2,260,0.5,min,Min Worst Case,True
27,96372106,7,10637322,1,60,0.05485391616821289,0.5317931175231934,202,254,52,202,199,202,3,199,0.5,min,Min Worst Case,True
28,96372106,7,10637323,1,60,4.8305158615112305,0.7293910980224609,297,372,75,297,294,296,2,294,0.5,min,Min Worst Case,True
29,96372106,7,10637324,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,min,Min Worst Case,True
30,96372106,7,10637325,1,60,1.0827174186706543,1.7278153896331787,312,373,61,312,310,315,5,310,0.5,min,Min Worst Case,True
31,96372106,7,10637326,1,60,0.006979227066040039,0.15601253509521484,186,251,65,186,186,191,5,186,0.5,min,Min Worst Case,True
32,96372106,7,10637327,1,60,0.07476592063903809,0.9854216575622559,324,400,76,324,323,324,1,323,0.5,min,Min Worst Case,True
33,96372106,7,10637328,1,60,0.013001203536987305,0.3163330554962158,209,268,59,209,209,213,4,209,0.5,min,Min Worst Case,True
34,96372106,7,10637329,1,60,0.02792954444885254,0.2867562770843506,208,257,49,208,207,209,2,207,0.5,min,Min Worst Case,True
35,96372106,7,10637330,1,60,0.9139115810394287,1.1033434867858887,188,228,40,188,187,189,2,187,0.5,min,Min Worst Case,True
36,96372106,7,10637331,1,60,0.02489161491394043,0.42922449111938477,254,317,63,254,254,257,3,254,0.5,min,Min Worst Case,True
37,96372106,7,10637332,1,60,0.05379796028137207,0.46756720542907715,244,300,56,244,243,244,1,243,0.5,min,Min Worst Case,True
38,96372106,7,10637333,1,60,0.02191758155822754,0.4385185241699219,257,330,73,257,257,262,5,257,0.5,min,Min Worst Case,True
39,96372106,7,10637334,1,60,0.16049766540527344,4.603905439376831,273,339,66,273,271,271,0,271,0.5,min,Min Worst Case,True
40,96372106,7,10637335,1,60,1.1390843391418457,0.5865597724914551,216,274,58,216,215,221,6,215,0.5,min,Min Worst Case,True
41,96372106,7,10637336,1,60,0.027941226959228516,0.5928013324737549,221,278,57,221,221,222,1,221,0.5,min,Min Worst Case,True
42,96372106,7,10637337,1,60,24.856881380081177,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,min,Min Worst Case,True
43,96372106,7,10637338,1,60,0.03892803192138672,1.0281076431274414,251,321,70,251,251,254,3,251,0.5,min,Min Worst Case,True
44,96372106,7,10637339,1,60,0.013200521469116211,1.099125862121582,346,447,101,346,346,348,2,346,0.5,min,Min Worst Case,True
45,96372106,7,10637340,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,min,Min Worst Case,True
46,96372106,7,10637341,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,min,Min Worst Case,True
47,96372106,7,10637342,1,60,0.04103398323059082,0.5330116748809814,262,331,69,262,262,263,1,262,0.5,min,Min Worst Case,True
48,96372106,7,10637343,1,60,0.359666109085083,2.9678003787994385,239,295,56,239,239,239,0,239,0.5,min,Min Worst Case,True
49,96372106,7,10637344,1,60,0.03920149803161621,0.6024491786956787,205,262,57,205,205,209,4,205,0.5,min,Min Worst Case,True
50,96372106,7,10637345,1,60,0.36684656143188477,1.1490674018859863,337,420,83,337,335,335,0,335,0.5,min,Min Worst Case,True
