Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,initial time,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Distribution,Objective,Communication,Min SIC,Max SIC
1,96372106,8,10637296,0,60,0.0189511775970459,0.015936851501464844,289,289,0,289,289,289,0,289,0.0,min,Min Worst Case,True,289,289
2,96372106,8,10637297,0,60,0.08876276016235352,0.01296544075012207,275,275,0,275,275,275,0,275,0.0,min,Min Worst Case,True,275,275
3,96372106,8,10637298,0,60,0.018949270248413086,0.010971307754516602,238,238,0,238,238,238,0,238,0.0,min,Min Worst Case,True,238,238
4,96372106,8,10637299,0,60,0.018949508666992188,0.013962745666503906,259,259,0,259,259,259,0,259,0.0,min,Min Worst Case,True,259,259
5,96372106,8,10637300,0,60,0.4028942584991455,0.013962507247924805,276,276,0,276,276,276,0,276,0.0,min,Min Worst Case,True,270,270
6,96372106,8,10637301,0,60,0.05584979057312012,0.014983415603637695,183,183,0,183,183,183,0,183,0.0,min,Min Worst Case,True,182,182
7,96372106,8,10637302,0,60,0.43979907035827637,0.013020515441894531,245,245,0,245,245,245,0,245,0.0,min,Min Worst Case,True,243,243
8,96372106,8,10637303,0,60,0.010970592498779297,0.010970592498779297,225,225,0,225,225,225,0,225,0.0,min,Min Worst Case,True,225,225
9,96372106,8,10637304,0,60,0.036882877349853516,0.007943153381347656,153,153,0,153,153,153,0,153,0.0,min,Min Worst Case,True,153,153
10,96372106,8,10637305,0,60,0.014960289001464844,0.009996175765991211,205,205,0,205,205,205,0,205,0.0,min,Min Worst Case,True,205,205
11,96372106,8,10637306,0,60,0.013962745666503906,0.009923219680786133,167,167,0,167,167,167,0,167,0.0,min,Min Worst Case,True,167,167
12,96372106,8,10637307,0,60,0.6991407871246338,0.02092289924621582,280,280,0,280,280,280,0,280,0.0,min,Min Worst Case,True,272,272
13,96372106,8,10637308,0,60,0.03690028190612793,0.014955282211303711,246,246,0,246,246,246,0,246,0.0,min,Min Worst Case,True,244,244
14,96372106,8,10637309,0,60,0.6083731651306152,0.01597285270690918,247,247,0,247,247,247,0,247,0.0,min,Min Worst Case,True,247,247
15,96372106,8,10637310,0,60,0.2622992992401123,0.01495981216430664,258,258,0,258,258,258,0,258,0.0,min,Min Worst Case,True,258,258
