Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,initial time,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Distribution,Objective,Communication
1,96372106,9,10637296,0,60,0.030933380126953125,0.0359034538269043,302,302,0,302,302,302,0,302,1.0,uniform,Min Best Case,False
2,96372106,9,10637297,0,60,0.13863015174865723,0.021917104721069336,305,305,0,305,305,305,0,305,1.0,uniform,Min Best Case,False
3,96372106,9,10637298,0,60,0.04288530349731445,0.01994490623474121,263,263,0,263,263,263,0,263,1.0,uniform,Min Best Case,False
4,96372106,9,10637299,0,60,0.015957117080688477,0.020943403244018555,275,275,0,275,275,275,0,275,1.0,uniform,Min Best Case,False
5,96372106,9,10637300,0,60,0.7260587215423584,0.017951488494873047,316,316,0,316,316,316,0,316,1.0,uniform,Min Best Case,False
6,96372106,9,10637301,0,60,0.08175301551818848,0.03097820281982422,220,220,0,220,220,220,0,220,1.0,uniform,Min Best Case,False
7,96372106,9,10637302,0,60,1.1342315673828125,0.02090930938720703,272,272,0,272,272,272,0,272,1.0,uniform,Min Best Case,False
8,96372106,9,10637303,0,60,0.011967658996582031,0.01592278480529785,257,257,0,257,257,257,0,257,1.0,uniform,Min Best Case,False
9,96372106,9,10637304,0,60,0.03196859359741211,0.011974573135375977,178,178,0,178,178,178,0,178,1.0,uniform,Min Best Case,False
10,96372106,9,10637305,0,60,0.928551435470581,0.016953229904174805,256,256,0,256,256,256,0,256,1.0,uniform,Min Best Case,False
11,96372106,9,10637306,0,60,0.015957117080688477,0.011972188949584961,185,185,0,185,185,185,0,185,1.0,uniform,Min Best Case,False
12,96372106,9,10637307,0,60,0.6744639873504639,0.03091740608215332,303,303,0,303,303,303,0,303,1.0,uniform,Min Best Case,False
13,96372106,9,10637308,0,60,0.03690600395202637,0.029996156692504883,295,295,0,295,295,295,0,295,1.0,uniform,Min Best Case,False
14,96372106,9,10637309,0,60,0.5618808269500732,0.020913362503051758,254,254,0,254,254,254,0,254,1.0,uniform,Min Best Case,False
15,96372106,9,10637310,0,60,0.25429606437683105,0.020957469940185547,285,285,0,285,285,285,0,285,1.0,uniform,Min Best Case,False
16,96372106,9,10637311,0,60,0.015956640243530273,0.017970800399780273,213,213,0,213,213,213,0,213,1.0,uniform,Min Best Case,False
17,96372106,9,10637312,0,60,0.1655583381652832,0.01790928840637207,276,276,0,276,276,276,0,276,1.0,uniform,Min Best Case,False
18,96372106,9,10637313,0,60,2.3515872955322266,0.01788020133972168,329,329,0,329,329,329,0,329,1.0,uniform,Min Best Case,False
19,96372106,9,10637314,0,60,0.014898061752319336,0.019946575164794922,312,312,0,312,312,312,0,312,1.0,uniform,Min Best Case,False
20,96372106,9,10637315,0,60,0.05776333808898926,0.02649855613708496,239,239,0,239,239,239,0,239,1.0,uniform,Min Best Case,False
