Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,initial time,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Distribution,Objective,Communication
1,96372106,9,10637296,1,60,0.36602020263671875,0.026140928268432617,385,496,111,496,385,496,111,496,0.0,max,Min Worst Case,False
2,96372106,9,10637297,1,60,1.378697395324707,0.022937536239624023,395,497,102,497,395,497,102,497,0.0,max,Min Worst Case,False
3,96372106,9,10637298,1,60,0.5737318992614746,0.018949031829833984,350,437,87,437,350,437,87,437,0.0,max,Min Worst Case,False
4,96372106,9,10637299,1,60,0.49764013290405273,0.02645277976989746,348,450,102,450,348,450,102,450,0.0,max,Min Worst Case,False
5,96372106,9,10637300,1,60,26.819222450256348,0.037976980209350586,467,557,90,557,467,557,90,557,0.0,max,Min Worst Case,False
6,96372106,9,10637301,1,60,76.22304773330688,0.022031545639038086,352,423,71,423,352,423,71,423,0.0,max,Min Worst Case,False
7,96372106,9,10637302,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,max,Min Worst Case,False
8,96372106,9,10637303,1,60,0.9650447368621826,0.025866031646728516,343,425,82,425,343,425,82,425,0.0,max,Min Worst Case,False
9,96372106,9,10637304,1,60,0.01994490623474121,0.014056205749511719,223,287,64,287,223,287,64,287,0.0,max,Min Worst Case,False
10,96372106,9,10637305,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,max,Min Worst Case,False
11,96372106,9,10637306,1,60,0.09075784683227539,0.015957355499267578,230,284,54,284,230,284,54,284,0.0,max,Min Worst Case,False
12,96372106,9,10637307,1,60,5.6448163986206055,0.036337852478027344,383,478,95,478,383,478,95,478,0.0,max,Min Worst Case,False
13,96372106,9,10637308,1,60,43.73351812362671,0.03889584541320801,394,479,85,479,394,479,85,479,0.0,max,Min Worst Case,False
14,96372106,9,10637309,1,60,0.049866676330566406,0.03790783882141113,316,398,82,398,316,398,82,398,0.0,max,Min Worst Case,False
15,96372106,9,10637310,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,max,Min Worst Case,False
16,96372106,9,10637311,1,60,0.09019756317138672,0.019956588745117188,266,331,65,331,266,331,65,331,0.0,max,Min Worst Case,False
17,96372106,9,10637312,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,max,Min Worst Case,False
18,96372106,9,10637313,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,max,Min Worst Case,False
19,96372106,9,10637314,1,60,0.664386510848999,0.022948503494262695,402,505,103,505,402,505,103,505,0.0,max,Min Worst Case,False
20,96372106,9,10637315,1,60,5.310908555984497,0.020943403244018555,308,375,67,375,308,375,67,375,0.0,max,Min Worst Case,False
21,96372106,9,10637316,1,60,5.9036948680877686,0.02790093421936035,394,493,99,493,394,493,99,493,0.0,max,Min Worst Case,False
22,96372106,9,10637317,1,60,0.07184338569641113,0.032912492752075195,345,435,90,435,345,435,90,435,0.0,max,Min Worst Case,False
23,96372106,9,10637318,1,60,0.021002531051635742,0.025928974151611328,245,302,57,302,245,302,57,302,0.0,max,Min Worst Case,False
24,96372106,9,10637319,1,60,0.06586337089538574,0.016960620880126953,267,336,69,336,267,336,69,336,0.0,max,Min Worst Case,False
25,96372106,9,10637320,1,60,0.023936033248901367,0.02892279624938965,391,481,90,481,391,481,90,481,0.0,max,Min Worst Case,False
26,96372106,9,10637321,1,60,1.4651539325714111,0.018958330154418945,339,423,84,423,339,423,84,423,0.0,max,Min Worst Case,False
27,96372106,9,10637322,1,60,0.8313677310943604,0.02193903923034668,277,337,60,337,277,337,60,337,0.0,max,Min Worst Case,False
28,96372106,9,10637323,1,60,4.733599901199341,0.036905765533447266,355,452,97,452,355,452,97,452,0.0,max,Min Worst Case,False
29,96372106,9,10637324,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,max,Min Worst Case,False
30,96372106,9,10637325,1,60,1.0549499988555908,0.020943164825439453,388,466,78,466,388,466,78,466,0.0,max,Min Worst Case,False
31,96372106,9,10637326,1,60,0.04105687141418457,0.03193330764770508,279,362,83,362,279,362,83,362,0.0,max,Min Worst Case,False
32,96372106,9,10637327,1,60,0.23208236694335938,0.020943880081176758,374,467,93,467,374,467,93,467,0.0,max,Min Worst Case,False
33,96372106,9,10637328,1,60,0.5470514297485352,0.017008304595947266,285,366,81,366,285,366,81,366,0.0,max,Min Worst Case,False
34,96372106,9,10637329,1,60,0.03789710998535156,0.018949031829833984,325,403,78,403,325,403,78,403,0.0,max,Min Worst Case,False
35,96372106,9,10637330,1,60,0.9057669639587402,0.017948627471923828,220,265,45,265,220,265,45,265,0.0,max,Min Worst Case,False
36,96372106,9,10637331,1,60,0.0359036922454834,0.028922319412231445,292,364,72,364,292,364,72,364,0.0,max,Min Worst Case,False
37,96372106,9,10637332,1,60,0.568537712097168,0.03095698356628418,351,435,84,435,351,435,84,435,0.0,max,Min Worst Case,False
38,96372106,9,10637333,1,60,25.247807264328003,0.027923107147216797,309,389,80,389,309,389,80,389,0.0,max,Min Worst Case,False
39,96372106,9,10637334,1,60,0.26194024085998535,0.022942066192626953,386,484,98,484,386,484,98,484,0.0,max,Min Worst Case,False
40,96372106,9,10637335,1,60,4.669625759124756,0.021929264068603516,328,407,79,407,328,407,79,407,0.0,max,Min Worst Case,False
41,96372106,9,10637336,1,60,1.8272461891174316,0.022937297821044922,333,409,76,409,333,409,76,409,0.0,max,Min Worst Case,False
42,96372106,9,10637337,1,60,34.06101036071777,0.02094411849975586,285,365,80,365,285,365,80,365,0.0,max,Min Worst Case,False
43,96372106,9,10637338,1,60,1.1680593490600586,0.022970199584960938,364,458,94,458,364,458,94,458,0.0,max,Min Worst Case,False
44,96372106,9,10637339,1,60,0.13770174980163574,0.026926517486572266,412,535,123,535,412,535,123,535,0.0,max,Min Worst Case,False
45,96372106,9,10637340,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,max,Min Worst Case,False
46,96372106,9,10637341,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,max,Min Worst Case,False
47,96372106,9,10637342,1,60,5.502403974533081,0.024935007095336914,328,426,98,426,328,426,98,426,0.0,max,Min Worst Case,False
48,96372106,9,10637343,1,60,2.6657278537750244,0.022950410842895508,269,332,63,332,269,332,63,332,0.0,max,Min Worst Case,False
49,96372106,9,10637344,1,60,0.04489469528198242,0.031916141510009766,240,312,72,312,240,312,72,312,0.0,max,Min Worst Case,False
50,96372106,9,10637345,1,60,0.40195155143737793,0.02192831039428711,426,534,108,534,426,534,108,534,0.0,max,Min Worst Case,False
