Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,initial time,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Distribution,Communication
1,96372106,9,10637296,1,60,0.39893245697021484,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,min,False
2,96372106,9,10637297,1,60,51.83720636367798,32.64383816719055,447,553,106,447,397,397,0,397,0.5,min,False
3,96372106,9,10637298,1,60,0.5737318992614746,5.650040864944458,350,437,87,350,333,337,4,333,0.5,min,False
4,96372106,9,10637299,1,60,0.49764013290405273,5.326205253601074,348,450,102,348,343,344,1,343,0.5,min,False
5,96372106,9,10637300,1,60,26.858755350112915,31.776662588119507,467,557,90,467,400,406,6,400,0.5,min,False
6,96372106,9,10637301,1,60,76.22304773330688,50.004677295684814,352,423,71,352,282,282,0,282,0.5,min,False
7,96372106,9,10637302,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,min,False
8,96372106,9,10637303,1,60,0.9650447368621826,1.2371699810028076,343,425,82,343,325,327,2,325,0.5,min,False
9,96372106,9,10637304,1,60,0.01994490623474121,0.5804524421691895,223,287,64,223,223,224,1,223,0.5,min,False
10,96372106,9,10637305,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,min,False
