Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,initial time,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Distribution,Objective,Communication,Min SIC,Max SIC
1,96372106,9,10637296,1,60,1.6585102081298828,0.46276402473449707,386,492,106,386,386,386,0,386,1.0,min,Min Worst Case,False,374,490
2,96372106,9,10637297,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,min,Min Worst Case,False,-1,-1
3,96372106,9,10637298,1,60,0.2912571430206299,0.23334121704101562,338,425,87,338,338,338,0,338,1.0,min,Min Worst Case,False,330,420
4,96372106,9,10637299,1,60,0.08676910400390625,0.25432252883911133,335,431,96,335,335,335,0,335,1.0,min,Min Worst Case,False,334,437
5,96372106,9,10637300,1,60,5.71270227432251,0.2602975368499756,405,500,95,405,405,405,0,405,1.0,min,Min Worst Case,False,396,490
6,96372106,9,10637301,1,60,0.3580493927001953,0.18445134162902832,284,354,70,284,284,284,0,284,1.0,min,Min Worst Case,False,279,350
7,96372106,9,10637302,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,min,Min Worst Case,False,-1,-1
8,96372106,9,10637303,1,60,0.030916690826416016,0.1655588150024414,325,403,78,325,325,325,0,325,1.0,min,Min Worst Case,False,324,402
9,96372106,9,10637304,1,60,0.01597118377685547,0.07578706741333008,223,287,64,223,223,223,0,223,1.0,min,Min Worst Case,False,223,287
10,96372106,9,10637305,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,min,Min Worst Case,False,-1,-1
11,96372106,9,10637306,1,60,0.07181501388549805,0.16156816482543945,230,284,54,230,230,230,0,230,1.0,min,Min Worst Case,False,228,282
12,96372106,9,10637307,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,min,Min Worst Case,False,-1,-1
13,96372106,9,10637308,1,60,37.49974966049194,0.4118943214416504,394,479,85,394,394,394,0,394,1.0,min,Min Worst Case,False,379,479
14,96372106,9,10637309,1,60,0.05086565017700195,0.28822946548461914,316,398,82,316,316,316,0,316,1.0,min,Min Worst Case,False,316,404
15,96372106,9,10637310,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,min,Min Worst Case,False,-1,-1
16,96372106,9,10637311,1,60,0.08775043487548828,0.14162158966064453,266,331,65,266,266,266,0,266,1.0,min,Min Worst Case,False,263,337
17,96372106,9,10637312,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,min,Min Worst Case,False,-1,-1
18,96372106,9,10637313,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,min,Min Worst Case,False,-1,-1
